path,file_type,phase,category,status,canonical,superseded_by,evidence_level,recommended_destination,notes
.gitignore,file,governance,config,INFRASTRUCTURE,FALSE,,infra,.gitignore,repo infrastructure file
research/portfolio/ATR_SLOT_ALLOCATION_P3.md,file,p3,report,CLOSED,TRUE,,primary,research/portfolio/ATR_SLOT_ALLOCATION_P3.md,CANONICAL P3; C NO USEFUL PORTFOLIO RANKING (closed)
research/portfolio/registries/ATR_SLOT_ALLOCATION_REGISTRY.csv,file,p3,registry,ACCEPTED,FALSE,,primary,research/portfolio/registries/ATR_SLOT_ALLOCATION_REGISTRY.csv,preregistration; committed before P3 portfolio runs
research/portfolio/registries/ATR_SLOT_ALLOCATION_REGISTRY.sha256,file,p3,registry,ACCEPTED,FALSE,,primary,research/portfolio/registries/ATR_SLOT_ALLOCATION_REGISTRY.sha256,registry hash
docs/AUDIT_GUIDE.md,file,governance,doc,INFRASTRUCTURE,FALSE,,infra,docs/AUDIT_GUIDE.md,how to audit the repo
docs/AUDIT_REQUESTS.md,file,governance,doc,INFRASTRUCTURE,FALSE,,infra,docs/AUDIT_REQUESTS.md,external audit request log
docs/BACKTEST_INVARIANTS.md,file,governance,doc,INFRASTRUCTURE,FALSE,,infra,docs/BACKTEST_INVARIANTS.md,engine invariants / parity contract
docs/CALLCHAIN.md,file,governance,doc,INFRASTRUCTURE,FALSE,,infra,docs/CALLCHAIN.md,engine call-chain description
archive/superseded/CROSS_SECTIONAL_RANKING_P1.md,file,ranking,report,SUPERSEDED,FALSE,CROSS_SECTIONAL_RANKING_P1_CORRECTED.md,primary,archive/superseded/CROSS_SECTIONAL_RANKING_P1.md,P1 pre-correction
research/ranking/CROSS_SECTIONAL_RANKING_P1_CORRECTED.md,file,ranking,report,ACCEPTED,TRUE,,primary,research/ranking/CROSS_SECTIONAL_RANKING_P1_CORRECTED.md,CANONICAL P1.1; A DISCOVERY ROBUST
research/ranking/CROSS_SECTIONAL_RANKING_P2_VALIDATION.md,file,p2val,report,ACCEPTED,TRUE,,primary,research/ranking/CROSS_SECTIONAL_RANKING_P2_VALIDATION.md,CANONICAL P2; B PARTIAL VALIDATION (ATR20_PCT only)
research/ranking/registries/CROSS_SECTIONAL_RANKING_REGISTRY.csv,file,ranking,registry,ACCEPTED,FALSE,,primary,research/ranking/registries/CROSS_SECTIONAL_RANKING_REGISTRY.csv,P1 registry 9c36887
research/ranking/registries/CROSS_SECTIONAL_RANKING_REGISTRY.sha256,file,ranking,registry,ACCEPTED,FALSE,,primary,research/ranking/registries/CROSS_SECTIONAL_RANKING_REGISTRY.sha256,P1 registry hash
research/ranking/registries/CROSS_SECTIONAL_RANKING_VALIDATION_REGISTRY.csv,file,p2val,registry,ACCEPTED,FALSE,,primary,research/ranking/registries/CROSS_SECTIONAL_RANKING_VALIDATION_REGISTRY.csv,P2 validation registry
