分类维度,类别,笔数,占比%,平均收益%,胜率%,平均持仓天数,平均回撤%,回撤中位数%,该档中卖飞占比%
持仓期最大回撤分档,<-30%,5109.0,5.3,-16.29,14.6,66.5,,,
持仓期最大回撤分档,-30~-20%,7344.0,7.7,-3.81,31.3,52.0,,,
持仓期最大回撤分档,-20~-10%,19804.0,20.7,2.67,57.4,39.7,,,
持仓期最大回撤分档,-10~-5%,24585.0,25.7,7.69,90.6,27.8,,,
持仓期最大回撤分档,-5~-2%,20987.0,21.9,9.2,98.9,19.2,,,
持仓期最大回撤分档,-2~0%,17786.0,18.6,10.83,99.8,11.4,,,
最终层数,1层,24953.0,26.1,10.54,95.1,14.9,-3.54,-1.65,
最终层数,2层,19727.0,20.6,8.57,91.7,21.0,-6.65,-4.64,
最终层数,3层,16240.0,17.0,6.12,85.3,27.0,-9.29,-6.85,
最终层数,4层,13793.0,14.4,3.19,73.4,35.4,-12.12,-9.16,
最终层数,5层,20902.0,21.9,-2.83,45.0,51.9,-18.66,-15.27,
持仓天数,1天,456.0,0.5,6.59,94.5,,-0.6,,
持仓天数,2天,1057.0,1.1,9.99,99.2,,-0.81,,
持仓天数,3天,1358.0,1.4,11.35,99.4,,-1.16,,
持仓天数,4-5天,3332.0,3.5,11.81,99.2,,-1.55,,
持仓天数,6-10天,7949.0,8.3,13.4,99.8,,-2.2,,
持仓天数,11-20天,25027.0,26.2,10.73,99.7,,-4.73,,
持仓天数,21-50天,43249.0,45.2,4.1,75.8,,-11.15,,
持仓天数,>50天,13187.0,13.8,-7.92,25.6,,-22.86,,
卖出后20日最高相对成本,未超过成本,9262.0,9.8,-11.76,,,,,78.4
卖出后20日最高相对成本,0~5%,9681.0,10.3,-0.34,,,,,77.5
卖出后20日最高相对成本,5~10%,14540.0,15.4,3.39,,,,,85.4
卖出后20日最高相对成本,10~20%,26525.0,28.2,6.87,,,,,93.9
卖出后20日最高相对成本,20~30%,15106.0,16.0,10.19,,,,,98.1
卖出后20日最高相对成本,>30%,19113.0,20.3,13.56,,,,,99.6
