factor_id,factor_name,formula,failure_stage,failure_reason,discovery_metric,validation_metric,test_metric,yearly_direction,correlation_with_existing,duplicate_of,leakage_detected,date_killed,notes
AF_000005,rsi_filter,"ts_zscore(signal_day_close,20) /* RSI 代理 */",validation,NO_INCREMENTAL_ALPHA,,,,,,,False,2026-09-10,"LEGACY_RESEARCH; 原结论""固定止损、周线BB、RSI/MACD、Squeeze/ADX入场过滤等分支均已关闭""; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)"
AF_000006,macd_filter,"diff(signal_day_close,signal_day_close) /* MACD 代理 */",validation,NO_INCREMENTAL_ALPHA,,,,,,,False,2026-09-10,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000007,squeeze_adx_filter,"interaction(bb_z,bb_z) /* Squeeze/ADX 代理 */",validation,NO_INCREMENTAL_ALPHA,,,,,,,False,2026-09-10,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000008,regime_filter,sign(daily_bb_up_ratio) /* regime 代理 */,validation,REGIME_SPECIFIC,,,,,,,False,2026-09-10,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000009,atr_ranking,atr14_pct,screening,DUPLICATE,,,,,,,False,2026-09-10,"LEGACY_RESEARCH; source=commit 6296cd3 (ML-BB Phase 1, rating B)"
AF_000010,bad_classifier,cs_rank(drawdown_20) /* BAD 模型代理 */,portfolio,NO_INCREMENTAL_ALPHA,,,,,,,False,2026-09-10,"LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)"
AF_000011,addon_ranking,cs_rank(bb_z) /* ADD_ON 排序代理 */,portfolio,NO_INCREMENTAL_ALPHA,,,,,,,False,2026-09-10,"LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)"
AF_000035,weekly_bb,bb_z /* 周线版 */,validation,OOS_FAIL,,,,,,,False,2026-09-10,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AFS_000001,SYMBOLIC_HUMAN_1,"ratio(ret_5d, atr14_pct)",DISCOVERY_FAIL,NO_SIGNAL,0.0053,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0007; val_q5q1=nan; test_q5q1=nan
AFS_000002,SYMBOLIC_HUMAN_2,"interaction(bb_z, daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000003,SYMBOLIC_HUMAN_3,"diff(ret_5d, csi300_ret_5)",NO_KEEP_WEAK,UNSTABLE,0.0385,0.0451,0.0482,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0065; val_q5q1=0.0068; test_q5q1=0.0034
AFS_000004,SYMBOLIC_HUMAN_4,"ratio(distance_to_lower_band, bb_width)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0010; val_q5q1=nan; test_q5q1=nan
AFS_000005,SYMBOLIC_HUMAN_5,"interaction(drawdown_20, daily_bb_up_ratio)",NO_KEEP_WEAK,UNSTABLE,0.0366,0.0498,0.0482,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0055; val_q5q1=0.0087; test_q5q1=-0.0020
AFS_000006,SYMBOLIC_HUMAN_6,"diff(bb_z, cs_zscore(ret_5d))",TEST_FAIL,OOS_FAIL,-0.0400,-0.0569,-0.0452,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0049; val_q5q1=-0.0087; test_q5q1=-0.0020
AFS_000007,SYMBOLIC_HUMAN_7,"ratio(ret_10d, realized_vol_20)",DISCOVERY_FAIL,NO_SIGNAL,-0.0109,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0027; val_q5q1=nan; test_q5q1=nan
AFS_000008,SYMBOLIC_HUMAN_8,"interaction(distance_to_lower_band, amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0126,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0005; val_q5q1=nan; test_q5q1=nan
AFS_000009,SYMBOLIC_HUMAN_9,"diff(ret_20d, csi1000_ret_20)",DISCOVERY_FAIL,NO_SIGNAL,-0.0022,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0002; val_q5q1=nan; test_q5q1=nan
AFS_000010,SYMBOLIC_HUMAN_10,"ratio(drawdown_60, atr14_pct)",TEST_FAIL,OOS_FAIL,-0.0462,0.0425,-0.0246,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=-0.0065; val_q5q1=0.0069; test_q5q1=-0.0136
AFS_000011,SYMBOLIC_HUMAN_11,"interaction(bb_z, turnover_rank)",TEST_FAIL,OOS_FAIL,0.0462,0.0941,-0.0304,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0075; val_q5q1=0.0187; test_q5q1=-0.0178
AFS_000012,SYMBOLIC_HUMAN_12,"diff(ret_5d, ret_20d)",TEST_FAIL,OOS_FAIL,0.0431,-0.0312,-0.0019,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0091; val_q5q1=-0.0093; test_q5q1=0.0119
AFS_000013,SYMBOLIC_HUMAN_13,"ratio(gap_pct, atr14_pct)",TEST_FAIL,OOS_FAIL,0.0217,0.0044,-0.0116,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0042; val_q5q1=0.0015; test_q5q1=0.0025
AFS_000014,SYMBOLIC_HUMAN_14,"interaction(daily_bb_signal_count, daily_bb_down_ratio)",DISCOVERY_FAIL,NO_SIGNAL,nan,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=nan; val_q5q1=nan; test_q5q1=nan
AFS_000015,SYMBOLIC_HUMAN_15,"diff(csi500_ret_5, csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,nan,nan,nan,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=nan; val_q5q1=nan; test_q5q1=nan
AFS_000016,SYMBOLIC_HUMAN_16,"ratio(log_amount, atr14_pct)",NO_KEEP_WEAK,UNSTABLE,0.0379,0.0125,0.0741,,,,,2026-09-11,Phase1 symbolic trace; q5q1_disc=0.0024; val_q5q1=0.0016; test_q5q1=0.0104
