factor_id,request_index,generator,formula,expression_hash,family,final_status,failure_stage,failure_reason,disc_ic,val_ic,test_ic,pass_discovery,fdr_pass
AFS_000001,1,HUMAN,"ratio(ret_5d, atr14_pct)",0e3860c709db098c,INTERACTION,FAIL,DISCOVERY_FAIL,NO_SIGNAL,0.0052636003497085,,,False,False
AFS_000002,2,HUMAN,"interaction(bb_z, daily_bb_signal_count)",a6d54e1014d6c51d,BB_CONDITIONAL,FAIL,DISCOVERY_FAIL,NO_SIGNAL,0.009291009617352,,,False,False
AFS_000003,3,HUMAN,"diff(ret_5d, csi300_ret_5)",e5cae5fd4bba258e,INTERACTION,FAIL,NO_KEEP_WEAK,UNSTABLE,0.0385247023437098,0.0450534556435695,0.048207843937197,True,True
AFS_000004,4,HUMAN,"ratio(distance_to_lower_band, bb_width)",d2e2f5e890af43f3,BB_CONDITIONAL,FAIL,DISCOVERY_FAIL,NO_SIGNAL,0.009291009617352,,,False,False
AFS_000005,5,HUMAN,"interaction(drawdown_20, daily_bb_up_ratio)",02d0649a4fc687b9,INTERACTION,FAIL,NO_KEEP_WEAK,UNSTABLE,0.036561879659625,0.0498018432967748,0.0481507175068686,True,True
AFS_000006,6,HUMAN,"diff(bb_z, cs_zscore(ret_5d))",b128134943507e91,BB_CONDITIONAL,FAIL,TEST_FAIL,OOS_FAIL,-0.040035461665941,-0.0569401948125448,-0.0451574120462263,True,True
AFS_000007,7,HUMAN,"ratio(ret_10d, realized_vol_20)",0aa1e942e35b7de0,INTERACTION,FAIL,DISCOVERY_FAIL,NO_SIGNAL,-0.0108522578171618,,,False,False
AFS_000008,8,HUMAN,"interaction(distance_to_lower_band, amount_ratio_5_20)",34cbbd9ec3895dee,BB_CONDITIONAL,FAIL,DISCOVERY_FAIL,NO_SIGNAL,0.0125749939828522,,,False,False
AFS_000009,9,HUMAN,"diff(ret_20d, csi1000_ret_20)",0eb53521380355be,INTERACTION,FAIL,DISCOVERY_FAIL,NO_SIGNAL,-0.0022417899334785,,,False,False
AFS_000010,10,HUMAN,"ratio(drawdown_60, atr14_pct)",6e041e67f0a326af,INTERACTION,FAIL,TEST_FAIL,OOS_FAIL,-0.0461750246088848,0.042494230451827,-0.0246453510279928,True,True
AFS_000011,11,HUMAN,"interaction(bb_z, turnover_rank)",cfbef2434d54d913,BB_CONDITIONAL,FAIL,TEST_FAIL,OOS_FAIL,0.0462440330334902,0.0941004194319325,-0.0304137733076721,True,True
AFS_000012,12,HUMAN,"diff(ret_5d, ret_20d)",750b8550c03eee27,INTERACTION,FAIL,TEST_FAIL,OOS_FAIL,0.0431359407857109,-0.0311857756854959,-0.0019224488977169,True,True
AFS_000013,13,HUMAN,"ratio(gap_pct, atr14_pct)",f26a3521c66da8a3,INTERACTION,FAIL,TEST_FAIL,OOS_FAIL,0.0217202221094349,0.0044091776821495,-0.0115821290673627,True,True
AFS_000014,14,HUMAN,"interaction(daily_bb_signal_count, daily_bb_down_ratio)",7c05654c56b7c68f,INTERACTION,FAIL,DISCOVERY_FAIL,NO_SIGNAL,,,,False,False
AFS_000015,15,HUMAN,"diff(csi500_ret_5, csi300_ret_5)",3b659665f42059e9,INTERACTION,FAIL,DISCOVERY_FAIL,NO_SIGNAL,,,,False,False
AFS_000016,16,HUMAN,"ratio(log_amount, atr14_pct)",a17266773794c175,INTERACTION,FAIL,NO_KEEP_WEAK,UNSTABLE,0.0378657197332513,0.0125219890717442,0.0741137846977802,True,True
AFS_000017,17,HUMAN,"interaction(distance_52w_high, ret_20d)",859a2bdc0acb5243,INTERACTION,FAIL,DISCOVERY_FAIL,NO_SIGNAL,-0.0072732341007363,,,False,False
AFS_000018,18,HUMAN,"diff(ret_3d, cs_zscore(ret_10d))",897fadb138dccf4b,INTERACTION,FAIL,NO_KEEP_WEAK,UNSTABLE,0.0345232986103746,0.0163298476097977,0.0497472919334355,True,True
AFS_000019,19,HUMAN,"ratio(daily_range_pct, realized_vol_10)",e78c2ff1d46da07f,INTERACTION,FAIL,DISCOVERY_FAIL,NO_SIGNAL,0.0053700288059474,,,False,False
AFS_000020,20,HUMAN,"interaction(bb_width, daily_bb_signal_count)",a77c360f69f30eed,INTERACTION,FAIL,DISCOVERY_FAIL,NO_SIGNAL,-0.0140719626352007,,,False,False
AFS_000021,21,HUMAN,"diff(drawdown_20, drawdown_60)",0ce7c003fc00a8d6,INTERACTION,FAIL,VALIDATION_FAIL,OOS_FAIL,0.0405516293560801,-0.0421397534258538,0.0111276843858788,True,True
AFS_000022,22,HUMAN,"ratio(ret_20d, bb_width)",f74fc28479901dab,INTERACTION,FAIL,DISCOVERY_FAIL,NO_SIGNAL,-0.0149395795391388,,,False,False
AFS_000023,23,HUMAN,"interaction(signal_count_last_20d, bb_z)",f4c68b6d7a39d2f7,BB_CONDITIONAL,FAIL,DISCOVERY_FAIL,NO_SIGNAL,-0.018173804726322,,,False,False
AFS_000024,24,HUMAN,"diff(ret_5d, csi500_ret_5)",8ba6f3a958e263e6,INTERACTION,FAIL,NO_KEEP_WEAK,UNSTABLE,0.0385247023437098,0.0450534556435695,0.048207843937197,True,True
AFS_000025,25,HUMAN,"ratio(distance_ma20, atr14_pct)",cd1978b65dbb1b43,INTERACTION,FAIL,DISCOVERY_FAIL,NO_SIGNAL,-0.0133681423513739,,,False,False
AFS_000026,26,HUMAN,"interaction(market_up_ratio, bb_z)",04d87a064742e6c9,BB_CONDITIONAL,FAIL,DISCOVERY_FAIL,NO_SIGNAL,0.009291009617352,,,False,False
