field,value,status
primary_day_universe,ALL_ANCHOR_DATES,frozen
min_day_n_primary,NONE,allowed_only_feature_nonmissing_n_ge_1,frozen
min_day_n_5_sensitivity,MIN_DAY_N_GE_5,secondary_only
primary_effect,anchor_day_spearman_of_day_mean_feature_vs_day_mean_outcome,frozen
primary_effect_regression,OLS_oy_on_const_plus_fx_HAC_maxlags_10,frozen
primary_effect_sign_source,anchor_day_day_corr,frozen
d20_d30_consistency_source,anchor_day_day_corr,frozen
bh_m,18,frozen
bh_p_source,all_anchor_day_hac_regression_p,frozen
degenerate_feature,F_DAYS_SINCE_LOW_p_1_in_bh_m18,not_removed,frozen
bootstrap_primary,full_2020_2024_trading_calendar_moving_block_L21_B2000_seed0_paired_fx_oy,frozen
bootstrap_sensitivity,21_anchor_event_day_blocks,secondary_only
outcome_close,RECOVER_CLOSE_future_close_adj_ge_entry_adj_from_anchor_plus_1,frozen
outcome_touch,RECOVER_TOUCH_future_high_adj_ge_entry_adj_from_anchor_plus_1,frozen
final_classification,conservative_min_of_CLOSE_and_TOUCH,frozen
d30_role,strengthening_sensitivity_not_primary_hard_gate,frozen
episode_level_stats,secondary_descriptive_only,frozen
registry_f1_sha_frozen,a052309e6f939796795566d1cd1094e2ec706f53250c231377c64efb315eef14,frozen
2025_read,PROHIBITED,frozen
