field,value,status
phase,F23_POLICY_VALUE_SAMPLING_INFERENCE,frozen
supersedes,F22_POLICY_VALUE_CI_SAFE_FRONTIER_INCOMPLETE,frozen
f22_point_results,ACCEPTED_A_B_point_break_even_precision_unchanged,frozen
primary_estimand,ANCHOR_DAY_EQUAL_WEIGHT_POLICY_VALUE,frozen
failure_label,O1_final_natural_loser_final_return_le_0,frozen
day_component_A_d,sum_failure_matched_delta_divided_by_n_day,frozen
day_component_B_d,sum_recovery_matched_delta_divided_by_n_day,frozen
policy_day_value,V_d_t_f_equals_t_times_A_d_plus_f_times_B_d,frozen
deterministic_note,no_random_classifier_flag_needed_for_expected_value,frozen
point_formula,mean_d_V_d_must_equal_tA_plus_fB,frozen
point_parity_gate,max_abs_diff_lt_1e-12,frozen
hac_inference,752_anchor_days_time_ordered_mean_HAC_SE_95CI_maxlags_10,frozen
calendar_bootstrap,full_2020_2024_trading_calendar_moving_block_L21_B2000_seed0,frozen
calendar_bootstrap_rule,no_anchor_days_NaN_after_resample_drop_NaN_then_mean,frozen
primary_sampling_ci,CALENDAR_BLOCK_BOOTSTRAP_95_CI,frozen
hac_role,confirmatory,frozen
randomization_interval,OLD_f21_MC_INTERVAL_renamed_CONDITIONAL_RANDOMIZATION_INTERVAL_reference_only,frozen
safe_frontier_primary,largest_grid_FPR_with_calendar_bootstrap_CI_lower_gt_0,frozen
safe_frontier_hac,largest_grid_FPR_with_HAC_CI_lower_gt_0_confirmatory,frozen
safe_frontier_randomization,historical_reference_only_not_primary,frozen
perfect_label_parity,TPR_1_FPR_0_must_reproduce_O1_eventday_series_point_1.4485803535_HAC_0.4767_2.4205_boot_0.4027_2.6072,frozen
perfect_label_parity_gate,obvious_mismatch_STOP,frozen
TPR_grid,0.25_0.50_0.75_1.00,frozen
FPR_grid,0_0.05_0.10_0.20_0.30_0.50_1.00,frozen
key_cells,0.25_0.05_0.25_0.10_0.50_0.10_0.50_0.20_0.50_0.30_0.75_0.20_0.75_0.30_0.75_0.50_1.00_0.30_1.00_0.50,frozen
classification_A,TPR_0.5_FPR_0.2_CALENDAR_CI_lower_gt_0_AND_HAC_CI_lower_gt_0,frozen
classification_B,else_if_perfect_label_O1_sampling_significant_positive,frozen
classification_rule_unchanged,relative_A_B_C_D_logic_from_F21_registry,frozen
point_break_even_frozen,0.13496_0.26993_0.40489_0.53986,frozen
break_even_precision_frozen,0.76190,frozen
point_change_rule,if_F22_point_bug_found_STOP,frozen
invariants,I1_matched_delta_unchanged_I2_A_B_unchanged_I3_point_roots_unchanged_I4_Vd_mean_exact_parity_I5_TPR1_FPR0_reproduces_O1_I6_full_calendar_L21_B2000_seed0_I7_no_random_classifier_draw_in_primary_CI_I8_prior_registry_sha_unchanged_I9_no_2025_I10_no_predictor_stop_new_timing,frozen
registry_f1_sha,a052309e6f939796795566d1cd1094e2ec706f53250c231377c64efb315eef14,frozen
registry_f11_sha,aacb2146308abd155401c1231209b7cab14e1bc44c50e6f19007ac39582aef91,frozen
registry_f2_sha,9ed07a575ae65bbda3d63321e676431231d00548bb8977fb443764163b85642a,frozen
registry_f21_sha,12f8311c52df76ca6fc10cb7f5f43a95bae4e1c9a9dc1f5880bfdcee60357787,frozen
registry_f22_sha,aff9c4295fceec450a54ea7bc2bfbc8055761d396081d778d4e1ff616b6095d8,frozen
