date,equity,cash,stock_val,etf_val,etf_shares,holding
2020-01-02,996573.64,4869.58,0.0,991704.06,467300,
2020-01-03,990592.2,4869.58,0.0,985722.62,467300,
2020-01-06,994424.06,4869.58,0.0,989554.48,467300,
2020-01-07,991386.61,4869.58,0.0,986517.03,467300,
2020-01-08,993022.16,4869.58,0.0,988152.58,467300,
2020-01-09,1000358.77,4869.58,0.0,995489.19,467300,
2020-01-10,995452.12,4869.58,0.0,990582.54,467300,
2020-01-13,1001059.72,4869.58,0.0,996190.14,467300,
2020-01-14,995311.93,4869.58,0.0,990442.35,467300,
2020-01-15,995545.58,4869.58,0.0,990676.0,467300,
2020-01-16,1003162.57,4869.58,0.0,998292.99,467300,
2020-01-17,1008069.22,4869.58,0.0,1003199.64,467300,
2020-01-20,1008069.22,4869.58,0.0,1003199.64,467300,
2020-01-21,1001293.37,4869.58,0.0,996423.79,467300,
2020-01-22,1005171.96,4869.58,0.0,1000302.38,467300,
2020-01-23,1006714.05,4869.58,0.0,1001844.47,467300,
2020-02-03,989003.38,4869.58,0.0,984133.8,467300,
2020-02-04,1011293.59,4869.58,0.0,1006424.01,467300,
2020-02-05,1023209.74,4869.58,0.0,1018340.16,467300,
2020-02-06,1029097.72,4869.58,0.0,1024228.14,467300,
2020-02-07,1020499.4,4869.58,0.0,1015629.82,467300,
2020-02-10,1029518.29,4869.58,0.0,1024648.71,467300,
2020-02-11,1031714.6,4869.58,0.0,1026845.02,467300,
2020-02-12,1035780.11,4869.58,0.0,1030910.53,467300,
2020-02-13,1035359.54,4869.58,0.0,1030489.96,467300,
2020-02-14,1038210.07,4869.58,0.0,1033340.49,467300,
2020-02-17,1038210.07,4869.58,0.0,1033340.49,467300,
2020-02-18,1034798.78,4869.58,0.0,1029929.2,467300,
2020-02-19,1042509.23,4869.58,0.0,1037639.65,467300,
2020-02-20,1038677.37,4869.58,0.0,1033807.79,467300,
2020-02-21,1030546.35,4869.58,0.0,1025676.77,467300,
2020-02-24,996667.1,4869.58,0.0,991797.52,467300,
2020-02-25,966526.25,4869.58,0.0,961656.67,467300,
2020-02-26,961292.49,4869.58,0.0,956422.91,467300,
2020-02-27,920170.09,4869.58,0.0,915300.51,467300,
2020-02-28,911197.93,4869.58,0.0,906328.35,467300,
2020-03-02,948628.66,4869.58,0.0,943759.08,467300,
2020-03-03,918955.11,4869.58,0.0,914085.53,467300,
2020-03-04,957367.17,4869.58,0.0,952497.59,467300,
2020-03-05,923908.49,4869.58,0.0,919038.91,467300,
2020-03-06,907459.53,4869.58,0.0,902589.95,467300,
2020-03-09,838532.78,4869.58,0.0,833663.2,467300,
2020-03-10,880683.24,4869.58,0.0,875813.66,467300,
2020-03-11,840916.01,4869.58,0.0,836046.43,467300,
2020-03-12,761848.85,4869.58,0.0,756979.27,467300,
2020-03-13,836850.5,4869.58,0.0,831980.92,467300,
2020-03-16,737549.25,4869.58,0.0,732679.67,467300,
2020-03-17,781241.8,4869.58,0.0,776372.22,467300,
2020-03-18,744231.64,4869.58,0.0,739362.06,467300,
