date,open_positions,cash,equity,invested_pct,n_entries,n_exits,eligible_count,n_signal,n_amount_pos,signal_ratio,cash_pct
2006-05-15,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-16,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-17,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-18,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-19,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-22,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-23,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-24,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-25,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-26,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-29,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-30,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-05-31,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-01,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-02,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-05,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-06,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-07,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-08,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-09,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-12,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-13,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-14,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-15,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-16,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-19,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-20,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-21,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-22,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-23,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-26,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-27,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-28,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-29,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-06-30,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-03,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-04,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-05,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-06,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-07,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-10,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-11,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-12,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-13,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-14,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-17,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-18,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-19,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-20,0,1000000.0,1000000.0,0.0,0,0,1,0,1,0.0,1.0
2006-07-21,0,1000000.0,1000000.0,0.0,0,0,2,0,2,0.0,1.0
2006-07-24,0,1000000.0,1000000.0,0.0,0,0,2,0,2,0.0,1.0
2006-07-25,0,1000000.0,1000000.0,0.0,0,0,2,0,2,0.0,1.0
2006-07-26,0,1000000.0,1000000.0,0.0,0,0,2,0,2,0.0,1.0
2006-07-27,0,1000000.0,1000000.0,0.0,0,0,2,0,2,0.0,1.0
2006-07-28,0,1000000.0,1000000.0,0.0,0,0,2,0,2,0.0,1.0
2006-07-31,0,1000000.0,1000000.0,0.0,0,0,2,1,2,0.5,1.0
2006-08-01,1,799987.146184225,997726.146184225,0.198189654301681,1,0,2,2,2,1.0,0.801810345698319
2006-08-02,2,600002.9281256,994387.4281256,0.3966105049652596,1,0,2,1,2,0.5,0.6033894950347404
2006-08-03,2,400010.80019,992860.70019,0.5971128677835155,1,0,2,0,2,0.0,0.40288713221648453
2006-08-04,2,400010.80019,981193.40019,0.5923221659333,0,0,2,1,2,0.5,0.4076778340667
2006-08-07,2,200005.4557511,968178.8557511,0.7934209629108886,1,0,2,2,2,1.0,0.2065790370891114
2006-08-08,2,200005.4557511,987457.4557511,0.7974541033780865,0,0,2,0,2,0.0,0.20254589662191347
2006-08-09,2,200005.4557511,986315.8557511,0.797219668947944,0,0,3,0,3,0.0,0.20278033105205595
2006-08-10,2,200005.4557511,997104.1557510999,0.7994136775004818,0,0,3,0,3,0.0,0.20058632249951824
2006-08-11,2,200005.4557511,997198.0557511,0.7994325654792279,0,0,3,0,3,0.0,0.20056743452077208
2006-08-14,2,200005.4557511,984979.0557511,0.7969444582772525,0,0,3,0,3,0.0,0.20305554172274753
