date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2006-08-01,ENTRY,399330.SZ,159901.SZ,155700,1.2842829999999998,199962.8631,49.990715775,799987.146184225,1,,
2006-08-02,ENTRY,上海证券交易所50成份,510050.SH,191500,1.0440429999999998,199934.23449999996,49.98355862499999,600002.9281256,1,,
2006-08-03,ADD,399330.SZ,159901.SZ,158400,1.2622609999999999,199942.14239999998,49.9855356,400010.80019,2,,
2006-08-07,ADD,399330.SZ,159901.SZ,162800,1.228227,199955.35559999998,49.9888389,200005.4557511,3,,
2006-08-28,EXIT_PSTAR,399330.SZ,159901.SZ,476900,1.2945156683309313,617354.5222270212,154.3386305567553,817205.6393475644,3,17189.857406189498,27.0
2006-08-28,EXIT_PSTAR,上海证券交易所50成份,510050.SH,191500,1.0700247103544265,204909.73203287268,51.22743300821817,1022064.1439474289,1,4874.286541239471,26.0
2007-06-05,ENTRY,上海证券交易所上证红利,510880.SH,66000,3.0290259999999996,199915.71599999996,49.978928999999994,822098.4490184289,1,,
2007-06-05,ENTRY,上海证券交易所180成份,510180.SH,26400,7.573565999999999,199942.14239999995,49.98553559999999,622106.321082829,1,,
2007-06-13,EXIT_PSTAR,上海证券交易所180成份,510180.SH,26400,9.024083710727783,238235.80996321348,59.55895249080337,860282.5720935517,1,38184.12307512273,8.0
2007-07-06,ENTRY,上海证券交易所50成份,510050.SH,72300,2.7627599999999997,199747.54799999998,49.936887,660485.0872065518,1,,
2007-07-06,ENTRY,399330.SZ,159901.SZ,52400,3.8138099999999997,199843.64399999997,49.960910999999996,460591.4822955518,1,,
2007-07-06,ADD,上海证券交易所上证红利,510880.SH,66600,3.0029999999999997,199999.8,49.99995,260541.68234555182,2,,
2007-07-20,EXIT_PSTAR,上海证券交易所50成份,510050.SH,72300,3.0485734429572635,220411.85992581016,55.102964981452544,480898.4393063805,1,20559.27207382873,14.0
2007-07-23,EXIT_PSTAR,上海证券交易所上证红利,510880.SH,132600,3.4268600319501705,454401.6402365926,113.60041005914816,935186.479132914,2,54272.54494753351,48.0
2007-07-23,EXIT_PSTAR,399330.SZ,159901.SZ,52400,4.243433684941937,222355.92509095752,55.58898127273938,1157486.8152425988,1,22406.73119868481,17.0
2007-10-26,ENTRY,中小企业100,159902.SZ,78200,2.5555529999999997,199844.24459999998,49.96106114999999,957592.6095814488,1,,
2007-11-09,ENTRY,上海证券交易所50成份,510050.SH,50100,3.9919879999999996,199998.59879999998,49.99964969999999,757544.0111317488,1,,
2007-11-09,ENTRY,上海证券交易所上证红利,510880.SH,46400,4.3022979999999995,199626.6272,49.9066568,557867.4772749487,1,,
2007-11-13,ADD,上海证券交易所50成份,510050.SH,49900,4.004,199799.59999999998,49.94989999999999,358017.92737494875,2,,
2007-11-13,ADD,上海证券交易所上证红利,510880.SH,47000,4.25425,199949.75,49.9874375,158018.18993744874,2,,
2007-11-13,ADD,中小企业100,159902.SZ,65400,2.4144119999999996,157902.54479999997,39.4756362,76.16950124877621,2,,
2007-12-10,EXIT_PSTAR,中小企业100,159902.SZ,143600,2.6235054573823327,376735.383680103,94.18384592002575,376717.3693354317,2,18804.97373683298,45.0
2008-01-08,EXIT_PSTAR,上海证券交易所上证红利,510880.SH,93400,4.972570930437038,464438.12490281934,116.10953122570484,841039.3847070254,2,64645.744077293675,60.0
2008-01-23,ENTRY,上海证券交易所上证红利,510880.SH,48600,4.11411,199945.746,49.9864365,641043.6522705253,1,,
2008-01-23,ENTRY,399330.SZ,159901.SZ,39900,5.004999999999999,199699.49999999997,49.92487499999999,441294.2273955254,1,,
2008-01-23,ADD,上海证券交易所50成份,510050.SH,52600,3.7987949999999997,199816.617,49.95415425,241427.65624127537,3,,
2008-01-29,ADD,上海证券交易所50成份,510050.SH,54200,3.68368,199655.456,49.913864000000004,41722.28637727536,4,,
