index_key,cluster
159007.SZ,60
159013.SZ,61
159021.SZ,62
159106.SZ,63
159108.SZ,52
159150.SZ,1
159151.SZ,53
159159.SZ,54
159165.SZ,55
159192.SZ,56
159201.SZ,19
159203.SZ,2
159206.SZ,9
159207.SZ,24
159209.SZ,19
159218.SZ,9
159227.SZ,9
159232.SZ,19
159235.SZ,19
159259.SZ,57
159263.SZ,24
159275.SZ,58
159283.SZ,9
159287.SZ,59
159288.SZ,64
159289.SZ,65
159301.SZ,18
159305.SZ,4
159306.SZ,10
159325.SZ,14
159326.SZ,17
159328.SZ,11
159335.SZ,20
159336.SZ,24
159337.SZ,17
159350.SZ,1
159355.SZ,24
159363.SZ,15
159368.SZ,4
159378.SZ,9
159385.SZ,14
159387.SZ,4
159389.SZ,14
159391.SZ,21
159399.SZ,19
159500.SZ,66
159503.SZ,67
159507.SZ,15
159510.SZ,2
159511.SZ,15
159512.SZ,11
159516.SZ,14
159520.SZ,32
159523.SZ,1
159528.SZ,2
159530.SZ,10
159536.SZ,17
159537.SZ,14
159538.SZ,14
159539.SZ,14
159540.SZ,14
159541.SZ,1
159546.SZ,14
159559.SZ,10
159565.SZ,10
159566.SZ,4
159578.SZ,2
159579.SZ,68
159583.SZ,15
159586.SZ,8
159587.SZ,33
159588.SZ,23
159592.SZ,2
159593.SZ,2
159595.SZ,2
159599.SZ,14
159606.SZ,17
159611.SZ,18
159613.SZ,8
159616.SZ,33
159617.SZ,35
159620.SZ,16
159623.SZ,1
159625.SZ,18
159628.SZ,17
159629.SZ,17
159630.SZ,28
159635.SZ,20
159638.SZ,9
159641.SZ,3
159643.SZ,31
159645.SZ,31
159647.SZ,30
159653.SZ,2
159656.SZ,1
159658.SZ,14
159662.SZ,35
159666.SZ,35
159667.SZ,16
159683.SZ,35
159686.SZ,2
159692.SZ,27
159695.SZ,15
159697.SZ,23
159698.SZ,33
159701.SZ,12
159703.SZ,3
159707.SZ,34
159709.SZ,12
159717.SZ,2
159720.SZ,3
159725.SZ,7
159728.SZ,7
159730.SZ,11
159731.SZ,6
159732.SZ,12
159733.SZ,12
159736.SZ,32
159743.SZ,17
159745.SZ,34
159752.SZ,4
159755.SZ,3
159758.SZ,32
159760.SZ,31
159761.SZ,3
159766.SZ,32
159768.SZ,34
159770.SZ,10
159778.SZ,12
159781.SZ,13
159786.SZ,12
159789.SZ,32
159790.SZ,4
159796.SZ,4
159805.SZ,7
159807.SZ,13
159811.SZ,15
159815.SZ,13
159819.SZ,8
159820.SZ,17
159825.SZ,33
159837.SZ,31
159838.SZ,31
159843.SZ,32
159845.SZ,17
159851.SZ,8
159852.SZ,8
159855.SZ,7
159859.SZ,31
159861.SZ,4
159865.SZ,33
159869.SZ,7
159870.SZ,6
159872.SZ,10
159873.SZ,31
159877.SZ,31
159883.SZ,31
