index_key,etf_code,etf_name,exchange,list_date,delist_date,found_date,fund_manager,status,index_code,index_name,index_publisher,publisher_confidence,index_category,asset_class,domestic_a_share_flag,passive_index_flag,cross_mixed_flag,is_csi_publisher,eligible,exclusion_reason,match_level,bench_idx_name,data_source,retrieval_date,has_daily,history_start,history_end,n_days,close,daily_amount,adv20,adv60,fund_share,fund_size,premium_max,zero_amt_days,adj_factor_last,last_amount,fund_share_first_date,fund_share_last_date
000009.SH,530380.SH,易方达上证380ETF,SH,20250930,,20250922,易方达基金管理有限公司,L,000009.SH,上证380,中证指数有限公司、上海证券交易所,INDEX_BASIC,规模指数,EQUITY,True,True,False,True,True,,L1_EX_EXACT,上证380,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20250930,20260903,224,1.099,822327.0,3298439.2500000005,4451638.483333333,13470.5,148040795.0,,0,1.0,822.327,20250929,20260903
000010.SH,510010.SH,交银上证180公司治理ETF,SH,20091215,,20090925,交银施罗德基金管理有限公司,L,000010.SH,上证180公司治理,中证指数有限公司、上海证券交易所,INDEX_BASIC,规模指数,EQUITY,True,True,False,True,True,,L2B_EX_REVSUB,上证180公司治理,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20091215,20260903,4043,1.784,38722.0,75733.04999999999,212999.6333333334,13052.44,232855529.6,,0,1.0,38.722,20180626,20260903
000016.SH,510100.SH,易方达上证50ETF,SH,20191009,,20190906,易方达基金管理有限公司,L,000016.SH,上证50,中证指数有限公司、上海证券交易所,INDEX_BASIC,规模指数,EQUITY,True,True,False,True,True,,L1_EX_EXACT,上证50,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20191009,20260903,1677,2.988,236337422.0,268148614.79999998,387534771.71666664,93380.68,2790214718.3999996,,0,0.4645,236337.422,20190906,20260903
000029.SH,510030.SH,华宝上证180价值ETF,SH,20100528,,20100423,华宝基金管理有限公司,L,000029.SH,上证180价值,中证指数有限公司、上海证券交易所,INDEX_BASIC,风格指数,EQUITY,True,True,False,True,True,,L4_NORM_EX,上证180价值,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20100528,20260903,3942,1.089,2970242.0,3343848.8499999996,5113311.350000001,14422.98,157066252.2,,0,8.0385,2970.242,20180626,20260903
000037.SH,510660.SH,华夏上证医药卫生ETF,SH,20130508,,20130328,华夏基金管理有限公司,L,000037.SH,上证医药卫生行业,中证指数有限公司、上海证券交易所,INDEX_BASIC,行业指数,EQUITY,True,True,False,True,True,,L2B_EX_REVSUB,上证医药卫生行业,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20130508,20260903,3242,2.467,7517432.0,14232732.05,17164613.03333333,5237.97,129220719.9,,0,1.0,7517.432,20180626,20260903
000044.SH,510130.SH,易方达上证中盘ETF,SH,20100623,,20100329,易方达基金管理有限公司,L,000044.SH,上证中盘,中证指数有限公司、上海证券交易所,INDEX_BASIC,规模指数,EQUITY,True,True,False,True,True,,L1_EX_EXACT,上证中盘,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20100623,20260903,3793,7.417,479427.0,1872942.05,2766712.5999999996,3148.51,233524986.70000002,,0,1.0,479.427,20180626,20260903
000069.SH,510150.SH,招商上证消费80ETF,SH,20110225,,20101208,招商基金管理有限公司,L,000069.SH,上证消费80,中证指数有限公司、上海证券交易所,INDEX_BASIC,主题指数,EQUITY,True,True,False,True,True,,L4_NORM_EX,上证消费80,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20110225,20260903,3760,0.498,21034613.0,35676642.64999999,40434947.1,283717.86,1412914942.8,,0,12.0672,21034.613,20180626,20260903
000126.SH,515650.SH,富国中证消费50ETF,SH,20191111,,20191014,富国基金管理有限公司,L,000126.SH,中证消费50,中证指数有限公司、上海证券交易所,INDEX_BASIC,主题指数,EQUITY,True,True,False,True,True,,L2B_EX_REVSUB,中证消费50,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20191111,20260903,1655,1.075,45209341.0,65765073.99999999,72640705.5,302118.4,3247772800.0,,0,1.0,45209.341,20191014,20260903
000300.SH,510300.SH,华泰柏瑞沪深300ETF,SH,20120528,,20120504,华泰柏瑞基金管理有限公司,L,000300.SH,沪深300,中证指数有限公司、上海证券交易所,INDEX_BASIC,规模指数,EQUITY,True,True,False,True,True,,L1_EX_EXACT,沪深300,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20120528,20260903,3470,4.621,2305980422.0,3627670550.3500004,5919443615.283334,2312058.77,106840235761.70001,,0,1.2671,2305980.422,20180626,20260903
000510.SH,563360.SH,华泰柏瑞中证A500ETF,SH,20241015,,20240925,华泰柏瑞基金管理有限公司,L,000510.SH,中证A500,中证指数有限公司,INDEX_BASIC,规模指数,EQUITY,True,True,False,True,True,,L1_EX_EXACT,中证A500,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42,True,20241015,20260903,462,1.27,3736467391.0,4297384381.85,4156615248.733333,3121998.74,39649383998.00001,,0,1.0,3736467.391,20241015,20260903
