etf_code,etf_name,exchange,list_date,delist_date,found_date,fund_manager,fund_type,invest_type,status,index_code,index_name,index_publisher,publisher_confidence,index_category,passive_index_flag,domestic_a_share_flag,cross_mixed_flag,is_csi_publisher,asset_class,eligible,exclusion_reason,match_level,match_status,bench_idx_name,benchmark,data_source,retrieval_date
158028.SZ,招商中证稀有金属主题ETF,SZ,,,20260902,招商基金管理有限公司,股票型,,L,,中证稀有金属主题,中证指数有限公司,RULE_BASED,,False,True,False,True,EQUITY,False,NOT_PASSIVE,L5_RULE,RULE,中证稀有金属主题,中证稀有金属主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
562110.SH,东方红中证云计算50ETF,SH,,,20260902,上海东方证券资产管理有限公司,股票型,,L,,中证云计算50,中证指数有限公司,RULE_BASED,,False,True,False,True,EQUITY,False,NOT_PASSIVE,L5_RULE,RULE,中证云计算50,中证云计算50指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
158032.SZ,景顺长城中证细分化工产业主题ETF,SZ,,,20260902,景顺长城基金管理有限公司,股票型,,L,000813.CSI,中证细分化工产业主题,中证指数有限公司,INDEX_BASIC,主题指数,False,True,False,True,EQUITY,False,NOT_PASSIVE,L2B_EX_REVSUB,OK,中证细分化工产业主题,中证细分化工产业主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159025.SZ,华安中证家电龙头ETF,SZ,,,20260902,华安基金管理有限公司,股票型,,L,931021.CSI,中证家电龙头,中证指数有限公司,INDEX_BASIC,主题指数,False,True,False,True,EQUITY,False,NOT_PASSIVE,L2B_EX_REVSUB,OK,中证家电龙头,中证家电龙头指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
561610.SH,鑫元中证绿色电力ETF,SH,,,20260902,鑫元基金管理有限公司,股票型,,L,,中证绿色电力,中证指数有限公司,RULE_BASED,,False,True,False,True,EQUITY,False,NOT_PASSIVE,L5_RULE,RULE,中证绿色电力,中证绿色电力指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515440.SH,南方中证A股ETF,SH,,,20260902,南方基金管理股份有限公司,股票型,,L,930903.CSI,中证A股,中证指数有限公司、上海证券交易所,INDEX_BASIC,综合指数,False,True,False,True,EQUITY,False,NOT_PASSIVE,L1_EX_EXACT,OK,中证A股,中证A股指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
562150.SH,鹏华中证全指红利质量ETF,SH,,,20260831,鹏华基金管理有限公司,股票型,,L,,中证全指红利质量,中证指数有限公司,RULE_BASED,,False,True,False,True,EQUITY,False,NOT_PASSIVE,L5_RULE,RULE,中证全指红利质量,中证全指红利质量指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
589430.SH,华宝上证科创板芯片设计主题ETF,SH,20260904,,20260827,华宝基金管理有限公司,股票型,,L,932040.CSI,上证科创板芯片设计主题,中证指数有限公司,INDEX_BASIC,主题指数,False,True,False,True,EQUITY,False,NOT_PASSIVE,L2B_EX_REVSUB,OK,上证科创板芯片设计主题,上证科创板芯片设计主题指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
158013.SZ,易方达国证航天航空行业ETF,SZ,20260907,,20260826,易方达基金管理有限公司,股票型,,L,,国证航天航空行业,深圳证券信息有限公司,RULE_BASED,,False,True,False,False,EQUITY,False,NOT_PASSIVE,L5_RULE,RULE,国证航天航空行业,国证航天航空行业指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
561530.SH,银华中证银行ETF,SH,20260903,,20260826,银华基金管理股份有限公司,股票型,,L,399986.SZ,中证银行,中证指数有限公司,INDEX_BASIC,行业指数,False,True,False,True,EQUITY,False,NOT_PASSIVE,L1_EX_EXACT,OK,中证银行,中证银行指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
