etf_code,etf_name,index_name,price_limit_rule,price_limit_pit,t_plus_rule,tick_size,lot_size
158028.SZ,招商中证稀有金属主题ETF,中证稀有金属主题,10PCT,10PCT,T+1,0.001,100
562110.SH,东方红中证云计算50ETF,中证云计算50,10PCT,10PCT,T+1,0.001,100
158032.SZ,景顺长城中证细分化工产业主题ETF,中证细分化工产业主题,10PCT,10PCT,T+1,0.001,100
159025.SZ,华安中证家电龙头ETF,中证家电龙头,10PCT,10PCT,T+1,0.001,100
561610.SH,鑫元中证绿色电力ETF,中证绿色电力,10PCT,10PCT,T+1,0.001,100
515440.SH,南方中证A股ETF,中证A股,10PCT,10PCT,T+1,0.001,100
562150.SH,鹏华中证全指红利质量ETF,中证全指红利质量,10PCT,10PCT,T+1,0.001,100
589430.SH,华宝上证科创板芯片设计主题ETF,上证科创板芯片设计主题,20PCT_STAR,20PCT_STAR,T+1,0.001,100
158013.SZ,易方达国证航天航空行业ETF,国证航天航空行业,10PCT,10PCT,T+1,0.001,100
561530.SH,银华中证银行ETF,中证银行,10PCT,10PCT,T+1,0.001,100
158011.SZ,国泰创业板软件ETF,创业板软件,20PCT_GEM_20200824,10PCT_until_2020-08-23_then_20PCT,T+1,0.001,100
158027.SZ,易方达中证工业互联网主题ETF,中证工业互联网主题,10PCT,10PCT,T+1,0.001,100
561690.SH,农银汇理沪深300质量ETF,沪深300质量,10PCT,10PCT,T+1,0.001,100
158023.SZ,万家中证800红利低波动ETF,中证800红利低波动,10PCT,10PCT,T+1,0.001,100
562180.SH,招商中证A500红利低波动ETF,中证A500红利低波动,10PCT,10PCT,T+1,0.001,100
158010.SZ,嘉实中证医疗ETF,中证医疗,10PCT,10PCT,T+1,0.001,100
159096.SZ,华夏国证价值100ETF,国证价值100,10PCT,10PCT,T+1,0.001,100
158017.SZ,易方达中证细分化工产业主题ETF,中证细分化工产业主题,10PCT,10PCT,T+1,0.001,100
158019.SZ,永赢中证电池主题ETF,中证电池主题,10PCT,10PCT,T+1,0.001,100
158008.SZ,华夏国证新能源电池ETF,国证新能源电池,10PCT,10PCT,T+1,0.001,100
561730.SH,华夏中证A股ETF,中证A股,10PCT,10PCT,T+1,0.001,100
158001.SZ,嘉实国证价值100ETF,国证价值100,10PCT,10PCT,T+1,0.001,100
158005.SZ,博时中证工程机械主题ETF,中证工程机械主题,10PCT,10PCT,T+1,0.001,100
589460.SH,华宝上证科创板200ETF,上证科创板200,20PCT_STAR,20PCT_STAR,T+1,0.001,100
159073.SZ,汇添富国证粮食产业ETF,国证粮食产业,10PCT,10PCT,T+1,0.001,100
158012.SZ,南方中证云计算50ETF,中证云计算50,10PCT,10PCT,T+1,0.001,100
517230.SH,永赢中证沪港深云计算产业ETF,中证沪港深云计算产业,10PCT,10PCT,T+1,0.001,100
159082.SZ,华夏中证细分化工产业主题ETF,中证细分化工产业主题,10PCT,10PCT,T+1,0.001,100
561410.SH,工银瑞信中证光伏产业ETF,中证光伏产业,10PCT,10PCT,T+1,0.001,100
159043.SZ,华安中证全指食品ETF,中证全指食品,10PCT,10PCT,T+1,0.001,100
