metric,value
total_days,4941.0
eligible_etf_mean,101.2742359846185
eligible_etf_median,70.0
eligible_etf_max,317.0
signal_days,1537.0
mean_daily_signal,4.916008905079943
median_daily_signal,0.0
p75_signal,1.0
p90_signal,11.0
max_signal,266.0
pct_0_signal_days,68.89293665249949
pct_1plus_signal_days,31.107063347500507
pct_3plus_signal_days,20.420967415502936
pct_5plus_signal_days,16.15057680631451
pct_10plus_signal_days,11.030155838899008
mean_signal_ratio,0.04706072506351445
max_signal_ratio,1.0
