trade_id,model,index_key,index_name,etf,entry_date,entry_price,avg_cost,exit_date,exit_price,exit_action,shares,holding_days,trade_return,pnl,n_adds,max_level,cluster,MAE_pct,MAE_day,MFE_pct,MFE_day,hit_mid,hit_upper,days_to_mid,days_to_upper,mfe_at_mid_pct,hit_mid_then_failed,hit_mid_then_upper,never_hit_mid,failure_class,mae_5d_pct,mae_10d_pct
0,Model1,399330.SZ,深证100,159901.SZ,2006-08-01,1.284,1.2578904057454392,2006-08-28,1.295,EXIT_PSTAR,476900,27,0.02950145265840484,17543.16912500001,2,3,6,-4.13,2006-08-07,4.62,2006-08-28,True,True,21,27.0,0.96,False,True,False,E_OTHER,-4.13,-4.13
1,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2006-08-02,1.044,1.0274897905214486,2006-08-28,1.07,EXIT_PSTAR,389300,26,0.04137287773631075,16445.086800000074,1,2,42,-1.9,2006-08-07,5.6,2006-08-28,True,True,20,26.0,2.39,False,True,False,E_OTHER,-1.9,-1.9
2,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2007-07-06,2.763,2.76369075,2007-07-20,3.049,EXIT_PSTAR,72300,14,0.10323486808355822,20572.748100000004,0,1,42,2.65,2007-07-06,11.77,2007-07-20,True,True,6,14.0,6.89,False,True,False,E_OTHER,2.65,2.65
3,Model1,399330.SZ,深证100,159901.SZ,2007-07-06,3.814,3.8149535,2007-07-23,4.243,EXIT_PSTAR,52400,17,0.1122022850344048,22374.053300000018,0,1,6,1.52,2007-07-16,14.02,2007-07-23,True,True,14,17.0,8.65,False,True,False,E_OTHER,4.35,1.52
4,Model1,上海证券交易所上证红利,上海证券交易所上证红利,510880.SH,2007-06-05,3.029,3.016695161764706,2007-07-23,3.427,EXIT_PSTAR,132600,48,0.13601136881038853,54292.81649999999,1,2,38,-0.26,2007-07-05,21.19,2007-06-19,True,True,7,48.0,17.35,False,True,False,E_OTHER,5.74,5.74
5,Model1,中小企业100,中小企业100,159902.SZ,2007-10-26,2.556,2.4983049024114545,2007-12-10,2.624,EXIT_PSTAR,132700,45,0.0503121526388633,16592.688249999937,1,2,6,-3.73,2007-11-12,8.03,2007-12-10,True,True,25,45.0,6.47,False,True,False,E_OTHER,2.87,1.55
6,Model1,上海证券交易所上证红利,上海证券交易所上证红利,510880.SH,2007-11-09,4.3020000000000005,4.278915285867238,2008-01-08,4.973,EXIT_PSTAR,93400,60,0.16221043600120888,64711.39274999988,1,2,38,-6.61,2007-11-28,13.58,2008-01-08,True,False,26,,3.58,False,False,False,E_OTHER,-1.63,-1.87
7,Model1,399330.SZ,深证100,159901.SZ,2008-01-23,5.005,5.00625125,2008-07-10,3.262,EXIT_PSTAR,39900,169,-0.3484146445906006,-69628.16332499999,0,1,6,-44.05,2008-06-19,7.59,2008-02-19,True,False,27,,7.59,True,False,False,B_REBOUND_RELAPSE,-0.1,-4.16
8,Model1,上海证券交易所上证红利,上海证券交易所上证红利,510880.SH,2008-01-23,4.114,4.10940048362235,2008-11-17,1.635,EXIT_PSTAR,51900,299,-0.6021317448819732,-128442.59922499998,1,2,38,-68.44,2008-11-04,5.95,2008-02-19,True,False,27,,5.95,True,False,False,B_REBOUND_RELAPSE,-2.88,-5.36
9,Model1,中小企业100,中小企业100,159902.SZ,2008-08-06,1.87,1.8695846443965518,2008-11-18,1.271,EXIT_PSTAR,69600,104,-0.32016985494109995,-41683.606650000016,1,2,6,-42.82,2008-10-27,-0.25,2008-08-06,True,True,47,100.0,-0.25,True,True,False,B_REBOUND_RELAPSE,-10.57,-12.81
10,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2007-11-09,3.992,3.866048475580271,2009-01-19,1.528,EXIT_PSTAR,206800,437,-0.6047643971223986,-483587.42235,3,4,42,-65.78,2008-10-27,14.77,2008-01-14,True,False,26,,6.26,True,False,False,B_REBOUND_RELAPSE,1.5,-1.6
11,Model1,上海证券交易所180成份,上海证券交易所180成份,510180.SH,2009-05-22,0.602,0.6046405419437726,2009-07-01,0.717,EXIT_PSTAR,661600,40,0.18582852167838265,74218.42565000003,1,2,42,-1.1,2009-05-26,19.08,2009-07-01,True,True,28,40.0,13.46,False,True,False,E_OTHER,-1.1,-1.1
12,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2009-08-13,2.508,2.508627,2009-11-16,2.594,EXIT_PSTAR,79700,95,0.03403176319157838,6752.542649999976,0,1,42,-18.48,2009-08-31,3.96,2009-11-16,True,True,26,95.0,0.93,False,True,False,E_OTHER,-10.71,-10.71
13,Model1,399330.SZ,深证100,159901.SZ,2009-08-13,3.836,3.7843573111979167,2009-11-16,4.197,EXIT_PSTAR,96000,95,0.10903904015116998,39512.97012500003,1,2,6,-15.31,2009-08-31,12.41,2009-11-16,True,True,26,95.0,2.77,False,True,False,E_OTHER,-10.95,-10.95
14,Model1,上海证券交易所180成份,上海证券交易所180成份,510180.SH,2009-08-19,0.7010000000000001,0.7260000000000001,2009-11-16,0.782,EXIT_PSTAR,200,89,0.07713498622589522,6.199999999999989,0,1,42,-14.88,2009-08-31,8.68,2009-11-16,True,True,20,89.0,-2.62,False,True,False,E_OTHER,-8.82,-14.88
15,Model1,上海证券交易所180成份,上海证券交易所180成份,510180.SH,2009-12-21,0.734,0.7341892347762289,2010-01-11,0.793,EXIT_PSTAR,272600,21,0.08010300674279962,15977.771650000015,1,2,42,-2.61,2009-12-22,4.88,2009-12-31,True,False,9,,4.61,False,False,False,E_OTHER,-2.61,-2.61
16,Model1,399330.SZ,深证100,159901.SZ,2009-12-21,3.97,3.939740112919132,2010-02-25,3.951,EXIT_PSTAR,101400,66,0.002858027879540832,1041.594700000083,1,2,6,-4.97,2010-02-02,7.44,2009-12-31,True,True,9,66.0,6.99,False,True,False,E_OTHER,-0.81,-0.81
17,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2009-11-30,2.43,2.4274219335260114,2010-03-01,2.32,EXIT_PSTAR,86500,91,-0.04425350699949111,-9342.167250000002,2,3,42,-9.04,2010-02-01,6.94,2009-12-07,True,False,4,,6.86,True,False,False,B_REBOUND_RELAPSE,1.8,1.8
18,Model1,上海证券交易所上证红利,上海证券交易所上证红利,510880.SH,2010-01-26,2.611,2.611806451612903,2010-03-01,2.569,EXIT_PSTAR,6200,34,-0.01638959563273472,-270.3999999999998,0,1,38,-6.31,2010-02-02,-1.56,2010-03-01,True,False,29,,-2.67,True,False,False,B_REBOUND_RELAPSE,-6.23,-6.31
19,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2010-04-20,2.216,2.2143055127421003,2010-07-23,1.973,EXIT_PSTAR,98100,94,-0.10897570879606305,-23720.458625000032,1,2,42,-17.85,2010-07-05,0.84,2010-04-21,True,False,62,,0.84,True,False,False,B_REBOUND_RELAPSE,-2.9,-5.25
20,Model1,上海证券交易所180成份,上海证券交易所180成份,510180.SH,2010-04-20,0.684,0.684171,2010-07-28,0.617,EXIT_PSTAR,292300,99,-0.0981786717063424,-19679.170574999996,0,1,42,-20.2,2010-07-05,1.14,2010-04-21,True,False,62,,1.14,True,False,False,B_REBOUND_RELAPSE,-1.49,-5.14
21,Model1,399330.SZ,深证100,159901.SZ,2010-04-20,3.777,3.77794425,2010-08-19,3.686,EXIT_PSTAR,52900,121,-0.02433711138008457,-4912.5981750000265,0,1,6,-22.07,2010-07-05,1.46,2010-04-21,True,False,37,,1.46,True,False,False,B_REBOUND_RELAPSE,-1.11,-6.01
22,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2010-09-17,1.899,1.8994747500000002,2010-10-08,2.025,EXIT_PSTAR,105300,21,0.06608418985301051,13164.50069999997,0,1,42,-0.45,2010-09-17,6.66,2010-10-08,True,False,13,,2.55,False,False,False,E_OTHER,-0.45,-0.45
23,Model1,上海证券交易所上证红利,上海证券交易所上证红利,510880.SH,2010-08-26,2.115,2.1155287500000006,2010-10-11,2.229,EXIT_PSTAR,94500,46,0.053637299894884166,10670.372999999949,0,1,38,-1.77,2010-09-17,6.36,2010-10-11,True,True,11,46.0,3.71,False,True,False,E_OTHER,-0.02,-0.02
24,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2010-11-15,2.162,2.1625405,2010-12-13,2.052,EXIT_PSTAR,92500,28,-0.051116036901967817,-10272.448749999992,0,1,42,-9.18,2010-11-23,-1.0,2010-11-15,True,True,25,28.0,-1.0,True,True,False,B_REBOUND_RELAPSE,-7.47,-9.18
25,Model1,上海证券交易所180成份,上海证券交易所180成份,510180.SH,2010-11-15,0.6940000000000001,0.6941735,2010-12-13,0.674,EXIT_PSTAR,288100,28,-0.029061178509407166,-5860.530200000019,0,1,42,-6.51,2010-11-23,-0.02,2010-11-15,True,True,28,28.0,-0.02,True,True,False,B_REBOUND_RELAPSE,-5.79,-6.51
26,Model1,深圳证券交易所成份,深圳证券交易所成份,159903.SZ,2010-11-15,1.279,1.2793197500000002,2010-12-13,1.295,EXIT_PSTAR,150500,28,0.01225670908308867,2311.1532499999594,0,1,15,-5.65,2010-11-17,2.79,2010-12-13,True,True,22,28.0,0.44,False,True,False,E_OTHER,-5.65,-5.65
27,Model1,399330.SZ,深证100,159901.SZ,2010-12-29,0.788,0.7881969999999999,2011-02-14,0.8240000000000001,EXIT_PSTAR,253800,47,0.04542392320701569,9034.518600000034,0,1,6,-5.99,2011-01-25,5.43,2011-01-04,True,True,6,47.0,5.43,False,True,False,E_OTHER,0.23,0.23
28,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2010-12-29,1.952,1.9524879999999998,2011-02-14,2.026,EXIT_PSTAR,91600,47,0.03765042345970886,6687.303800000042,0,1,42,-3.05,2011-01-20,4.53,2011-02-14,True,True,6,47.0,2.89,False,True,False,E_OTHER,-0.79,-0.79
29,Model1,中小企业100,中小企业100,159902.SZ,2010-12-28,3.0500000000000003,3.0208144660823173,2011-07-04,2.779,EXIT_PSTAR,196800,188,-0.08004942666867113,-47725.81372500006,2,3,6,-17.04,2011-06-20,6.46,2011-01-04,True,True,7,188.0,6.46,True,True,False,B_REBOUND_RELAPSE,-0.39,-0.39
30,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2011-07-26,1.924,1.9244809999999999,2011-10-28,1.808,EXIT_PSTAR,103900,94,-0.060525928808857994,-12149.338699999982,0,1,42,-12.39,2011-10-10,0.34,2011-07-27,True,True,30,94.0,0.34,True,True,False,B_REBOUND_RELAPSE,-0.6,-6.0
31,Model1,上海证券交易所180成份,上海证券交易所180成份,510180.SH,2011-07-26,0.623,0.6231560129243227,2011-10-28,0.5740000000000001,EXIT_PSTAR,321100,94,-0.07888235354360963,-15830.073599999983,1,2,42,-14.15,2011-10-21,0.78,2011-07-27,True,True,30,94.0,0.78,True,True,False,B_REBOUND_RELAPSE,-0.19,-5.8
32,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2011-12-15,1.647,1.64741175,2012-01-10,1.688,EXIT_PSTAR,104400,26,0.02463758680851941,4193.356499999987,0,1,42,-2.51,2011-12-27,4.47,2012-01-10,True,True,25,26.0,1.8,False,True,False,E_OTHER,-2.09,-2.51
33,Model1,深圳证券交易所成份,深圳证券交易所成份,159903.SZ,2011-08-08,1.182,1.1822955,2012-01-20,0.964,EXIT_PSTAR,124100,165,-0.18463700487737625,-27120.37965,0,1,15,-26.16,2012-01-05,1.24,2011-08-15,True,False,17,,1.24,True,False,False,B_REBOUND_RELAPSE,-2.56,-2.9
34,Model1,中小企业100,中小企业100,159902.SZ,2011-12-06,2.214,2.2145535,2012-02-27,2.264,EXIT_PSTAR,90300,83,0.022327977174631242,4413.909150000015,0,1,6,-16.06,2012-01-16,0.74,2011-12-08,True,False,35,,0.74,False,False,False,E_OTHER,-1.42,-6.8
