model,breadth_bin,trade_count,mean_return_pct,median_return_pct,win_rate_pct,profit_factor,mean_MAE_pct,mean_MFE_pct
Model1,0-5%,54,-0.77,2.38,68.5,0.8909,13.05,35.59
Model1,5-10%,4,-0.39,-1.33,50.0,0.9285,-2.92,7.33
Model1,10-25%,15,1.49,2.26,53.3,2.4089,-5.62,6.98
Model1,25-50%,9,-3.23,-5.11,33.3,0.2229,-8.75,0.99
Model1,50%+,19,-6.26,-1.64,42.1,0.1743,-16.98,2.74
Model1,low_breadth(<10%),58,-0.74,2.19,67.2,0.8922,,
Model1,high_breadth(>=25%),28,-5.29,-2.67,39.3,0.179,,
Model2,0-5%,53,-0.5,1.69,60.4,0.4776,-0.47,17.57
Model2,5-10%,4,-1.65,-1.59,25.0,0.3972,-5.56,0.26
Model2,10-25%,10,-2.44,-2.0,40.0,0.7917,-9.78,5.67
Model2,25-50%,5,5.87,0.0,40.0,0.8601,-28.06,56.14
Model2,50%+,1,2.95,2.95,100.0,inf,-4.13,4.62
Model2,low_breadth(<10%),57,-0.58,1.5,57.9,0.4759,,
Model2,high_breadth(>=25%),6,5.39,1.48,50.0,0.9673,,
