model,exclusion,n_remaining,sum_pnl,mean_return_pct,profit_factor,diagnostic_note
Model1,all_trades,101,-607660.83,-1.67,0.5322,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model1,exclude_worst_1,100,-124073.41,-1.08,0.8478,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model1,exclude_worst_3,98,80531.64,-0.1,1.1319,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model1,exclude_worst_5,96,215208.34,0.59,1.4521,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model1,exclude_worst_10,91,397002.78,1.56,2.3495,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model1,exclude_worst_5pct,96,215208.34,0.59,1.4521,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model1,exclude_worst_10pct,91,397002.78,1.56,2.3495,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model2,all_trades,73,-434437.86,-0.34,0.5894,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model2,exclude_worst_1,72,-204881.27,0.13,0.7527,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model2,exclude_worst_3,70,119234.79,0.81,1.2364,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model2,exclude_worst_5,68,282507.69,1.5,1.8283,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model2,exclude_worst_10,63,451418.38,2.57,3.6224,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model2,exclude_worst_5pct,70,119234.79,0.81,1.2364,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
Model2,exclude_worst_10pct,66,375957.44,2.03,2.5184,POST-HOC DIAGNOSTIC ONLY - NOT A TRADABLE STRATEGY
