model,signal_date,horizon_days,group,n_signals,mean_fwd_return_pct,median_fwd_return_pct
Model1,2020-10-26,1,selected_Top10,10,-0.179,-0.167
Model1,2020-10-26,1,non_selected,2,-0.45,-0.45
Model1,2020-10-26,3,selected_Top10,10,1.17,1.198
Model1,2020-10-26,3,non_selected,2,0.59,0.59
Model1,2020-10-26,5,selected_Top10,10,-2.565,-2.574
Model1,2020-10-26,5,non_selected,2,-0.517,-0.517
Model1,2020-10-26,10,selected_Top10,10,4.74,5.191
Model1,2020-10-26,10,non_selected,2,2.744,2.744
Model1,2020-10-26,20,selected_Top10,10,2.524,3.244
Model1,2020-10-26,20,non_selected,2,4.707,4.707
Model1,2022-01-21,1,selected_Top10,10,-0.186,-0.146
Model1,2022-01-21,1,non_selected,67,-0.2,-0.223
Model1,2022-01-21,3,selected_Top10,10,-3.455,-3.056
Model1,2022-01-21,3,non_selected,67,-3.165,-3.071
Model1,2022-01-21,5,selected_Top10,10,-5.655,-5.924
Model1,2022-01-21,5,non_selected,67,-5.306,-5.617
Model1,2022-01-21,10,selected_Top10,10,-5.663,-4.024
Model1,2022-01-21,10,non_selected,67,-5.337,-4.516
Model1,2022-01-21,20,selected_Top10,10,-2.407,-2.487
Model1,2022-01-21,20,non_selected,67,-2.185,-2.435
Model1,2023-08-11,1,selected_Top10,10,-0.213,0.175
Model1,2023-08-11,1,non_selected,87,-0.295,-0.214
Model1,2023-08-11,3,selected_Top10,10,-2.981,-2.126
Model1,2023-08-11,3,non_selected,87,-2.671,-2.537
Model1,2023-08-11,5,selected_Top10,10,-3.275,-2.993
Model1,2023-08-11,5,non_selected,87,-3.219,-3.312
Model1,2023-08-11,10,selected_Top10,10,-6.88,-6.677
Model1,2023-08-11,10,non_selected,87,-6.402,-7.194
Model1,2023-08-11,20,selected_Top10,10,-2.516,-3.299
Model1,2023-08-11,20,non_selected,87,-3.197,-3.79
Model1,2022-04-21,1,selected_Top10,10,0.152,0.276
Model1,2022-04-21,1,non_selected,202,-0.088,0.0
Model1,2022-04-21,3,selected_Top10,10,-5.271,-5.322
Model1,2022-04-21,3,non_selected,202,-6.464,-5.969
Model1,2022-04-21,5,selected_Top10,10,-2.647,-2.347
Model1,2022-04-21,5,non_selected,202,-3.454,-3.091
Model1,2022-04-21,10,selected_Top10,10,-1.915,-1.991
Model1,2022-04-21,10,non_selected,202,-1.077,-1.415
Model1,2022-04-21,20,selected_Top10,10,-1.29,-0.813
Model1,2022-04-21,20,non_selected,202,0.23,-0.228
Model1,2026-06-29,1,selected_Top10,10,1.506,1.672
Model1,2026-06-29,1,non_selected,23,0.526,-0.763
Model1,2026-06-29,3,selected_Top10,10,1.273,1.904
Model1,2026-06-29,3,non_selected,23,0.641,0.917
Model1,2026-06-29,5,selected_Top10,10,4.436,4.037
Model1,2026-06-29,5,non_selected,23,4.037,4.0
Model1,2026-06-29,10,selected_Top10,10,-1.694,-2.169
Model1,2026-06-29,10,non_selected,23,-1.376,-0.244
Model1,2026-06-29,20,selected_Top10,10,-2.6,-3.921
Model1,2026-06-29,20,non_selected,23,0.059,3.486
Model1,2022-08-31,1,selected_Top10,10,-0.653,-0.467
Model1,2022-08-31,1,non_selected,152,-0.754,-0.734
Model1,2022-08-31,3,selected_Top10,10,0.09,0.561
Model1,2022-08-31,3,non_selected,152,-0.894,-0.841
Model1,2022-08-31,5,selected_Top10,10,2.547,2.976
Model1,2022-08-31,5,non_selected,152,1.935,1.596
Model1,2022-08-31,10,selected_Top10,10,-3.257,-4.246
Model1,2022-08-31,10,non_selected,152,-3.756,-4.072
Model1,2022-08-31,20,selected_Top10,10,-7.635,-8.33
Model1,2022-08-31,20,non_selected,152,-7.547,-7.537
Model1,2026-01-30,1,selected_Top10,10,-2.274,-2.342
