rank,model,index_name,etf,entry_date,day_offset,date,price_return_pct,drawdown_pct,bb_mid,bb_upper
1,Model1,上海证券交易所50成份,510050.SH,2007-11-09,0,2007-11-09,3.44,3.44,4.3358,4.653
1,Model1,上海证券交易所50成份,510050.SH,2007-11-09,1,2007-11-12,2.22,2.22,4.304,4.6418
1,Model1,上海证券交易所50成份,510050.SH,2007-11-09,3,2007-11-14,6.26,1.5,4.2484,4.5783
1,Model1,上海证券交易所50成份,510050.SH,2007-11-09,5,2007-11-16,2.71,1.5,4.212,4.5639
1,Model1,上海证券交易所50成份,510050.SH,2007-11-09,10,2007-11-23,-0.1,-1.6,4.1124,4.519
1,Model1,上海证券交易所50成份,510050.SH,2007-11-09,20,2007-12-07,5.02,-3.73,3.9182,4.1236
1,Model1,上海证券交易所50成份,510050.SH,2007-11-09,40,2008-01-08,10.35,-3.73,4.0594,4.3294
1,Model1,上海证券交易所50成份,510050.SH,2007-11-09,292,2009-01-19,-60.48,-65.78,,
2,Model1,上海证券交易所上证红利,510880.SH,2008-01-23,0,2008-01-23,4.03,4.03,4.714,5.2152
2,Model1,上海证券交易所上证红利,510880.SH,2008-01-23,1,2008-01-24,4.15,4.03,4.6987,5.2339
2,Model1,上海证券交易所上证红利,510880.SH,2008-01-23,3,2008-01-28,-2.88,-2.88,4.648,5.2895
2,Model1,上海证券交易所上证红利,510880.SH,2008-01-23,5,2008-01-30,-2.59,-2.88,4.5838,5.3391
2,Model1,上海证券交易所上证红利,510880.SH,2008-01-23,10,2008-02-13,0.72,-5.36,4.3944,5.1713
2,Model1,上海证券交易所上证红利,510880.SH,2008-01-23,20,2008-02-27,-0.76,-5.36,4.1446,4.4258
2,Model1,上海证券交易所上证红利,510880.SH,2008-01-23,40,2008-03-26,-18.26,-23.66,3.6606,4.3208
2,Model1,上海证券交易所上证红利,510880.SH,2008-01-23,198,2008-11-17,-60.21,-68.44,,
3,Model1,沪深300非银行金融,512070.SH,2015-06-19,0,2015-06-19,-2.65,-2.65,2.6934,2.8997
3,Model1,沪深300非银行金融,512070.SH,2015-06-19,1,2015-06-23,-0.42,-2.65,2.6778,2.8916
3,Model1,沪深300非银行金融,512070.SH,2015-06-19,3,2015-06-25,-3.21,-3.21,2.641,2.8632
3,Model1,沪深300非银行金融,512070.SH,2015-06-19,5,2015-06-29,-15.73,-15.73,2.599,2.9626
