rank,model,index_name,index_key,etf,entry_date,exit_date,holding_days,trade_return_pct,pnl,MAE_pct,MFE_pct,hit_mid,hit_upper,failure_class,signal_count_same_day,eligible_universe_count,signal_ratio_pct,csi300_drawdown_pct,csi300_ret_20d_pct,csi300_ret_60d_pct,csi300_vol_20d,regime,risk_cluster,pre_entry_ret_20d_pct,pre_entry_ret_60d_pct,bb_z_at_entry,dist_to_MA20_pct
1,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2007-11-09,2009-01-19,437,-60.48,-483587.42,-65.78,14.77,True,False,B_REBOUND_RELAPSE,3,5,60.0,-14.24,-12.14,6.64,0.3384,sideways,42,-10.28,,-2.12,-7.77
2,Model1,上海证券交易所上证红利,上海证券交易所上证红利,510880.SH,2008-01-23,2008-11-17,299,-60.21,-128442.6,-68.44,5.95,True,False,B_REBOUND_RELAPSE,0,5,0.0,-15.35,-4.46,-9.68,0.4247,downtrend,38,-6.5,,-1.75,-9.31
3,Model1,沪深300非银行金融,沪深300非银行金融,512070.SH,2015-06-19,2015-10-12,115,-38.07,-76162.45,-48.24,-0.42,True,True,D_CRASH_CONTINUATION,19,30,63.3,-21.1,-6.35,17.68,0.4579,downtrend,44,-10.82,,-2.37,-9.07
4,Model1,深证100,399330.SZ,159901.SZ,2008-01-23,2008-07-10,169,-34.84,-69628.16,-44.05,7.59,True,False,B_REBOUND_RELAPSE,0,5,0.0,-15.35,-4.46,-9.68,0.4247,downtrend,6,-0.27,,-1.23,-5.52
5,Model1,中小企业100,中小企业100,159902.SZ,2008-08-06,2008-11-18,104,-32.02,-41683.61,-42.82,-0.25,True,True,B_REBOUND_RELAPSE,0,5,0.0,-53.69,-9.73,-29.34,0.3528,stress,6,-8.35,,-1.7,-4.58
6,Model1,中证医疗,399989.SZ,512170.SH,2021-12-07,2022-06-07,182,-22.84,-41544.18,123.0,223.63,True,True,B_REBOUND_RELAPSE,2,87,2.3,-16.25,1.55,1.63,0.0993,downtrend,46,-1.15,,-1.7,-2.73
7,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2015-06-23,2015-10-12,111,-20.83,-65048.54,-33.87,5.82,True,True,B_REBOUND_RELAPSE,0,31,0.0,-18.57,-6.15,21.17,0.4601,downtrend,42,-9.9,,-1.63,-7.02
8,Model1,深圳证券交易所成份,深圳证券交易所成份,159903.SZ,2011-08-08,2012-01-20,165,-18.46,-27120.38,-26.16,1.24,True,False,B_REBOUND_RELAPSE,5,5,100.0,-52.46,-10.26,-10.68,0.2063,stress,15,-9.08,,-2.63,-6.63
9,Model1,中证主要消费,中证主要消费,159928.SZ,2026-04-28,2026-07-15,78,-11.65,-17179.8,229.88,308.65,True,True,B_REBOUND_RELAPSE,1,166,0.6,-19.04,5.93,1.18,0.1737,downtrend,48,-2.79,,-1.67,-1.67
10,Model1,创业板50,399673.SZ,159949.SZ,2024-05-29,2024-09-19,113,-11.21,-14413.98,-13.68,2.32,True,False,B_REBOUND_RELAPSE,1,121,0.8,-38.52,0.82,4.73,0.1237,stress,6,-0.9,,-1.6,-2.66
11,Model1,上海证券交易所50成份,上海证券交易所50成份,510050.SH,2010-04-20,2010-07-23,94,-10.9,-23720.46,-17.85,0.84,True,False,B_REBOUND_RELAPSE,5,6,83.3,-46.01,-3.91,-9.35,0.2527,stress,42,-4.88,,-2.31,-5.32
12,Model1,深证100,399330.SZ,159901.SZ,2012-06-26,2012-12-14,171,-10.67,-21396.97,-18.66,2.8,True,True,B_REBOUND_RELAPSE,1,6,16.7,-58.23,-6.11,-3.93,0.1749,stress,6,-6.5,,-2.04,-4.48
