metric,value
period_start,2006-05-15
period_end,2026-09-03
n_trading_days,4941
n_years,20.3
initial_cash,1000000
final_equity,392339.17
total_return_pct,-60.77
CAGR_pct,-4.5
annualized_vol_pct,16.5
Sharpe,-0.2065
MaxDD_pct,-69.86
Calmar,-0.0645
total_trades,235
completed_trades,101
win_rate_pct,57.43
avg_trade_pnl,-6016.44
median_trade_pnl,1258.24
profit_factor,0.5322
avg_holding_days,166.5
avg_exposure_pct,75.07
median_exposure_pct,99.98
avg_cash_pct,24.93
fully_invested_days_pct,60.39
lt50_invested_days_pct,21.62
total_fees,10259.33
cost_drag_pct,1.03
annual_turnover,1.02
signals_per_day,2.05
entries_per_day,0.0271
avg_open_positions,2.26
