model,trade_id,index_key,etf,entry_date,entry_fill,first_mid_touch_date,mid_touch_close_adj,return_from_entry_to_mid_pct,holding_days_to_mid
Model1,0,399330.SZ,159901.SZ,2006-08-01,1.284,2006-08-22,1.27,-1.09,21
Model1,1,上海证券交易所50成份,510050.SH,2006-08-02,1.044,2006-08-22,1.052,0.77,20
Model1,2,上海证券交易所50成份,510050.SH,2007-07-06,2.763,2007-07-12,2.954,6.91,6
Model1,3,399330.SZ,159901.SZ,2007-07-06,3.814,2007-07-20,4.129,8.26,14
Model1,4,上海证券交易所上证红利,510880.SH,2007-06-05,3.029,2007-06-12,3.54,16.87,7
Model1,5,中小企业100,159902.SZ,2007-10-26,2.556,2007-11-20,2.565,0.35,25
Model1,6,上海证券交易所上证红利,510880.SH,2007-11-09,4.3020000000000005,2007-12-05,4.336,0.79,26
Model1,7,399330.SZ,159901.SZ,2008-01-23,5.005,2008-02-19,5.386,7.61,27
Model1,8,上海证券交易所上证红利,510880.SH,2008-01-23,4.114,2008-02-19,4.354,5.83,27
Model1,9,中小企业100,159902.SZ,2008-08-06,1.87,2008-09-22,1.454,-22.25,47
Model1,10,上海证券交易所50成份,510050.SH,2007-11-09,3.992,2007-12-05,4.0,0.2,26
Model1,11,上海证券交易所180成份,510180.SH,2009-05-22,0.602,2009-06-19,0.686,13.95,28
Model1,12,上海证券交易所50成份,510050.SH,2009-08-13,2.508,2009-09-08,2.307,-8.01,26
Model1,13,399330.SZ,159901.SZ,2009-08-13,3.836,2009-09-08,3.648,-4.9,26
Model1,14,上海证券交易所180成份,510180.SH,2009-08-19,0.7010000000000001,2009-09-08,0.694,-1.0,20
Model1,15,上海证券交易所180成份,510180.SH,2009-12-21,0.734,2009-12-30,0.768,4.63,9
Model1,16,399330.SZ,159901.SZ,2009-12-21,3.97,2009-12-30,4.215,6.17,9
Model1,17,上海证券交易所50成份,510050.SH,2009-11-30,2.43,2009-12-04,2.594,6.75,4
Model1,18,上海证券交易所上证红利,510880.SH,2010-01-26,2.611,2010-02-24,2.522,-3.41,29
Model1,19,上海证券交易所50成份,510050.SH,2010-04-20,2.216,2010-06-21,1.948,-12.09,62
Model1,20,上海证券交易所180成份,510180.SH,2010-04-20,0.684,2010-06-21,0.598,-12.57,62
Model1,21,399330.SZ,159901.SZ,2010-04-20,3.777,2010-05-27,3.417,-9.53,37
Model1,22,上海证券交易所50成份,510050.SH,2010-09-17,1.899,2010-09-30,1.948,2.58,13
Model1,23,上海证券交易所上证红利,510880.SH,2010-08-26,2.115,2010-09-06,2.194,3.74,11
Model1,24,上海证券交易所50成份,510050.SH,2010-11-15,2.162,2010-12-10,2.015,-6.8,25
Model1,25,上海证券交易所180成份,510180.SH,2010-11-15,0.6940000000000001,2010-12-13,0.681,-1.87,28
Model1,26,深圳证券交易所成份,159903.SZ,2010-11-15,1.279,2010-12-07,1.282,0.23,22
