date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2014-11-17,ENTRY,395004.SZ,159915.SZ,142600,1.4020000000000001,199925.2,49.981300000000005,800024.8187,1,,
2014-11-19,EXIT_MIDLINE,395004.SZ,159915.SZ,142600,1.456,207625.6,51.906400000000005,1007598.5123,1,7598.512299999955,2.0
2015-01-20,ENTRY,上海证券交易所上证红利,510880.SH,82200,2.432,199910.4,49.9776,807638.1346999999,1,,
2015-02-09,ENTRY,000032.SH,510610.SH,222400,0.899,199937.6,49.9844,607650.5503,1,,
2015-02-17,EXIT_MIDLINE,上海证券交易所上证红利,510880.SH,82200,2.441,200650.19999999998,50.162549999999996,808250.58775,1,639.6598499999781,28.0
2015-02-25,EXIT_MIDLINE,000032.SH,510610.SH,222400,0.9430000000000001,209723.2,52.430800000000005,1017921.3569499999,1,9683.18480000001,16.0
2015-03-06,ENTRY,000063.SH,510110.SH,62000,3.221,199702.0,49.9255,818169.4314499999,1,,
2015-03-09,EXIT_MIDLINE,000063.SH,510110.SH,62000,3.2600000000000002,202120.0,50.53,1020238.9014499999,1,2317.54450000001,3.0
2015-05-08,ENTRY,上海证券交易所上证红利,510880.SH,62500,3.198,199875.0,49.96875,820313.9326999999,1,,
2015-05-12,EXIT_MIDLINE,上海证券交易所上证红利,510880.SH,62500,3.406,212875.0,53.21875,1033135.7139499999,1,12896.812500000022,4.0
2015-05-18,ENTRY,上证金融地产行业,510650.SH,112600,1.7750000000000001,199865.00000000003,49.96625000000001,833220.7476999998,1,,
2015-05-20,EXIT_MIDLINE,上证金融地产行业,510650.SH,112600,1.861,209548.6,52.387150000000005,1042716.9605499998,1,9581.246599999975,2.0
2015-06-19,ENTRY,沪深300非银行金融,512070.SH,79500,2.515,199942.5,49.985625,842724.4749249999,1,,
2015-06-26,ENTRY,395004.SZ,159915.SZ,67700,2.95,199715.0,49.92875,642959.5461749999,1,,
2015-06-26,ENTRY,深证电子信息传媒产业50,159909.SZ,25500,7.828,199614.0,49.9035,443295.6426749999,1,,
2015-06-30,ADD,395004.SZ,159915.SZ,81900,2.442,199999.80000000002,49.999950000000005,243245.84272499988,2,,
2015-07-13,EXIT_MIDLINE,沪深300非银行金融,512070.SH,79500,2.302,183009.0,45.752250000000004,426209.09047499986,1,-17029.237874999988,24.0
2015-07-14,EXIT_MIDLINE,395004.SZ,159915.SZ,149600,2.709,405266.4,101.31660000000001,831374.1738749999,2,5350.3546999999735,18.0
2015-07-14,EXIT_MIDLINE,深证电子信息传媒产业50,159909.SZ,25500,7.053,179851.5,44.962875000000004,1011180.7109999999,1,-19857.366374999987,18.0
2015-07-29,ENTRY,上海证券交易所50成份,510050.SH,79900,2.5020000000000002,199909.80000000002,49.977450000000005,811220.9335499998,1,,
2015-07-29,ENTRY,上证金融地产行业,510650.SH,133600,1.497,199999.2,49.9998,611171.7337499999,1,,
2015-07-29,ENTRY,上证超级大盘,510020.SH,84900,2.354,199854.6,49.96365,411267.1700999999,1,,
2015-08-10,EXIT_MIDLINE,上海证券交易所50成份,510050.SH,79900,2.618,209178.19999999998,52.294549999999994,620393.0755499998,1,9166.127999999977,12.0
2015-08-10,EXIT_MIDLINE,上证超级大盘,510020.SH,84900,2.54,215646.0,53.911500000000004,835985.1640499998,1,15687.524850000023,12.0
2015-08-21,ENTRY,沪深300非银行金融,512070.SH,117400,1.703,199932.2,49.983050000000006,636002.9809999998,1,,
2015-08-28,ENTRY,000016.SH,510190.SH,65200,3.063,199707.6,49.9269,436245.4540999998,1,,
2015-09-11,EXIT_MIDLINE,上证金融地产行业,510650.SH,133600,1.351,180493.6,45.123400000000004,616693.9306999998,1,-19600.723200000004,44.0
2015-09-17,EXIT_MIDLINE,沪深300非银行金融,512070.SH,117400,1.484,174221.6,43.555400000000006,790871.9752999998,1,-25804.13845000004,27.0
2015-10-08,ENTRY,上证超级大盘,510020.SH,96100,2.08,199888.0,49.972,590934.0032999997,1,,
2015-10-08,EXIT_MIDLINE,上证超级大盘,510020.SH,96100,2.17,208537.0,52.13425,799418.8690499997,1,8546.893750000001,0.0
2017-09-27,ENTRY,395004.SZ,159915.SZ,114100,1.752,199903.2,49.97580000000001,599465.6932499998,1,,
