date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2006-08-01,ENTRY,399330.SZ,159901.SZ,155700,1.284,199918.80000000002,49.97970000000001,800031.2202999999,1,,
2006-08-03,ADD,399330.SZ,159901.SZ,158400,1.262,199900.8,49.9752,600080.4450999999,2,,
2006-08-07,ADD,399330.SZ,159901.SZ,162800,1.228,199918.4,49.9796,400112.0654999999,3,,
2006-08-22,EXIT_MIDLINE,399330.SZ,159901.SZ,476900,1.2650000000000001,603278.5000000001,150.81962500000003,1003239.745875,3,3239.745875000105,21.0
2007-07-06,ENTRY,399330.SZ,159901.SZ,52400,3.814,199853.6,49.9634,803336.182475,1,,
2007-07-20,EXIT_MIDLINE,399330.SZ,159901.SZ,52400,4.019,210595.6,52.648900000000005,1013879.1335750001,1,10639.387700000001,14.0
2007-10-26,ENTRY,399330.SZ,159901.SZ,37000,5.402,199874.0,49.9685,813955.1650750001,1,,
2007-10-31,EXIT_MIDLINE,399330.SZ,159901.SZ,37000,5.729,211973.0,52.99325,1025875.1718250001,1,11996.03825000003,5.0
2007-11-09,ENTRY,399330.SZ,159901.SZ,38300,5.221,199964.30000000002,49.991075,825860.88075,1,,
2007-11-13,ADD,399330.SZ,159901.SZ,39100,5.111,199840.09999999998,49.960024999999995,625970.820725,2,,
2007-12-05,EXIT_MIDLINE,399330.SZ,159901.SZ,77400,4.94,382356.00000000006,95.58900000000001,1008231.2317250001,2,-17643.940099999974,26.0
2008-01-23,ENTRY,399330.SZ,159901.SZ,39900,5.005,199699.5,49.924875,808481.80685,1,,
2008-02-18,EXIT_MIDLINE,399330.SZ,159901.SZ,39900,5.238,208996.2,52.249050000000004,1017425.7578,1,9194.526075000016,26.0
2008-03-13,ENTRY,399330.SZ,159901.SZ,44100,4.525,199552.50000000003,49.88812500000001,817823.369675,1,,
2008-03-17,ADD,399330.SZ,159901.SZ,45800,4.364,199871.19999999998,49.9678,617902.201875,2,,
2008-03-19,ADD,399330.SZ,159901.SZ,50400,3.9650000000000003,199836.00000000003,49.95900000000001,418016.242875,3,,
2008-04-08,EXIT_MIDLINE,399330.SZ,159901.SZ,140300,4.1690000000000005,584910.7000000001,146.22767500000003,1002780.7152000001,3,-14645.04259999999,26.0
2008-04-18,ENTRY,399330.SZ,159901.SZ,55800,3.584,199987.2,49.99680000000001,802743.5184000001,1,,
2008-04-22,ADD,399330.SZ,159901.SZ,59300,3.368,199722.4,49.9306,602971.1878000001,2,,
