horizon,quantile,q_label,count,mean_ret_pct,median_ret_pct,win_rate_pct
1d,Q1,deepest,182,0.204,0.064,50.5
1d,Q2,,128,0.212,0.213,56.2
1d,Q3,,129,0.041,0.093,50.4
1d,Q4,,128,0.138,0.172,52.3
1d,Q5,least,160,0.195,0.05,50.6
3d,Q1,deepest,182,0.23,0.163,50.5
3d,Q2,,128,0.337,0.247,55.5
3d,Q3,,129,0.296,0.19,52.7
3d,Q4,,128,0.147,0.0,49.2
3d,Q5,least,160,0.216,0.259,54.4
5d,Q1,deepest,182,0.391,0.057,50.0
5d,Q2,,128,0.325,0.058,50.0
5d,Q3,,129,0.294,0.235,50.4
5d,Q4,,128,0.381,0.31,53.1
5d,Q5,least,160,0.244,0.037,50.0
10d,Q1,deepest,182,0.454,-0.112,46.7
10d,Q2,,128,0.353,-0.1,49.2
10d,Q3,,129,0.258,-0.278,45.7
10d,Q4,,128,0.39,-0.239,49.2
10d,Q5,least,160,0.407,-0.113,48.8
20d,Q1,deepest,182,1.324,0.345,51.6
20d,Q2,,128,0.472,0.302,53.1
20d,Q3,,129,0.287,-0.292,45.0
20d,Q4,,128,0.412,0.114,50.8
20d,Q5,least,160,0.158,-0.601,47.5
