ranking,horizon,selected_count,selected_mean_pct,selected_median_pct,selected_win_pct,nonselected_count,nonselected_mean_pct,nonselected_median_pct,nonselected_win_pct,diff_mean_pct
amount,1d,1880,-0.155,0.0,47.2,82,-0.384,-0.256,36.6,0.229
amount,3d,1865,-0.303,-0.156,45.9,77,-0.641,-0.299,40.3,0.338
amount,5d,1864,-0.199,-0.217,46.6,77,-0.399,-0.543,42.9,0.201
amount,10d,1859,-0.124,-0.388,45.7,77,-1.012,-0.996,42.9,0.888
amount,20d,1840,-0.001,-0.549,45.5,77,0.001,-1.277,45.5,-0.002
bb_z,1d,1880,-0.15,0.0,47.1,82,-0.503,-0.265,39.0,0.354
bb_z,3d,1865,-0.291,-0.164,45.7,77,-0.922,-0.581,44.2,0.631
bb_z,5d,1864,-0.201,-0.223,46.5,77,-0.341,-0.261,45.5,0.14
bb_z,10d,1859,-0.127,-0.388,45.7,77,-0.934,-1.489,42.9,0.806
bb_z,20d,1840,-0.013,-0.553,45.5,77,0.278,-1.033,45.5,-0.291
