date,action,index_key,etf,shares,price,amount,fee,cash_after,level,ranking,pnl,holding_days
2015-02-09,ENTRY,000032.SH,510610.SH,222400,0.899,199937.6,49.9844,800012.4156,1,amount,,
2015-02-25,EXIT_MIDLINE,000032.SH,510610.SH,222400,0.9430000000000001,209723.2,52.430800000000005,1009683.1847999999,1,amount,9683.18480000001,16.0
2015-05-19,ENTRY,000029.SH,510030.SH,44400,4.5040000000000004,199977.6,49.994400000000006,809655.5903999999,1,amount,,
2015-05-22,EXIT_MIDLINE,000029.SH,510030.SH,44400,4.843,215029.2,53.7573,1024631.0330999999,1,amount,14947.84830000001,3.0
2015-06-19,ENTRY,000016.SH,510190.SH,41100,4.865,199951.5,49.987875,824629.5452249999,1,amount,,
2015-06-29,ADD,000016.SH,510190.SH,47500,4.203,199642.5,49.910625,624937.1345999999,2,amount,,
2015-07-02,ENTRY,000009.SH,510290.SH,98900,2.0220000000000002,199975.80000000002,49.993950000000005,424911.34064999985,1,amount,,
2015-07-02,ENTRY,399303.SZ,159907.SZ,107700,1.856,199891.2,49.97280000000001,224970.16784999985,1,amount,,
2015-07-07,ADD,000009.SH,510290.SH,133200,1.5010000000000001,199933.2,49.98330000000001,24986.98454999985,2,amount,,
2015-07-07,ADD,399303.SZ,159907.SZ,16400,1.522,24960.8,6.2402,19.944349999848782,2,amount,,
2015-07-13,EXIT_MIDLINE,000016.SH,510190.SH,88600,4.321,382840.6,95.71015,382764.8341999998,2,amount,-16949.008650000014,24.0
2015-07-20,EXIT_MIDLINE,000009.SH,510290.SH,232100,1.868,433562.80000000005,108.39070000000001,816219.2434999999,2,amount,33445.43204999999,18.0
2015-07-20,EXIT_MIDLINE,399303.SZ,159907.SZ,124100,1.749,217050.90000000002,54.26272500000001,1033215.8807749999,2,amount,-7911.575724999984,18.0
2015-07-28,ENTRY,000016.SH,510190.SH,54500,3.665,199742.5,49.935625,833423.4451499998,1,amount,,
2015-07-28,ENTRY,000029.SH,510030.SH,47900,4.168,199647.2,49.91180000000001,633726.3333499997,1,amount,,
2015-07-28,ENTRY,000063.SH,510110.SH,62600,3.193,199881.80000000002,49.97045000000001,433794.5628999997,1,amount,,
2015-07-28,EXIT_MIDLINE,000029.SH,510030.SH,47900,4.519,216460.1,54.115025,650200.5478749997,1,amount,16708.873175,0.0
2015-07-29,ENTRY,000029.SH,510030.SH,46400,4.304,199705.6,49.9264,450445.0214749997,1,amount,,
2015-08-10,EXIT_MIDLINE,000016.SH,510190.SH,54500,3.867,210751.5,52.687875,661143.8335999998,1,amount,10906.376499999977,13.0
2015-08-10,EXIT_MIDLINE,000029.SH,510030.SH,46400,4.33,200912.0,50.228,862005.6055999998,1,amount,1106.245600000018,12.0
2015-09-30,ENTRY,000010.SH,510010.SH,215900,0.926,199923.40000000002,49.980850000000004,662032.2247499998,1,amount,,
2015-09-30,ENTRY,000029.SH,510030.SH,55700,3.585,199684.5,49.921125,462297.8036249998,1,amount,,
2015-10-08,EXIT_MIDLINE,000010.SH,510010.SH,215900,0.9390000000000001,202730.1,50.682525000000005,664977.2210999998,1,amount,2706.036624999991,8.0
2015-10-08,EXIT_MIDLINE,000029.SH,510030.SH,55700,3.684,205198.80000000002,51.29970000000001,870124.7213999999,1,amount,5413.079175000022,8.0
2018-02-06,ENTRY,399330.SZ,159901.SZ,40200,4.968,199713.6,49.9284,670361.193,1,amount,,
2018-02-08,ADD,399330.SZ,159901.SZ,42300,4.721,199698.30000000002,49.924575000000004,470612.96842499997,2,amount,,
2018-02-12,ADD,399330.SZ,159901.SZ,43200,4.625,199800.0,49.95,270763.01842499996,3,amount,,
2018-02-13,ENTRY,000300.SH,510300.SH,51000,3.9210000000000003,199971.0,49.99275,70742.02567499995,1,amount,,
2018-02-26,EXIT_MIDLINE,399330.SZ,159901.SZ,125700,5.025,631642.5,157.910625,702226.6150499999,3,amount,32122.886399999967,20.0
2018-03-06,EXIT_MIDLINE,000300.SH,510300.SH,51000,4.062,207162.0,51.7905,909336.8245499999,1,amount,7089.21675,21.0
2018-03-28,ENTRY,399986.SZ,512800.SH,202800,0.986,199960.8,49.9902,709326.0343499999,1,amount,,
2018-04-11,EXIT_MIDLINE,399986.SZ,512800.SH,202800,1.0110000000000001,205030.80000000002,51.25770000000001,914305.57665,1,amount,4968.7521000000415,14.0
2018-04-18,ENTRY,399330.SZ,159901.SZ,42900,4.657,199785.3,49.946325,714470.330325,1,amount,,
