horizon,asset_class,quantile,q_label,count,mean_ret_pct,median_ret_pct,win_rate_pct
5d,stock,Q1,deepest,52271,0.717,0.467,53.1
5d,stock,Q2,,51608,0.853,0.478,53.2
5d,stock,Q3,,51635,0.947,0.503,53.5
5d,stock,Q4,,51608,0.851,0.436,53.0
5d,stock,Q5,shallowest,52047,0.851,0.41,52.8
5d,etf,Q1,deepest,2240,0.59,0.1,50.4
5d,etf,Q2,,2042,0.857,0.204,52.3
5d,etf,Q3,,2069,0.834,0.279,52.7
5d,etf,Q4,,2042,0.719,0.324,54.2
5d,etf,Q5,shallowest,2178,0.742,0.327,54.4
10d,stock,Q1,deepest,51831,1.144,0.615,53.2
10d,stock,Q2,,51172,1.348,0.65,53.4
10d,stock,Q3,,51203,1.568,0.766,54.1
10d,stock,Q4,,51172,1.437,0.638,53.3
10d,stock,Q5,shallowest,51610,1.382,0.593,53.0
10d,etf,Q1,deepest,2232,0.992,0.271,52.4
10d,etf,Q2,,2033,1.138,0.202,51.5
10d,etf,Q3,,2060,0.896,0.0,49.7
10d,etf,Q4,,2033,1.002,0.365,51.8
10d,etf,Q5,shallowest,2165,1.011,0.0,49.8
20d,stock,Q1,deepest,51606,2.159,1.045,53.8
20d,stock,Q2,,50957,2.499,0.97,53.6
20d,stock,Q3,,50990,2.69,1.109,54.2
20d,stock,Q4,,50957,2.615,1.015,53.8
20d,stock,Q5,shallowest,51388,2.547,1.012,53.7
20d,etf,Q1,deepest,2214,1.806,0.764,55.2
20d,etf,Q2,,2015,1.921,0.359,52.1
20d,etf,Q3,,2037,1.537,-0.107,48.9
20d,etf,Q4,,2015,1.665,0.215,51.0
20d,etf,Q5,shallowest,2142,1.565,0.223,51.5
