horizon,asset_class,n,bbz_pooled_ic,bbz_daily_mean,bbz_daily_median,bbz_hit_rate,n_valid_days,amount_pooled_ic,amount_daily_mean,amount_hit_rate
1d,stock,260683,0.0565,0.0289,0.019,56.1,1096,0.0452,0.0081,52.9
1d,etf,10957,0.0591,-0.0582,-0.0451,45.6,329,0.0532,-0.0266,42.6
3d,stock,260552,0.1173,0.023,0.0185,56.9,1094,0.1121,0.0132,54.4
3d,etf,10941,0.1252,-0.0364,-0.0375,44.1,329,0.1278,-0.007,50.8
5d,stock,259252,0.1381,0.0156,0.0113,53.8,1092,0.1389,0.0174,56.2
5d,etf,10923,0.1361,-0.0146,-0.0096,49.2,329,0.1275,0.0087,48.9
10d,stock,257075,0.1328,0.0036,0.0071,52.2,1083,0.1402,0.024,54.4
10d,etf,10867,0.1334,-0.0643,-0.0483,43.9,328,0.1508,0.0452,58.5
20d,stock,255966,0.1506,-0.0015,0.0025,51.3,1077,0.1611,0.0434,60.4
20d,etf,10769,0.1029,-0.0157,-0.0068,48.6,325,0.1394,0.0508,58.2
