horizon,asset_class,selected_n,selected_mean_pct,selected_median_pct,selected_win_pct,nonselected_n,nonselected_mean_pct,nonselected_median_pct,nonselected_win_pct,diff_mean_pct
1d,stock,10918,-0.195,-0.058,48.1,249765,-0.069,0.11,51.0,-0.126
1d,etf,3376,-0.05,0.0,49.6,7581,0.19,0.093,50.7,-0.24
3d,stock,10895,-0.243,-0.406,45.4,249657,0.302,0.265,52.0,-0.545
3d,etf,3375,-0.036,-0.108,47.2,7566,0.667,0.271,52.9,-0.702
5d,stock,10865,-0.157,-0.485,45.8,248387,0.887,0.501,53.4,-1.044
5d,etf,3375,0.197,-0.059,48.1,7548,0.944,0.363,54.4,-0.748
10d,stock,10783,-0.077,-0.849,45.0,246292,1.44,0.717,53.8,-1.517
10d,etf,3357,0.183,-0.485,45.5,7510,1.297,0.446,53.2,-1.114
20d,stock,10713,-0.105,-1.381,44.5,245253,2.617,1.138,54.2,-2.722
20d,etf,3332,0.588,-0.44,46.6,7437,2.08,0.601,53.7,-1.493
