round,ts_code,entry_date,exit_date,exit_type,hold_days,pnl,return_pct,adj_ret_pct,delta_pp,factor_ratio,crossed,adj_pnl,year
59,300014.SZ,2023-02-21,2023-11-06,TAKE_PROFIT_DYN,172,-281657.1135239912,-28.57,-28.37929992035627,0.19070007964372948,1.002669747720058,True,-279777.098333888,2023
65,000628.SZ,2024-04-01,2024-05-21,TAKE_PROFIT_DYN,31,-131449.79209632764,-22.19,-22.189999999999998,3.552713678800501e-15,1.0,False,-131449.7920963276,2024
93,688525.SH,2026-07-16,2026-08-25,FINAL_SETTLE,28,-71016.53428584,-19.37,-19.369999999999997,3.552713678800501e-15,1.0,False,-71016.53428583998,2026
37,300750.SZ,2021-12-21,2022-06-02,TAKE_PROFIT_DYN,106,-97947.8259142944,-18.13,-18.130000000000003,-3.552713678800501e-15,1.0,False,-97947.82591429442,2021
17,002475.SZ,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,50,-140638.23276361637,-17.8,-17.800000000000004,-3.552713678800501e-15,1.0,False,-140638.2327636164,2021
92,600487.SH,2026-07-07,2026-08-18,TAKE_PROFIT_DYN,30,-69195.05153145478,-17.72,-17.720000000000002,-3.552713678800501e-15,1.0,False,-69195.0515314548,2026
62,002594.SZ,2023-08-15,2024-03-12,TAKE_PROFIT_DYN,137,-123487.82210753986,-13.94,-13.939999999999998,1.7763568394002505e-15,1.0,False,-123487.82210753985,2023
28,000858.SZ,2021-07-09,2021-09-27,TAKE_PROFIT_DYN,54,-74117.03840875835,-8.45,-8.450000000000003,-3.552713678800501e-15,1.0,False,-74117.0384087584,2021
91,300274.SZ,2026-07-02,2026-08-11,TAKE_PROFIT_DYN,28,-31661.956305056578,-8.36,-8.360000000000001,-1.7763568394002505e-15,1.0,False,-31661.95630505658,2026
56,300418.SZ,2023-06-27,2023-08-14,TAKE_PROFIT_DYN,34,-26223.655199575587,-7.72,-7.7199999999999935,6.217248937900877e-15,1.0,False,-26223.655199575565,2023
9,600745.SH,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,57,-12521.759578559984,-6.35,-6.35,0.0,1.0,False,-12521.759578559984,2020
36,000858.SZ,2022-03-04,2022-05-30,TAKE_PROFIT_DYN,56,-21217.043905524653,-6.34,-6.340000000000002,-1.7763568394002505e-15,1.0,False,-21217.04390552466,2022
76,000063.SZ,2025-03-04,2025-05-07,TAKE_PROFIT_DYN,42,-14651.264103299967,-7.41,-5.589174455757173,1.820825544242827,1.0196654665108849,True,-11051.075718045371,2025
15,300059.SZ,2021-02-26,2021-04-02,TAKE_PROFIT_DYN,25,-10855.762042752554,-5.47,-5.469999999999997,2.6645352591003757e-15,1.0,False,-10855.762042752549,2021
70,601138.SH,2024-07-19,2024-09-24,TAKE_PROFIT_DYN,45,-45172.13486762275,-7.55,-4.972853982300873,2.5771460176991265,1.0278761061946904,True,-29752.904737150984,2024
44,002594.SZ,2022-07-13,2022-11-04,TAKE_PROFIT_DYN,76,-36069.35579334188,-4.59,-4.561938235294127,0.02806176470587296,1.0002941176470588,True,-35848.839502412644,2022
