factor_id,factor_name,formula,failure_stage,failure_reason,discovery_metric,validation_metric,test_metric,date_killed
AFS_000001,SYMBOLIC_HUMAN_1,"ratio(ret_5d, atr14_pct)",DISCOVERY_FAIL,NO_SIGNAL,0.0053,nan,nan,2026-09-11
AFS_000002,SYMBOLIC_HUMAN_2,"interaction(bb_z, daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000003,SYMBOLIC_HUMAN_3,"diff(ret_5d, csi300_ret_5)",NO_KEEP_WEAK,UNSTABLE,0.0385,0.0451,0.0482,2026-09-11
AFS_000004,SYMBOLIC_HUMAN_4,"ratio(distance_to_lower_band, bb_width)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000005,SYMBOLIC_HUMAN_5,"interaction(drawdown_20, daily_bb_up_ratio)",NO_KEEP_WEAK,UNSTABLE,0.0366,0.0498,0.0482,2026-09-11
AFS_000006,SYMBOLIC_HUMAN_6,"diff(bb_z, cs_zscore(ret_5d))",TEST_FAIL,OOS_FAIL,-0.0400,-0.0569,-0.0452,2026-09-11
AFS_000007,SYMBOLIC_HUMAN_7,"ratio(ret_10d, realized_vol_20)",DISCOVERY_FAIL,NO_SIGNAL,-0.0109,nan,nan,2026-09-11
AFS_000008,SYMBOLIC_HUMAN_8,"interaction(distance_to_lower_band, amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0126,nan,nan,2026-09-11
AFS_000009,SYMBOLIC_HUMAN_9,"diff(ret_20d, csi1000_ret_20)",DISCOVERY_FAIL,NO_SIGNAL,-0.0022,nan,nan,2026-09-11
AFS_000010,SYMBOLIC_HUMAN_10,"ratio(drawdown_60, atr14_pct)",TEST_FAIL,OOS_FAIL,-0.0462,0.0425,-0.0246,2026-09-11
AFS_000011,SYMBOLIC_HUMAN_11,"interaction(bb_z, turnover_rank)",TEST_FAIL,OOS_FAIL,0.0462,0.0941,-0.0304,2026-09-11
AFS_000012,SYMBOLIC_HUMAN_12,"diff(ret_5d, ret_20d)",TEST_FAIL,OOS_FAIL,0.0431,-0.0312,-0.0019,2026-09-11
AFS_000013,SYMBOLIC_HUMAN_13,"ratio(gap_pct, atr14_pct)",TEST_FAIL,OOS_FAIL,0.0217,0.0044,-0.0116,2026-09-11
AFS_000014,SYMBOLIC_HUMAN_14,"interaction(daily_bb_signal_count, daily_bb_down_ratio)",DISCOVERY_FAIL,NO_SIGNAL,nan,nan,nan,2026-09-11
AFS_000015,SYMBOLIC_HUMAN_15,"diff(csi500_ret_5, csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,nan,nan,nan,2026-09-11
AFS_000016,SYMBOLIC_HUMAN_16,"ratio(log_amount, atr14_pct)",NO_KEEP_WEAK,UNSTABLE,0.0379,0.0125,0.0741,2026-09-11
AFS_000017,SYMBOLIC_HUMAN_17,"interaction(distance_52w_high, ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,-0.0073,nan,nan,2026-09-11
AFS_000018,SYMBOLIC_HUMAN_18,"diff(ret_3d, cs_zscore(ret_10d))",NO_KEEP_WEAK,UNSTABLE,0.0345,0.0163,0.0497,2026-09-11
AFS_000019,SYMBOLIC_HUMAN_19,"ratio(daily_range_pct, realized_vol_10)",DISCOVERY_FAIL,NO_SIGNAL,0.0054,nan,nan,2026-09-11
AFS_000020,SYMBOLIC_HUMAN_20,"interaction(bb_width, daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,-0.0141,nan,nan,2026-09-11
AFS_000021,SYMBOLIC_HUMAN_21,"diff(drawdown_20, drawdown_60)",VALIDATION_FAIL,OOS_FAIL,0.0406,-0.0421,0.0111,2026-09-11
AFS_000022,SYMBOLIC_HUMAN_22,"ratio(ret_20d, bb_width)",DISCOVERY_FAIL,NO_SIGNAL,-0.0149,nan,nan,2026-09-11
AFS_000023,SYMBOLIC_HUMAN_23,"interaction(signal_count_last_20d, bb_z)",DISCOVERY_FAIL,NO_SIGNAL,-0.0182,nan,nan,2026-09-11
AFS_000024,SYMBOLIC_HUMAN_24,"diff(ret_5d, csi500_ret_5)",NO_KEEP_WEAK,UNSTABLE,0.0385,0.0451,0.0482,2026-09-11
AFS_000025,SYMBOLIC_HUMAN_25,"ratio(distance_ma20, atr14_pct)",DISCOVERY_FAIL,NO_SIGNAL,-0.0134,nan,nan,2026-09-11
AFS_000026,SYMBOLIC_HUMAN_26,"interaction(market_up_ratio, bb_z)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000027,SYMBOLIC_HUMAN_27,"diff(log_amount, cs_zscore(amount_ratio_5_20))",VALIDATION_FAIL,OOS_FAIL,-0.0439,-0.0936,0.0535,2026-09-11
AFS_000028,SYMBOLIC_HUMAN_28,"ratio(ret_60d, realized_vol_20)",TEST_FAIL,OOS_FAIL,-0.0285,0.0208,-0.0119,2026-09-11
AFS_000029,SYMBOLIC_HUMAN_29,"interaction(days_since_first_signal, bb_z)",NO_KEEP_WEAK,UNSTABLE,-0.0530,0.0047,0.0200,2026-09-11
AFS_000030,SYMBOLIC_HUMAN_30,"diff(ret_1d, ret_5d)",TEST_FAIL,OOS_FAIL,-0.0213,-0.0372,-0.0260,2026-09-11
AFS_000031,SYMBOLIC_TEMPLATE_31,"ratio(bb_z,distance_to_lower_band)",DISCOVERY_FAIL,NO_SIGNAL,0.0149,nan,nan,2026-09-11
AFS_000032,SYMBOLIC_TEMPLATE_32,"diff(bb_z,distance_to_lower_band)",DISCOVERY_FAIL,NO_SIGNAL,-0.0138,nan,nan,2026-09-11
AFS_000033,SYMBOLIC_TEMPLATE_33,"interaction(bb_z,distance_to_lower_band)",DISCOVERY_FAIL,NO_SIGNAL,-0.0152,nan,nan,2026-09-11
AFS_000034,SYMBOLIC_TEMPLATE_34,"min(bb_z,distance_to_lower_band)",DISCOVERY_FAIL,NO_SIGNAL,0.0124,nan,nan,2026-09-11
