target,family,variant,feature,importance
Y_RETURN,rf,SMALL,bb_z,0.0
Y_RETURN,rf,SMALL,distance_to_lower_band,0.0
Y_RETURN,rf,SMALL,distance_ma5,0.0009698384662067304
Y_RETURN,rf,SMALL,distance_ma10,0.002549928937001019
Y_RETURN,rf,SMALL,distance_ma20,0.005175225573200828
Y_RETURN,rf,SMALL,distance_ma60,0.004069264264377794
Y_RETURN,rf,SMALL,ret_1d,0.0009111205588903195
Y_RETURN,rf,SMALL,ret_3d,0.0006031093054405374
Y_RETURN,rf,SMALL,ret_5d,0.012787367316499921
Y_RETURN,rf,SMALL,ret_10d,0.0044992129945106915
Y_RETURN,rf,SMALL,ret_20d,0.001716155895244799
Y_RETURN,rf,SMALL,ret_60d,0.000846330880971356
Y_RETURN,rf,SMALL,drawdown_20,0.0016687743872199554
Y_RETURN,rf,SMALL,drawdown_60,0.002324151132959694
Y_RETURN,rf,SMALL,distance_52w_high,0.00020439189696247733
Y_RETURN,rf,SMALL,atr14_pct,0.0010330306433518914
Y_RETURN,rf,SMALL,realized_vol_10,0.0009133465101888867
Y_RETURN,rf,SMALL,realized_vol_20,0.00013736002487026828
Y_RETURN,rf,SMALL,bb_width,4.947864355954572e-05
Y_RETURN,rf,SMALL,daily_range_pct,0.0004447519358519402
Y_RETURN,rf,SMALL,gap_pct,0.0004941391739382492
Y_RETURN,rf,SMALL,log_amount,0.00010257434421645777
Y_RETURN,rf,SMALL,amount_percentile,0.16827333126610078
Y_RETURN,rf,SMALL,volume_ratio_5_20,5.698470572739664e-05
Y_RETURN,rf,SMALL,amount_ratio_5_20,0.0003480932419172545
Y_RETURN,rf,SMALL,turnover_rank,3.975222465521169e-05
Y_RETURN,rf,SMALL,signal_role,7.741774710471533e-05
Y_RETURN,rf,SMALL,level_no,6.438065708863238e-05
Y_RETURN,rf,SMALL,days_since_first_signal,0.00034007723240746197
Y_RETURN,rf,SMALL,signal_count_last_20d,4.318659151230728e-05
Y_RETURN,rf,SMALL,daily_bb_signal_count,0.017509865972777483
Y_RETURN,rf,SMALL,daily_bb_up_ratio,0.2176933927191877
Y_RETURN,rf,SMALL,daily_bb_down_ratio,0.03663092831241076
Y_RETURN,rf,SMALL,market_up_ratio,0.019016468246791665
Y_RETURN,rf,SMALL,market_down_ratio,0.029926247903779
Y_RETURN,rf,SMALL,csi300_ret_1,0.003692703931741685
Y_RETURN,rf,SMALL,csi300_ret_5,0.037853472117285084
Y_RETURN,rf,SMALL,csi300_ret_20,0.043932071158181055
Y_RETURN,rf,SMALL,csi500_ret_1,0.00843458595757621
Y_RETURN,rf,SMALL,csi500_ret_5,0.0285855177441048
Y_RETURN,rf,SMALL,csi500_ret_20,0.1363729541811231
Y_RETURN,rf,SMALL,csi1000_ret_1,0.0052530687640450205
Y_RETURN,rf,SMALL,csi1000_ret_5,0.047925099963779305
Y_RETURN,rf,SMALL,csi1000_ret_20,0.15643084647524005
