family,variant,target,disc_ic,val_ic,test_ic,val_q5_q1_med,test_q5_q1_med,risk_val_spearman,risk_test_spearman
ridge,SMALL,Y_RETURN,0.021721626273665192,0.0029383520595598926,-0.012301072996361444,0.00015405421649279565,0.0014417379452938983,,
ridge,SMALL,Y_RISK,0.24137273670316037,0.2216564920649442,0.23214560753275318,0.027278240526259642,0.0442244465597909,0.3300831048385131,0.0021200576325313388
ridge,MEDIUM,Y_RETURN,0.022035276991732078,0.0032213647205228974,-0.012872246889714096,-0.00017327133048461755,0.0013081036368230497,,
ridge,MEDIUM,Y_RISK,0.2410305260827947,0.22233520823519548,0.23244659880553023,0.027491950911849538,0.044058762493837396,0.3280140568025951,0.0007852840527052655
ridge,REGULARIZED,Y_RETURN,0.02283788655708865,0.00040196003739072114,-0.00857911897528252,-0.0009526002660141499,0.0050429204290288725,,
ridge,REGULARIZED,Y_RISK,0.24127534111856155,0.21979581505932896,0.2327066161748077,0.02733562206546545,0.04488485408107774,0.33724300202161595,0.00445105232377148
rf,SMALL,Y_RETURN,0.11927507390598975,0.003959264094475419,-0.025909822428848636,-0.0020651687618379495,-0.007005440911956773,,
rf,SMALL,Y_RISK,0.2606758158961807,0.22332300967356059,0.26504236427955113,0.02698141269336733,0.04630606369832272,0.15116093428817115,-0.18674647679069897
rf,MEDIUM,Y_RETURN,0.19428355842486789,-0.013549170504635053,-0.027158904147437428,-0.0029017765474236,0.0037291326688978954,,
rf,MEDIUM,Y_RISK,0.29540414084694433,0.22708358152427474,0.24577806627896176,0.026288380572562456,0.041104700220262295,0.05921646930066103,-0.2698338663126526
rf,REGULARIZED,Y_RETURN,0.09901465607204951,-0.1654953578155723,0.03454501557362192,-0.029968822882761148,0.01149894315252398,,
rf,REGULARIZED,Y_RISK,0.2610817705770959,0.2169537883352225,0.25895338294863834,0.025826023430433533,0.04625480100696911,0.16166291659846876,-0.17861788052092673
xgb,SMALL,Y_RETURN,0.16201233349309047,-0.020783887293667737,-0.03941102776546594,-0.002592804190867629,-0.000532112275272751,,
xgb,SMALL,Y_RISK,0.3006117935141376,0.2588771334448245,0.2565613562242065,0.03086578565341707,0.04062611880861372,0.2222851298756379,-0.2565134271826521
xgb,MEDIUM,Y_RETURN,0.36980308117245925,-0.019272283495083736,-0.031493242389198206,-0.0033160228152521658,-0.0014806502446696244,,
xgb,MEDIUM,Y_RISK,0.4215816532036072,0.2447515136856548,0.21605739495719878,0.030669680678805298,0.032593126952890475,0.22605236386716698,-0.2610321639482849
xgb,REGULARIZED,Y_RETURN,0.14867366473502458,-0.021447193791716494,-0.02926327386819423,-0.004291070518268521,0.0003405661356208971,,
xgb,REGULARIZED,Y_RISK,0.29040724203742363,0.24299501310657645,0.26422299910629743,0.02934533167960728,0.04426460911592725,0.20326110494314747,-0.2525059229244118
lgb,SMALL,Y_RETURN,0.16031174290262137,-0.01767552382261003,-0.01591311323690495,-0.0037276478960565585,0.0026747379237739913,,
lgb,SMALL,Y_RISK,0.2961998414303429,0.2588529997773642,0.266970201833811,0.031178597353235787,0.04346983569379852,0.22291977154755843,-0.19425520306663996
lgb,MEDIUM,Y_RETURN,0.36102054186381266,-0.008398934686157223,-0.015644519744195493,0.0008172529892824752,0.0016265695034622856,,
lgb,MEDIUM,Y_RISK,0.4110863925632936,0.2364882306078412,0.22703189169674354,0.028999682387119217,0.03493911408670639,0.22873714315776225,-0.2314738823398992
lgb,REGULARIZED,Y_RETURN,0.13905438235294323,-0.016528469776948797,-0.037989583639082156,-0.0009688620563811114,-0.0005808447222412674,,
lgb,REGULARIZED,Y_RISK,0.29322472629823243,0.2517005775577927,0.27602653403867583,0.03068911536642036,0.04474649961356894,0.2003851312168752,-0.23757932169512988
