request_index,generator,formula,canonical_expression,expression_hash,family,expected_direction,lookback,status,eval_status,coverage,disc_ic,disc_days,q5q1_disc,ic_2020,ic_2021,ic_2022,n_same_sign,disc_pval,pass_discovery,fdr_pass,val_ic,val_q5q1,test_ic,test_q5q1
3,HUMAN,"diff(ret_5d, csi300_ret_5)","diff(ret_5d,csi300_ret_5)",e5cae5fd4bba258e,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,1.0,0.038524702343709825,608,0.0064652255851517515,0.05414490591993446,0.053878029098765406,0.01065748834961015,3,9.768643217422657e-05,True,True,0.045053455643569586,0.00682219451914177,0.04820784393719706,0.0034418076151706265
5,HUMAN,"interaction(drawdown_20, daily_bb_up_ratio)","interaction(daily_bb_up_ratio,drawdown_20)",02d0649a4fc687b9,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,1.0,0.03656187965962508,608,0.005453521103831686,0.044504652083969365,0.06370620367950815,0.002252318929162539,3,0.000308414126125367,True,True,0.049801843296774874,0.00868853808306046,0.04815071750686869,-0.0019766264193894823
6,HUMAN,"diff(bb_z, cs_zscore(ret_5d))","diff(bb_z,(cs_zscore,ret_5d))",b128134943507e91,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,0.9998380126090985,-0.04003546166594105,608,-0.00493631557867448,-0.05954278883928113,-0.054398006456896124,-0.010244475000701593,3,5.091854150496289e-05,True,True,-0.05694019481254488,-0.008718120805900823,-0.04515741204622633,-0.001993793298513518
10,HUMAN,"ratio(drawdown_60, atr14_pct)","ratio(drawdown_60,atr14_pct)",6e041e67f0a326af,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,0.9777234940032268,-0.04617502460888488,586,-0.006539392217870982,0.0605422990153325,-0.09109018234802456,-0.0697222671398412,2,1.8191763260677618e-05,True,True,0.04249423045182703,0.006907772902675527,-0.0246453510279928,-0.013607582285485179
11,HUMAN,"interaction(bb_z, turnover_rank)","interaction(bb_z,turnover_rank)",cfbef2434d54d913,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,1.0,0.04624403303349029,608,0.0075152502099684465,-0.013876400616193729,0.09473367764208954,0.04145699096277342,2,8.17340877423689e-06,True,True,0.09410041943193259,0.018717199077946278,-0.03041377330767213,-0.017807491640092106
12,HUMAN,"diff(ret_5d, ret_20d)","diff(ret_5d,ret_20d)",750b8550c03eee27,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,0.9998444921047346,0.04313594078571098,607,0.009070848811446984,0.01791407593338811,0.029309525932871602,0.07659748729503195,3,9.951950670217258e-06,True,True,-0.03118577568549593,-0.00931582027463512,-0.0019224488977169878,0.011891949691147458
13,HUMAN,"ratio(gap_pct, atr14_pct)","ratio(gap_pct,atr14_pct)",f26a3521c66da8a3,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,1.0,0.021720222109434945,606,0.00418643470791001,0.03975381495300125,0.022077653775903722,0.007654070336440415,3,0.016868278055463648,True,True,0.004409177682149536,0.0015253060733990327,-0.011582129067362758,0.002503429005711749
16,HUMAN,"ratio(log_amount, atr14_pct)","ratio(log_amount,atr14_pct)",a17266773794c175,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,1.0,0.03786571973325135,608,0.002424012518190817,0.05384459387980336,0.059699926130141495,0.0029761119918769083,3,0.00026100395581263314,True,True,0.01252198907174424,0.0015673374069244404,0.07411378469778025,0.010401423971111018
18,HUMAN,"diff(ret_3d, cs_zscore(ret_10d))","diff(ret_3d,(cs_zscore,ret_10d))",897fadb138dccf4b,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,0.9998380126090985,0.034523298610374675,608,0.005497503547436799,0.03652614385132978,0.056364563244623696,0.01025327431499278,3,0.00021862589190657644,True,True,0.016329847609797766,0.001592792016836806,0.04974729193343551,0.011292191459539585
21,HUMAN,"diff(drawdown_20, drawdown_60)","diff(drawdown_20,drawdown_60)",0ce7c003fc00a8d6,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,0.9777234940032268,0.04055162935608019,574,0.007423507613449924,-0.05189385708299128,0.08442557583465829,0.05528892114703895,2,9.932744945517769e-05,True,True,-0.042139753425853854,-0.009059607461595742,0.011127684385878894,0.0045464415258718366
24,HUMAN,"diff(ret_5d, csi500_ret_5)","diff(ret_5d,csi500_ret_5)",8ba6f3a958e263e6,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,1.0,0.038524702343709825,608,0.0064652255851517515,0.05414490591993446,0.053878029098765406,0.01065748834961015,3,9.768643217422657e-05,True,True,0.045053455643569586,0.00682219451914177,0.04820784393719706,0.0034418076151706265
27,HUMAN,"diff(log_amount, cs_zscore(amount_ratio_5_20))","diff(log_amount,(cs_zscore,amount_ratio_5_20))",2d5d573f54c83146,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,0.9998380126090985,-0.043873675392662424,608,-0.008423062090459506,0.019711161498588134,-0.09382981148450736,-0.04019354327422646,2,8.550384392957966e-06,True,True,-0.09359951626802525,-0.019015414919680108,0.053476236919784065,0.01890109422706306
28,HUMAN,"ratio(ret_60d, realized_vol_20)","ratio(ret_60d,realized_vol_20)",27a39a07b5baeb75,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,0.9777040555163186,-0.028451898426545445,586,-0.007172470953319522,0.06182541899734983,-0.07303554114153284,-0.04151066864788127,2,0.004757845185646703,True,True,0.0208019923924337,0.002554760466167667,-0.01186548666574511,-0.009553651567019391
29,HUMAN,"interaction(days_since_first_signal, bb_z)","interaction(bb_z,days_since_first_signal)",5469f24293f831dd,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,1.0,-0.05303721290848587,556,-0.013329909767355553,-0.0075523071852599466,-0.049528373780996074,-0.08970660566376154,3,1.040929564766202e-10,True,True,0.004668692591428363,-0.001474164727300979,0.020021158967106312,-0.0054729233901611345
30,HUMAN,"diff(ret_1d, ret_5d)","diff(ret_1d,ret_5d)",44cecbf2898e7fb9,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,1.0,-0.02131333448752303,608,-0.0015065225158856818,-0.04565767025717817,-0.027611043258443373,0.0037562396333115215,2,0.03196311023839593,True,True,-0.03721073219922116,-0.004048637117630711,-0.026003616796115295,-0.001992835340868157
36,TEMPLATE,"ratio(bb_z,ret_5d)","ratio(bb_z,ret_5d)",71e700ef12c0028b,BB_CONDITIONAL,NA,NA,PROPOSED,OK,0.9999611230261837,0.04148764755329649,608,0.006883052259521852,0.05778553109380823,0.05362574699840265,0.016453724701782968,3,2.124850059015415e-05,True,True,0.05464294748798184,0.008058561806368788,0.04020596170347505,-0.0024626715469451455
37,TEMPLATE,"diff(bb_z,ret_5d)","diff(bb_z,ret_5d)",4abf792fc2c89b6c,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.03981770620416565,608,-0.005284946387962229,-0.0564673345790521,-0.05609602504719382,-0.01020439403651298,3,5.67521133101323e-05,True,True,-0.05110006575266097,-0.006112488248115306,-0.04485260909571441,-0.0018372910719348828
