ts_code,signal_date,selected_report_period,selected_ann_date,next_later_announcement,assert_selected_ann_le_signal
603956.SH,2023-08-11,20230331,20230425,,True
002009.SZ,2020-03-16,20190930,20191022,,True
688093.SH,2024-11-22,20240930,20241025,,True
002877.SZ,2020-09-28,20200630,20200821,,True
688400.SH,2022-11-25,20220930,20221026,,True
600570.SH,2020-10-26,20200630,20200827,,True
600861.SH,2022-03-15,20210930,20211030,,True
301338.SZ,2023-04-25,20220930,20221027,,True
300883.SZ,2022-09-26,20220630,20220830,,True
300275.SZ,2021-12-24,20210930,20211028,,True
600488.SH,2021-05-11,20210331,20210429,,True
688084.SH,2023-06-08,20230331,20230425,,True
002097.SZ,2023-03-14,20220930,20221031,,True
002774.SZ,2022-12-22,20220930,20221028,,True
600586.SH,2022-01-25,20210930,20211012,,True
688037.SH,2022-10-10,20220630,20220826,,True
603518.SH,2022-09-16,20220630,20220831,,True
600212.SH,2024-01-23,20230930,20231031,,True
688192.SH,2023-05-09,20230331,20230429,,True
003012.SZ,2022-10-12,20220630,20220818,,True
301208.SZ,2024-11-18,20240930,20241023,,True
600927.SH,2023-03-10,20220930,20221027,,True
300791.SZ,2021-02-22,20200930,20201029,,True
002273.SZ,2023-07-21,20230331,20230425,,True
603655.SH,2021-12-20,20210930,20211021,,True
603789.SH,2024-04-09,20230930,20231028,,True
603021.SH,2024-01-22,20230930,20231028,,True
300419.SZ,2024-04-16,20230930,20231028,,True
002632.SZ,2020-12-09,20200930,20201026,,True
002897.SZ,2020-04-28,20190930,20191028,,True
603233.SH,2023-04-21,20220930,20221028,,True
688106.SH,2024-06-24,20240331,20240426,,True
300448.SZ,2020-12-08,20200930,20201023,,True
002821.SZ,2023-04-25,20221231,20230331,,True
002468.SZ,2022-09-01,20220630,20220831,,True
000793.SZ,2020-07-16,20200331,20200429,,True
601588.SH,2024-02-05,20230930,20231031,,True
002873.SZ,2022-09-16,20220630,20220830,,True
603088.SH,2021-07-23,20210331,20210429,,True
300246.SZ,2022-01-25,20210930,20211029,,True
600009.SH,2022-09-01,20220630,20220831,,True
603619.SH,2023-10-11,20230630,20230830,,True
601008.SH,2023-10-10,20230630,20230826,,True
002935.SZ,2023-04-24,20220930,20221028,,True
600446.SH,2024-08-22,20240331,20240427,,True
688185.SH,2022-12-05,20220930,20221029,,True
002719.SZ,2024-04-15,20230930,20231031,,True
000999.SZ,2021-10-27,20210930,20211027,,True
000883.SZ,2020-03-09,20190930,20191030,,True
300093.SZ,2024-03-29,20230930,20231024,,True
300026.SZ,2024-12-24,20240930,20241025,,True
301089.SZ,2023-10-23,20230630,20230825,,True
603160.SH,2021-02-02,20200930,20201030,,True
300317.SZ,2021-08-27,20210630,20210827,,True
688798.SH,2024-05-24,20240331,20240426,,True
300865.SZ,2022-08-02,20220331,20220422,,True
301132.SZ,2024-01-08,20230930,20231027,,True
300416.SZ,2022-11-29,20220930,20221026,,True
000088.SZ,2024-12-23,20240930,20241031,,True
603307.SH,2024-08-23,20240331,20240430,,True
688313.SH,2023-08-25,20230630,20230819,,True
300358.SZ,2023-10-18,20230630,20230823,,True
603123.SH,2021-09-29,20210630,20210828,,True
600970.SH,2023-08-18,20230331,20230426,,True
600655.SH,2024-03-22,20231231,20240322,,True
300265.SZ,2024-01-19,20230930,20231028,,True
000930.SZ,2024-12-23,20240930,20241026,,True
301559.SZ,2024-06-06,20240331,20240424,,True
002161.SZ,2020-12-16,20200930,20201029,,True
300328.SZ,2021-09-24,20210630,20210827,,True
300596.SZ,2023-02-10,20220930,20221025,,True
000903.SZ,2022-09-01,20220630,20220818,,True
002791.SZ,2024-04-16,20231231,20240327,,True
603919.SH,2024-05-28,20240331,20240420,,True
002913.SZ,2021-01-07,20200930,20201026,,True
002555.SZ,2021-07-06,20210331,20210430,,True
603348.SH,2020-04-27,20191231,20200331,,True
688329.SH,2022-11-25,20220930,20221029,,True
688267.SH,2022-12-19,20220930,20221028,,True
600927.SH,2023-04-21,20220930,20221027,,True
603939.SH,2020-05-11,20200331,20200415,,True
300732.SZ,2021-04-30,20210331,20210428,,True
002889.SZ,2021-09-29,20210630,20210827,,True
605155.SH,2022-08-02,20220331,20220427,,True
300474.SZ,2022-11-25,20220930,20221028,,True
002566.SZ,2024-01-18,20230930,20231027,,True
000630.SZ,2021-06-15,20210331,20210427,,True
300920.SZ,2024-12-25,20240930,20241029,,True
603598.SH,2020-03-12,20190930,20191031,,True
600538.SH,2024-01-22,20230930,20231027,,True
002035.SZ,2022-10-31,20220930,20221029,,True
603050.SH,2024-07-01,20240331,20240423,,True
300141.SZ,2023-08-23,20230331,20230428,,True
300081.SZ,2022-04-08,20210930,20211023,,True
002303.SZ,2023-12-18,20230930,20231027,,True
002632.SZ,2021-10-28,20210630,20210824,,True
002693.SZ,2022-08-02,20220331,20220430,,True
300543.SZ,2021-09-01,20210630,20210827,,True
688153.SH,2024-01-03,20230930,20231027,,True
002116.SZ,2024-11-22,20240930,20241025,,True
