ts_code,report_period,n_versions,ann_dates
000001.SZ,20171231,2,20180315;20180315
000001.SZ,20180331,2,20180420;20180420
000001.SZ,20180630,2,20180816;20180816
000001.SZ,20181231,2,20190307;20190307
000001.SZ,20190630,2,20190808;20190808
000001.SZ,20191231,2,20200214;20200214
000001.SZ,20200630,2,20200828;20200828
000001.SZ,20200930,2,20201022;20201022
000001.SZ,20201231,2,20210202;20210202
000001.SZ,20210331,2,20210421;20210421
000001.SZ,20211231,2,20220310;20220310
000001.SZ,20221231,2,20230309;20230309
000001.SZ,20230331,2,20230425;20230425
000002.SZ,20180630,2,20180821;20180821
000002.SZ,20180930,2,20181026;20181026
000002.SZ,20181231,2,20190326;20190326
000002.SZ,20190630,2,20190821;20190821
000002.SZ,20190930,2,20191025;20191025
000002.SZ,20191231,2,20200318;20200318
000002.SZ,20200331,2,20200428;20200428
000002.SZ,20200630,2,20200828;20200828
000002.SZ,20200930,2,20201030;20201030
000002.SZ,20201231,2,20210331;20210331
000002.SZ,20211231,2,20220331;20220331
000002.SZ,20220331,2,20220429;20220429
000002.SZ,20221231,2,20230331;20230331
000002.SZ,20240331,2,20240430;20240430
000004.SZ,20180930,2,20181031;20181031
000004.SZ,20181231,2,20190426;20190426
000004.SZ,20191231,2,20200428;20200428
000004.SZ,20200630,2,20200831;20200831
000004.SZ,20200930,2,20201030;20201030
000004.SZ,20201231,2,20210428;20210428
000004.SZ,20210930,2,20211027;20211027
000004.SZ,20211231,2,20220430;20220430
000004.SZ,20220331,2,20220430;20220430
000004.SZ,20221231,2,20230429;20230429
000004.SZ,20230331,2,20230429;20230429
000004.SZ,20230930,2,20231028;20231028
000004.SZ,20231231,2,20240430;20240430
000005.SZ,20180930,2,20181030;20181030
000005.SZ,20181231,2,20190425;20190425
000005.SZ,20190930,2,20191030;20191030
000005.SZ,20191231,2,20200523;20200523
000005.SZ,20200331,2,20200430;20200430
000005.SZ,20200630,2,20200829;20200829
000005.SZ,20200930,2,20201029;20201029
000005.SZ,20201231,2,20210430;20210430
000005.SZ,20210930,2,20211029;20211029
000005.SZ,20211231,2,20220427;20220427
000005.SZ,20220331,2,20220427;20220427
000005.SZ,20221231,2,20230429;20230429
000005.SZ,20230630,2,20230830;20230830
000005.SZ,20230930,2,20231028;20231028
000006.SZ,20180930,2,20181027;20181027
000006.SZ,20181231,2,20190330;20190330
000006.SZ,20190630,2,20190816;20190816
000006.SZ,20190930,2,20191030;20191030
000006.SZ,20191231,2,20200409;20200409
000006.SZ,20200331,2,20200430;20200430
000006.SZ,20200630,2,20200828;20200828
000006.SZ,20200930,2,20201029;20201029
000006.SZ,20201231,2,20210331;20210331
000006.SZ,20211231,2,20220416;20220416
000006.SZ,20220331,2,20220428;20220428
000006.SZ,20220930,2,20221028;20221028
000006.SZ,20230630,2,20230825;20230825
000007.SZ,20181231,2,20190430;20190430
000007.SZ,20190630,2,20190831;20190831
000007.SZ,20191231,2,20200429;20200429
000007.SZ,20200331,2,20200430;20200430
000007.SZ,20200630,2,20200828;20200828
000007.SZ,20200930,2,20201031;20201031
000007.SZ,20201231,2,20210429;20210429
000007.SZ,20210930,2,20211029;20211029
000007.SZ,20211231,2,20220430;20220430
000007.SZ,20220331,2,20220430;20220430
000008.SZ,20180930,2,20181020;20181020
000008.SZ,20181231,2,20190425;20190425
000008.SZ,20190930,2,20191022;20191022
000008.SZ,20191231,2,20200424;20200424
000008.SZ,20200331,2,20200430;20200430
000008.SZ,20200630,2,20200829;20200829
000008.SZ,20200930,2,20201031;20201031
000008.SZ,20201231,2,20210420;20210420
000008.SZ,20210930,2,20211029;20211029
000008.SZ,20211231,2,20220429;20220429
000008.SZ,20220331,2,20220430;20220430
000008.SZ,20221231,2,20230422;20230422
000008.SZ,20230630,2,20230826;20230826
000009.SZ,20180630,2,20180830;20180830
000009.SZ,20180930,2,20181030;20181030
000009.SZ,20181231,2,20190430;20190430
000009.SZ,20190630,2,20190831;20190831
000009.SZ,20190930,2,20191026;20191026
000009.SZ,20191231,2,20200429;20200429
000009.SZ,20200331,2,20200429;20200429
000009.SZ,20200630,2,20200828;20200828
000009.SZ,20200930,2,20201029;20201029
000009.SZ,20201231,2,20210327;20210327
000009.SZ,20211231,2,20220331;20220331
000009.SZ,20220331,2,20220428;20220428
000009.SZ,20221231,2,20230415;20230415
000009.SZ,20230630,2,20230829;20230829
000009.SZ,20230930,2,20231031;20231031
000009.SZ,20240331,2,20240430;20240430
000010.SZ,20180930,2,20181030;20181030
000010.SZ,20181231,2,20190425;20190425
000010.SZ,20191231,2,20200430;20200430
000010.SZ,20200331,2,20200430;20200430
000010.SZ,20200630,2,20200825;20200825
000010.SZ,20200930,2,20201030;20201030
000010.SZ,20201231,2,20210421;20210421
000010.SZ,20210930,2,20211027;20211027
000010.SZ,20211231,2,20220428;20220428
000010.SZ,20220331,2,20220428;20220428
000010.SZ,20240331,2,20240427;20240427
000011.SZ,20180930,2,20181031;20181031
000011.SZ,20181231,2,20190330;20190330
000011.SZ,20190630,2,20190820;20190820
000011.SZ,20191231,2,20200318;20200318
000011.SZ,20200331,2,20200430;20200430
000011.SZ,20200630,2,20200820;20200820
000011.SZ,20200930,2,20201026;20201026
000011.SZ,20201231,2,20210331;20210331
000011.SZ,20210930,2,20211030;20211030
000011.SZ,20211231,2,20220330;20220330
000011.SZ,20220331,2,20220427;20220427
000011.SZ,20221231,2,20230325;20230325
000011.SZ,20240331,2,20240427;20240427
000012.SZ,20180930,2,20181030;20181030
000012.SZ,20181231,2,20190417;20190417
000012.SZ,20190930,2,20191028;20191028
000012.SZ,20191231,2,20200430;20200430
000012.SZ,20200331,2,20200430;20200430
