field,changed_n,changed_pct,max_abs_diff
latest_report_period,0,0.0,0.0
latest_ann_date,0,0.0,0.0
financial_age_days,0,0.0,0.0
revenue_ttm,8064,12.6425,6481532118.169983
netprofit_ttm,8348,13.0877,673979216.73
ocf_ttm,7793,12.2176,1.52587890625e-05
revenue_yoy_pct,7363,11.5435,42.663061801427226
netprofit_yoy_pct,7115,11.1547,478.4992695525716
roe,1176,1.8437,0.0
gross_margin,1145,1.7951,0.0
debt_to_asset,1163,1.8233,0.0
current_ratio,1133,1.7763,0.0
ocf_to_netprofit,13524,21.2025,135.39704766168168
loss_flag,1,0.0016,1.0
negative_ocf_flag,0,0.0,0.0
profit_decline_flag,1,0.0016,1.0
revenue_decline_flag,5,0.0078,1.0
forecast_type,25,0.0392,0.0
express_available_flag,0,0.0,0.0
