ts_code,signal_date,old_report_period,new_report_period,old_ann_date,new_ann_date,changed
002187.SZ,2020-02-06,20190930,20190930,20191026,20191026,0
000007.SZ,2020-02-06,20190930,20190930,20191031,20191031,0
600869.SH,2020-02-06,20190930,20190930,20191028,20191028,0
002042.SZ,2020-02-06,20190930,20190930,20191030,20191030,0
603333.SH,2020-02-06,20190930,20190930,20191019,20191019,0
000632.SZ,2020-02-06,20190930,20190930,20191031,20191031,0
300681.SZ,2020-02-06,20190930,20190930,20191026,20191026,0
603300.SH,2020-02-06,20190930,20190930,20191026,20191026,0
600107.SH,2020-02-06,20190930,20190930,20191031,20191031,0
603021.SH,2020-02-06,20190930,20190930,20191029,20191029,0
000678.SZ,2020-02-06,20190930,20190930,20191031,20191031,0
000687.SZ,2020-02-06,20190930,20190930,20191030,20191030,0
603167.SH,2020-02-06,20190930,20190930,20191028,20191028,0
000918.SZ,2020-02-06,20190930,20190930,20191031,20191031,0
000657.SZ,2020-02-06,20190930,20190930,20191030,20191030,0
300509.SZ,2020-02-06,20190930,20190930,20191030,20191030,0
000890.SZ,2020-02-06,20190930,20190930,20191023,20191023,0
603239.SH,2020-02-06,20190930,20190930,20191025,20191025,0
000697.SZ,2020-02-06,20190930,20190930,20191029,20191029,0
002563.SZ,2020-02-06,20190930,20190930,20191030,20191030,0
600182.SH,2020-02-06,20190930,20190930,20191031,20191031,0
603663.SH,2020-02-06,20190930,20190930,20191030,20191030,0
300301.SZ,2020-02-06,20190930,20190930,20191026,20191026,0
600278.SH,2020-02-06,20190930,20190930,20191026,20191026,0
300473.SZ,2020-02-07,20190930,20190930,20191030,20191030,0
603799.SH,2020-02-07,20190930,20190930,20191029,20191029,0
600229.SH,2020-02-13,20190930,20190930,20191030,20191030,0
300633.SZ,2020-02-20,20190930,20190930,20191029,20191029,0
300618.SZ,2020-02-24,20190930,20190930,20191026,20191026,0
300341.SZ,2020-02-25,20190930,20190930,20191029,20191029,0
603899.SH,2020-02-26,20190930,20190930,20191026,20191026,0
600900.SH,2020-02-26,20190930,20190930,20191031,20191031,0
600583.SH,2020-02-27,20190930,20190930,20191029,20191029,0
603096.SH,2020-02-27,20190930,20190930,20191029,20191029,0
603305.SH,2020-02-27,20190930,20190930,20191024,20191024,0
600223.SH,2020-02-27,20190930,20190930,20191026,20191026,0
603920.SH,2020-02-27,20190930,20190930,20191030,20191030,0
002831.SZ,2020-02-28,20190930,20190930,20191030,20191030,0
600011.SH,2020-02-28,20190930,20190930,20191023,20191023,0
601006.SH,2020-02-28,20190930,20190930,20191030,20191030,0
601398.SH,2020-02-28,20190930,20190930,20191026,20191026,0
601886.SH,2020-02-28,20190930,20190930,20191030,20191030,0
002750.SZ,2020-02-28,20190930,20190930,20191024,20191024,0
601601.SH,2020-02-28,20190930,20190930,20191031,20191031,0
603790.SH,2020-02-28,20190930,20190930,20191025,20191025,0
600919.SH,2020-02-28,20190930,20190930,20191030,20191030,0
