ts_code,end_date,ann_date,f_ann_date,delta_days,stock_name,official_public_date,matched_title,which_field_matches
600973.SH,20171231,2018-03-31,2026-03-14,2905,宝胜股份,2018-04-18,华泰联合证券有限责任公司、中航证券有限公司关于宝,OTHER
002462.SZ,20171231,2018-04-26,2026-03-14,2879,嘉事堂,2018-04-26,2017年年度报告,ANN
002462.SZ,20181231,2019-02-28,2026-03-14,2571,嘉事堂,2019-03-01,关于举行2018年度报告网上说明会的公告（更新后,OTHER
600973.SH,20181231,2019-03-15,2026-03-14,2556,宝胜股份,2019-03-15,2018年年度报告,ANN
600973.SH,20191231,2020-03-31,2026-03-14,2174,宝胜股份,2020-03-31,2019年年度报告,ANN
002462.SZ,20191231,2020-04-28,2026-03-14,2146,嘉事堂,2020-04-29,2019年年度报告（更新后）,OTHER
300091.SZ,20171231,20180426,20240208,2114,*ST金灵,,,NO_HIT
600973.SH,20201231,2021-03-15,2026-03-14,1825,宝胜股份,2021-03-15,2020年年度报告,ANN
002462.SZ,20201231,2021-03-31,2026-03-14,1809,嘉事堂,2021-03-31,关于举办2020年年度报告网上业绩说明会的通知公,ANN
600127.SH,20201231,2021-04-02,2026-03-04,1797,金健米业,2021-04-02,金健米业2020年年度报告全文,ANN
300091.SZ,20181231,2019-04-02,2024-02-08,1773,*ST金灵,2019-04-02,2018年年度报告,ANN
002176.SZ,20171231,20180413,20230120,1743,江特电机,,,NO_HIT
002726.SZ,20210331,2021-04-29,2026-01-31,1738,ST龙大,2021-04-29,2021年第一季度报告全文,ANN
300159.SZ,20171231,2018-04-24,2023-01-19,1731,新研股份,2018-06-08,关于2017年年度报告环境保护情况的补充公告,OTHER
600079.SH,20171231,2018-04-12,2022-12-23,1716,ST人福,2018-05-24,2017年年度报告（修订稿）,OTHER
002491.SZ,20171231,2018-04-26,2022-12-23,1702,通鼎互联,2018-05-05,2017年年度报告等文件的补充更正公告,OTHER
002412.SZ,20171231,2018-04-27,2022-11-19,1667,汉森制药,2018-06-05,2017年年度报告（更新后）,OTHER
002726.SZ,20210630,2021-08-31,2026-01-31,1614,ST龙大,2021-08-31,2021年半年度报告,ANN
000820.SZ,20171231,2018-04-28,2022-08-29,1584,神雾节能,2018-06-07,关于2017年年度报告的补充更正公告,OTHER
002396.SZ,20171231,2018-03-30,2022-07-27,1580,星网锐捷,2018-03-30,2017年年度报告（已取消）,ANN
000422.SZ,20171231,2018-04-21,2022-07-29,1560,湖北宜化,2018-06-01,2017年年度报告（更新后）,OTHER
300237.SZ,20171231,20180326,20220628,1555,ST美晨,,,NO_HIT
002726.SZ,20210930,20211030,20260131,1554,ST龙大,,,NO_HIT
002396.SZ,20180331,2018-04-26,2022-07-27,1553,星网锐捷,2018-04-26,2018年第一季度报告全文（更新前）,ANN
300500.SZ,20201231,20210428,20250722,1546,启迪设计,,,NO_HIT
600287.SH,20171231,2018-03-27,2022-04-30,1495,苏豪时尚,2018-03-27,独立董事关于2017年年度报告有关事项的独立意见,ANN
002781.SZ,20171231,20180424,20220524,1491,奇信退,,,NO_HIT
000826.SZ,20171231,2018-04-10,2022-04-30,1481,*ST启环,2018-05-24,2017年年度报告（更新后）,OTHER
000070.SZ,20171231,2018-04-11,2022-04-30,1480,特发信息,2018-04-11,2017年年度报告,ANN
002168.SZ,20171231,20180413,20220430,1478,ST惠程,,,NO_HIT
