ts_code,date,level,avg_cost,entry_date,adjT,pstar_raw,threshold,eff_threshold,early_exit_pct,high_raw,close_raw,gap_raw,gap_legal,gap_eff,pct_legal,pct_eff,triggered,hold_days,float_pnl,adj_changed,pstar_old
601318.SH,2020-03-03,1,78.4187,2020-03-02,2.4056,83.70685246889731,83.71000000000001,83.71000000000001,0.0,80.57,79.49,3.1368524688973167,3.140000000000015,3.140000000000015,0.03751045275355411,0.03751045275355411,False,1,2678.24,False,83.70685246889731
300750.SZ,2020-03-03,1,138.9749,2020-03-02,1.0019,174.94975033441975,174.95000000000002,174.95000000000002,0.0,149.69,145.78,25.25975033441975,25.26000000000002,25.26000000000002,0.1443841097456417,0.1443841097456417,False,1,9527.11,False,174.94975033441975
601318.SH,2020-03-04,1,78.4187,2020-03-02,2.4056,83.7420074650921,83.75,83.75,0.0,80.75,80.58,2.992007465092101,3.0,3.0,0.03582089552238806,0.03582089552238806,False,2,5403.24,False,83.7420074650921
300750.SZ,2020-03-04,1,138.9749,2020-03-02,1.0019,174.1736292285451,174.18,174.18,0.0,145.88,143.7,28.293629228545115,28.30000000000001,28.30000000000001,0.16247559995407057,0.16247559995407057,False,2,6615.11,False,174.1736292285451
601318.SH,2020-03-05,1,78.4187,2020-03-02,2.4056,83.66633933736,83.67,83.67,0.0,82.76,82.45,0.9063393373599951,0.9099999999999966,0.9099999999999966,0.01087606071471252,0.01087606071471252,False,3,10078.24,False,83.66633933736
300750.SZ,2020-03-05,1,138.9749,2020-03-02,1.0019,171.72028246808654,171.73,171.73,0.0,147.83,145.22,23.890282468086525,23.899999999999977,23.899999999999977,0.13917195597740628,0.13917195597740628,False,3,8743.11,False,171.72028246808654
601318.SH,2020-03-06,1,78.4187,2020-03-02,2.4056,83.87661891226365,83.88,83.88,0.0,81.92,80.91,1.9566189122636501,1.9599999999999937,1.9599999999999937,0.023366714353838743,0.023366714353838743,False,4,6228.24,False,83.87661891226365
300750.SZ,2020-03-06,1,138.9749,2020-03-02,1.0019,171.03981518957045,171.04,171.04,0.0,147.3,143.52,23.739815189570436,23.73999999999998,23.73999999999998,0.1387979420018708,0.1387979420018708,False,4,6363.11,False,171.03981518957045
601318.SH,2020-03-09,1,78.4187,2020-03-02,2.4056,83.8943627309528,83.9,83.9,0.0,79.0,78.14,4.894362730952807,4.900000000000006,4.900000000000006,0.05840286054827182,0.05840286054827182,False,5,-696.76,False,83.8943627309528
300750.SZ,2020-03-09,1,138.9749,2020-03-02,1.0019,169.09125070585267,169.1,169.1,0.0,140.9,133.45,28.191250705852667,28.19999999999999,28.19999999999999,0.16676522767593133,0.16676522767593133,False,5,-7734.89,False,169.09125070585267
601318.SH,2020-03-10,1,78.4187,2020-03-02,2.4056,84.05847201127693,84.06,84.06,0.0,79.78,79.18,4.278472011276932,4.280000000000001,4.280000000000001,0.05091601237211517,0.05091601237211517,False,6,1903.24,False,84.05847201127693
300750.SZ,2020-03-10,2,136.3767,2020-03-02,1.0019,169.81067550897777,169.82,169.82,0.0,141.69,140.53,28.12067550897777,28.129999999999995,28.129999999999995,0.16564597809445292,0.16564597809445292,False,6,11629.37,False,169.81067550897777
601318.SH,2020-03-11,1,78.4187,2020-03-02,2.4056,84.03404120801184,84.04,84.04,0.0,79.25,78.15,4.784041208011843,4.790000000000006,4.790000000000006,0.056996668253212826,0.056996668253212826,False,7,-671.76,False,84.03404120801184
300750.SZ,2020-03-11,2,136.3767,2020-03-02,1.0019,168.7171566805943,168.72,168.72,0.0,148.58,140.78,20.137156680594273,20.139999999999986,20.139999999999986,0.11936936936936929,0.11936936936936929,False,7,12329.37,False,168.7171566805943
601318.SH,2020-03-12,1,78.4187,2020-03-02,2.4056,84.15242721105008,84.16,84.16,0.0,77.48,76.65,6.672427211050078,6.679999999999993,6.679999999999993,0.0793726235741444,0.0793726235741444,False,8,-4421.76,False,84.15242721105008
300750.SZ,2020-03-12,2,136.3767,2020-03-02,1.0019,167.97512050775458,167.98,167.98,0.0,136.77,134.2,31.20512050775457,31.20999999999998,31.20999999999998,0.1857959280866769,0.1857959280866769,False,8,-6094.63,False,167.97512050775458
601318.SH,2020-03-13,2,75.2058,2020-03-02,2.4056,84.4326855275958,84.44,84.44,0.0,75.98,74.71,8.45268552759579,8.459999999999994,8.459999999999994,0.1001894836570345,0.1001894836570345,False,9,-2578.23,False,84.4326855275958
300750.SZ,2020-03-13,2,136.3767,2020-03-02,1.0019,168.54807126486443,168.55,168.55,0.0,133.8,132.1,34.74807126486442,34.75,34.75,0.20617027588252743,0.20617027588252743,False,9,-11974.63,False,168.54807126486443
601318.SH,2020-03-16,2,75.2058,2020-03-02,2.4056,84.78211597159014,84.79,84.79,0.0,74.52,72.0,10.262115971590148,10.27000000000001,10.27000000000001,0.12112277391201803,0.12112277391201803,False,10,-16670.23,False,84.78211597159014
300750.SZ,2020-03-16,2,136.3767,2020-03-02,1.0019,168.60584907955476,168.61,168.61,0.0,128.88,119.06,39.72584907955476,39.73000000000002,39.73000000000002,0.23563252476128352,0.23563252476128352,False,10,-48486.63,False,168.60584907955476
601318.SH,2020-03-17,3,74.0214,2020-03-02,2.4056,85.70508872129354,85.71000000000001,85.71000000000001,0.0,73.0,72.14,12.705088721293535,12.710000000000008,12.710000000000008,0.14829074787072694,0.14829074787072694,False,11,-14863.03,False,85.70508872129354
300750.SZ,2020-03-17,3,135.3617,2020-03-02,1.0019,170.2330073297718,170.24,170.24,0.0,122.93,117.95,47.30300732977179,47.31,47.31,0.2779017857142857,0.2779017857142857,False,11,-52235.13,False,170.2330073297718
601318.SH,2020-03-18,3,74.0214,2020-03-02,2.4056,86.11250303276765,86.12,86.12,0.0,72.88,69.87,13.232503032767653,13.240000000000009,13.240000000000009,0.15373896888063177,0.15373896888063177,False,12,-32796.03,False,86.11250303276765
300750.SZ,2020-03-18,3,135.3617,2020-03-02,1.0019,171.4794412343966,171.48,171.48,0.0,123.5,117.35,47.9794412343966,47.97999999999999,47.97999999999999,0.2797993935152787,0.2797993935152787,False,12,-54035.13,False,171.4794412343966
000725.SZ,2020-03-18,1,4.2109,2020-03-17,4.8592,6.051565809650261,6.0600000000000005,6.0600000000000005,0.0,4.35,4.13,1.701565809650261,1.7100000000000009,1.7100000000000009,0.2821782178217823,0.2821782178217823,False,1,-24.27,False,6.051565809650261
601318.SH,2020-03-19,3,74.0214,2020-03-02,2.4056,86.39380405843312,86.4,86.4,0.0,69.87,67.81,16.523804058433115,16.53,16.53,0.19131944444444446,0.19131944444444446,False,13,-49070.03,False,86.39380405843312
300750.SZ,2020-03-19,3,135.3617,2020-03-02,1.0019,170.4752755447987,170.48,170.48,0.0,119.5,115.04,50.975275544798706,50.97999999999999,50.97999999999999,0.2990380103237916,0.2990380103237916,False,13,-60965.13,False,170.4752755447987
000725.SZ,2020-03-19,1,4.2109,2020-03-17,4.8592,6.077800949233055,6.08,6.08,0.0,4.23,4.18,1.8478009492330543,1.8499999999999996,1.8499999999999996,0.3042763157894736,0.3042763157894736,False,2,-9.27,False,6.077800949233055
601318.SH,2020-03-20,3,74.0214,2020-03-02,2.4056,86.92620770905664,86.93,86.93,0.0,69.4,69.0,17.526207709056635,17.53,17.53,0.2016565052340964,0.2016565052340964,False,14,-39669.03,False,86.92620770905664
300750.SZ,2020-03-20,3,135.3617,2020-03-02,1.0019,168.89118288952503,168.9,168.9,0.0,119.7,115.86,49.191182889525024,49.2,49.2,0.2912966252220249,0.2912966252220249,False,14,-58505.13,False,168.89118288952503
000725.SZ,2020-03-20,1,4.2109,2020-03-17,4.8592,6.069138509905523,6.07,6.07,0.0,4.24,4.2,1.8291385099055226,1.83,1.83,0.3014827018121911,0.3014827018121911,False,3,-3.27,False,6.069138509905523
601318.SH,2020-03-23,3,74.0214,2020-03-02,2.4056,87.0842770717384,87.09,87.09,0.0,67.5,66.76,19.5842770717384,19.590000000000003,19.590000000000003,0.22493971753358596,0.22493971753358596,False,15,-57365.03,False,87.0842770717384
300750.SZ,2020-03-23,3,135.3617,2020-03-02,1.0019,167.56591239009663,167.57,167.57,0.0,111.57,107.48,55.995912390096635,56.0,56.0,0.3341886972608462,0.3341886972608462,False,15,-83645.13,False,167.56591239009663
000725.SZ,2020-03-23,1,4.2109,2020-03-17,4.8592,5.94277637527712,5.95,5.95,0.0,4.07,3.94,1.8727763752771196,1.88,1.88,0.31596638655462184,0.31596638655462184,False,4,-81.27,False,5.94277637527712
601318.SH,2020-03-24,3,74.0214,2020-03-02,2.4056,87.4572780741064,87.46000000000001,87.46000000000001,0.0,69.05,68.95,18.4072780741064,18.41000000000001,18.41000000000001,0.21049622684655853,0.21049622684655853,False,16,-40064.03,False,87.4572780741064
300750.SZ,2020-03-24,3,135.3617,2020-03-02,1.0019,164.6654348552598,164.67000000000002,164.67000000000002,0.0,112.88,111.57,51.78543485525981,51.79000000000002,51.79000000000002,0.3145078034857595,0.3145078034857595,False,16,-71375.13,False,164.6654348552598
000725.SZ,2020-03-24,1,4.2109,2020-03-17,4.8592,5.785861596980315,5.79,5.79,0.0,4.03,3.95,1.7558615969803144,1.7599999999999998,1.7599999999999998,0.3039723661485319,0.3039723661485319,False,5,-78.27,False,5.785861596980315
