date,leg,action,gross,fee,net,shares,px
2020-03-02,stock,buy,195995.79999999996,50.958907999999994,-196046.75890799996,2500,78.39831999999998
2020-03-02,stock,buy,194514.31999999998,50.57372319999999,-194564.8937232,1400,138.9388
2020-03-10,stock,buy,187241.05399999997,48.682674039999995,-187289.73667403997,1400,133.74361
2020-03-13,stock,buy,194972.77799999996,50.69292227999999,-195023.47092227996,2700,72.21213999999999
2020-03-13,etf,buy,221898.47679999997,55.47461919999999,-221953.95141919996,121600,1.823
2020-03-17,etf,sell,198603.99719999998,49.650999299999995,198554.34620069998,112700,1.764
2020-03-17,stock,buy,193648.455,50.3485983,-193698.8035983,2700,71.72165
2020-03-17,etf,sell,15683.9004,5.0,15678.9004,8900,1.764
2020-03-17,stock,buy,24224.199999999997,6.298291999999999,-24230.498291999997,200,121.12099999999998
2020-03-17,stock,buy,1258.257,5.01258257,-1263.26958257,300,4.19419
2020-04-15,stock,sell,389010.6000000001,490.15335600000014,388520.44664400007,3000,129.67020000000002
2020-04-15,etf,buy,383558.3751999999,95.88959379999997,-383654.2647937999,203600,1.882
2020-04-17,stock,sell,567757.674,715.37466924,567042.29933076,7900,71.86806
2020-04-17,etf,buy,566900.7344,141.72518359999998,-567042.4595835999,296200,1.912
2020-04-29,etf,sell,198770.6304,49.6926576,198720.93774239998,103200,1.928
2020-04-29,stock,buy,199918.71899999995,51.97886693999999,-199970.69786693994,56900,3.5135099999999992
2020-05-11,stock,sell,229142.628,288.71971128,228853.90828872,57200,4.00599
2020-05-11,etf,buy,27495.467999999997,6.873867,-27502.341866999996,14000,1.962
2020-05-12,stock,buy,196546.34999999998,51.102050999999996,-196597.45205099997,1700,115.61549999999998
2020-05-12,etf,buy,3484.6811999999995,5.0,-3489.6811999999995,1800,1.934
2020-05-26,etf,sell,198798.2028,49.6995507,198748.5032493,99300,2.004
2020-05-26,stock,buy,197940.743,51.46459318,-197992.20759317998,5300,37.34731
2020-05-26,etf,sell,197997.4044,49.4993511,197947.9050489,98900,2.004
2020-05-26,stock,buy,199069.87099999998,51.75816645999999,-199121.62916645998,7100,28.03801
2020-06-18,stock,sell,123330.546,155.39648796,123175.14951204,1700,72.54738
2020-06-18,stock,sell,214805.979,270.65553354,214535.32346646,5300,40.52943
2020-06-18,stock,sell,213638.14800000002,269.18406648000007,213368.96393352002,7100,30.08988
2020-06-22,etf,buy,550501.5515999999,137.62538789999996,-550639.1769878999,268400,2.049
2020-09-02,etf,sell,198735.4656,49.6838664,198685.7817336,85600,2.324
2020-09-02,stock,buy,198747.54899999994,51.674362739999985,-198799.22336273995,11700,16.986969999999996
2020-09-04,etf,sell,198751.04999999996,49.68776249999999,198701.36223749997,86500,2.3
2020-09-04,stock,buy,199213.01399999997,51.79538363999999,-199264.80938363998,12300,16.19618
2020-09-08,etf,sell,199429.97040000002,49.85749260000001,199380.11290740003,89200,2.238
2020-09-08,stock,buy,199716.517,51.926294420000005,-199768.44329442,12700,15.72571
2020-09-08,etf,sell,199877.1228,49.969280700000006,199827.15351930002,89400,2.238
2020-09-08,stock,buy,197867.66999999995,51.44559419999999,-197919.11559419995,6600,29.979949999999995
2020-09-09,etf,sell,197846.45549999998,49.461613875,197796.99388612498,91900,2.155
2020-09-09,stock,buy,196996.8,51.219167999999996,-197048.019168,1600,123.12299999999999
2020-09-10,etf,sell,88511.4,22.12785,88489.27214999999,40000,2.215
2020-09-10,stock,buy,94942.848,24.68514048,-94967.53314048,6400,14.834819999999999
2020-10-12,stock,sell,204791.00400000002,258.03666504,204532.96733496,6600,31.028940000000002
2020-10-13,stock,buy,197417.21999999997,51.328477199999995,-197468.54847719998,3800,51.951899999999995
2020-10-13,etf,buy,2020.7186999999997,5.0,-2025.7186999999997,900,2.243
2020-10-16,etf,sell,1982.5155,5.0,1977.5155,900,2.205
2020-10-16,stock,buy,4966.9619999999995,5.04966962,-4972.011669619999,100,49.669619999999995
2020-10-28,stock,sell,688479.831,867.48458706,687612.34641294,43100,15.97401
2020-11-04,etf,buy,684627.9439999999,171.156986,-684799.1009859999,319600,2.14
2020-11-09,stock,sell,205792.002,259.29792252000004,205532.70407748,3900,52.76718
2020-11-09,etf,buy,205514.30899999998,51.37857725,-205565.68757724998,92900,2.21
2020-11-12,etf,sell,198708.093,49.67702325,198658.41597675,89800,2.215
2020-11-12,stock,buy,188894.70599999998,49.112623559999996,-188943.81862356,1400,134.92478999999997
2020-11-12,etf,buy,9529.7202,5.0,-9534.7202,4300,2.214
2020-11-16,etf,sell,198627.174,49.6567935,198577.5172065,89000,2.234
2020-11-16,stock,buy,193594.40099999998,50.334544259999994,-193644.73554425998,2900,66.75668999999999
2020-11-16,etf,buy,4937.332399999999,5.0,-4942.332399999999,2200,2.242
2020-11-18,etf,sell,198627.9732,49.6569933,198578.3162067,89200,2.229
2020-11-18,stock,buy,192832.63999999998,50.1364864,-192882.7764864,1600,120.5204
2020-11-18,etf,sell,192838.3686,48.20959215,192790.15900785,86600,2.229
2020-11-18,stock,buy,194894.7,50.672622000000004,-194945.37262200002,3000,64.9649
2020-11-18,etf,buy,3542.7392,5.0,-3547.7392,1600,2.212
2020-12-07,stock,sell,184759.056,232.79641056,184526.25958944001,1600,115.47441
2020-12-07,etf,buy,184537.35299999997,46.13433824999999,-184583.48733824998,81500,2.262
2020-12-09,stock,sell,434100.465,546.9665859,433553.49841410003,5900,73.57635
2020-12-10,stock,buy,195526.33099999998,50.83684605999999,-195577.16784605998,3100,63.07300999999999
2020-12-10,etf,buy,237957.71999999994,59.489429999999984,-238017.20942999993,105000,2.264
2020-12-15,etf,sell,198769.032,49.692258,198719.339742,88000,2.261
2020-12-15,stock,buy,198678.47999999998,51.6564048,-198730.13640479997,4000,49.669619999999995
2020-12-16,etf,sell,198843.55740000002,49.71088935000001,198793.84651065,87800,2.267
2020-12-16,stock,buy,195395.19999999998,50.802752,-195446.00275199997,3200,61.06099999999999
2020-12-16,etf,buy,3181.1779999999994,5.0,-3186.1779999999994,1400,2.27
2020-12-21,stock,sell,464864.67000000004,585.7294842,464278.94051580003,3000,154.95489
2020-12-23,stock,sell,215943.84,272.0892384,215671.7507616,4000,53.98596
2021-01-05,stock,sell,410223.36600000004,516.8814411600001,409706.48455884005,6300,65.11482000000001
2021-01-29,stock,buy,194354.15999999997,50.5320816,-194404.69208159996,2400,80.98089999999999
2021-01-29,stock,buy,195705.50999999998,50.88343259999999,-195756.3934326,3800,51.50145
2021-01-29,etf,buy,499581.88279999996,124.89547069999999,-499706.77827069996,218800,2.281
2021-02-01,stock,buy,176676.49999999997,45.93588999999999,-176722.43588999996,500,353.35299999999995
2021-02-02,etf,sell,175162.662,43.7906655,175118.8713345,76500,2.292
2021-02-02,stock,buy,198398.19999999998,51.58353199999999,-198449.78353199997,2500,79.35928
2021-02-04,etf,sell,198930.37050000002,49.732592625,198880.63790737503,85500,2.329
2021-02-04,stock,buy,195194.99999999997,50.75069999999999,-195245.75069999998,2500,78.07799999999999
2021-02-04,etf,buy,3498.4949999999994,5.0,-3503.4949999999994,1500,2.33
2021-02-25,stock,sell,644339.016,811.86716016,643527.14883984,7400,87.07284
2021-02-25,etf,buy,243545.30199999997,60.88632549999999,-243606.18832549997,101800,2.39
2021-02-26,stock,buy,193993.8,50.438387999999996,-194044.238388,600,323.323
2021-02-26,stock,buy,198448.24999999997,51.59654499999999,-198499.84654499998,6500,30.530499999999996
2021-02-26,etf,buy,7450.643199999999,5.0,-7455.643199999999,3200,2.326
2021-03-10,etf,sell,198769.032,49.692258,198719.339742,83600,2.38
2021-03-10,stock,buy,195802.607,50.90867782,-195853.51567782,4300,45.535489999999996
2021-03-10,etf,buy,2850.4476,5.0,-2855.4476,1200,2.373
2021-03-12,etf,sell,198740.5605,49.685140125,198690.875359875,81700,2.435
2021-03-12,stock,buy,199338.13899999997,51.82791614,-199389.96691613997,4700,42.412369999999996
2021-03-16,etf,sell,188577.8334,47.14445835,188530.68894165,77300,2.442
2021-03-16,stock,buy,191291.09999999998,49.735685999999994,-191340.83568599998,5000,38.258219999999994
2021-04-02,stock,sell,187921.89,236.78158140000005,187685.10841860002,6500,28.911060000000003
2021-04-02,etf,buy,183962.97919999997,45.990744799999995,-184008.96994479996,73600,2.497
2021-04-13,etf,sell,188007.0048,47.0017512,187960.0030488,73600,2.557
2021-04-13,stock,buy,191591.39999999997,49.81376399999999,-191641.21376399996,2900,66.06599999999999
2021-04-14,stock,sell,381175.44299999997,480.28105818,380695.16194182,1100,346.52313
2021-04-15,stock,buy,194324.12999999995,50.52427379999998,-194374.65427379994,3000,64.77470999999998
2021-04-16,stock,buy,186641.455,48.5267783,-186689.9817783,8900,20.97095
2021-04-19,stock,sell,643004.3520000001,810.18548352,642194.16651648,17800,36.12384
2021-04-19,etf,buy,638155.5179999999,159.53887949999998,-638315.0568794999,247100,2.58
2021-05-06,etf,sell,198820.98,49.705245000000005,198771.27475500002,77500,2.568
2021-05-06,stock,buy,188588.39999999997,49.03298399999999,-188637.43298399996,1200,157.15699999999998
2021-05-06,etf,buy,10017.407399999998,5.0,-10022.407399999998,3900,2.566
2021-05-10,etf,sell,198607.5936,49.6518984,198557.94170159998,76700,2.592
2021-05-10,stock,buy,187322.13499999998,48.703755099999995,-187370.83875509998,1300,144.09394999999998
2021-05-10,etf,buy,11126.615499999998,5.0,-11131.615499999998,4300,2.585
2021-05-12,stock,sell,205917.876,259.45652376000004,205658.41947624,8900,23.13684
2021-05-12,etf,buy,205650.5451,51.412636275,-205701.95773627498,81300,2.527
2021-05-14,etf,sell,198710.09099999996,49.67752274999999,198660.41347724997,79500,2.502
2021-05-14,stock,buy,199279.08,51.8125608,-199330.89256079998,7200,27.677649999999996
2021-05-18,stock,sell,393549.057,495.87181182,393053.18518817995,5900,66.70322999999999
2021-05-18,etf,buy,392321.92999999993,98.08048249999999,-392420.01048249996,154000,2.545
