ts_code,name,entry_date,exit_date,levels,adj_entry,adj_exit,n_ca_changes,change_dates,change_ratios,ca_any,multi_level_cross
300750.SZ,宁德时代,2020-03-02,2020-04-15,3,1.0019,1.0019,0,,,False,False
601318.SH,中国平安,2020-03-02,2020-04-17,3,2.4056,2.4056,0,,,False,False
000725.SZ,京东方A,2020-03-17,2020-05-11,2,4.8592,4.8592,0,,,False,False
002714.SZ,牧原股份,2020-05-12,2020-06-18,1,7.5891,12.9598,1,2020-06-04,2020-06-04:1.707686,True,False
000063.SZ,中兴通讯,2020-05-26,2020-06-18,1,15.7875,15.7875,0,,,False,False
002415.SZ,海康威视,2020-05-26,2020-06-18,1,20.5233,21.0418,1,2020-05-29,2020-05-29:1.025264,True,False
600030.SH,中信证券,2020-09-08,2020-10-12,1,5.5686,5.5686,0,,,False,False
002456.SZ,欧菲光,2020-09-02,2020-10-28,4,20.4314,20.4314,0,,,False,False
300136.SZ,信维通信,2020-10-13,2020-11-09,2,13.0631,13.0631,0,,,False,False
600745.SH,*ST闻泰,2020-09-09,2020-12-07,1,2.1312,2.1312,0,,,False,False
601012.SH,隆基绿能,2020-11-16,2020-12-09,2,9.755,9.755,0,,,False,False
300122.SZ,智飞生物,2020-11-12,2020-12-21,2,4.2129,4.2129,0,,,False,False
002475.SZ,立讯精密,2020-12-15,2020-12-23,1,33.7293,33.7293,0,,,False,False
000651.SZ,格力电器,2020-12-10,2021-01-05,2,161.4689,161.4689,0,,,False,False
601318.SH,中国平安,2021-01-29,2021-02-25,3,2.474,2.474,0,,,False,False
300059.SZ,东方财富,2021-02-26,2021-04-02,1,46.478,46.478,0,,,False,False
300750.SZ,宁德时代,2021-02-01,2021-04-14,2,1.003,1.003,0,,,False,False
002475.SZ,立讯精密,2021-01-29,2021-04-19,4,33.729,33.729,0,,,False,False
601166.SH,兴业银行,2021-04-16,2021-05-12,1,4.313,4.313,0,,,False,False
002352.SZ,顺丰控股,2021-04-13,2021-05-18,2,3.476,3.494,1,2021-04-20,2021-04-20:1.005178,True,True
600031.SH,三一重工,2021-05-14,2021-06-01,1,48.24,48.24,0,,,False,False
002594.SZ,比亚迪,2021-05-06,2021-06-08,2,1.02,1.02,0,,,False,False
002340.SZ,格林美,2021-06-08,2021-07-06,3,23.868,23.895,1,2021-06-18,2021-06-18:1.001131,True,True
000661.SZ,长春高新,2021-05-25,2021-07-19,3,7.445,7.445,0,,,False,False
600031.SH,三一重工,2021-06-15,2021-08-03,3,48.24,49.293,1,2021-06-16,2021-06-16:1.021828,True,True
002241.SZ,歌尔股份,2021-07-23,2021-08-05,1,23.1,23.1,0,,,False,False
002460.SZ,赣锋锂业,2021-08-17,2021-08-30,1,9.589,9.589,0,,,False,False
300750.SZ,宁德时代,2021-08-17,2021-09-14,1,1.004,1.004,0,,,False,False
000858.SZ,五粮液,2021-07-09,2021-09-27,5,17.725,17.725,0,,,False,False
600111.SH,北方稀土,2021-09-30,2021-10-25,1,19.695,19.695,0,,,False,False
002466.SZ,天齐锂业,2021-09-23,2021-11-09,2,7.754,7.754,0,,,False,False
601919.SH,中远海控,2021-09-29,2021-11-30,2,1.356,1.356,0,,,False,False
600030.SH,中信证券,2021-11-17,2021-12-06,1,5.661,5.661,0,,,False,False
000651.SZ,格力电器,2021-10-28,2021-12-09,2,171.831,171.831,0,,,False,False
601012.SH,隆基绿能,2021-12-02,2022-03-01,4,13.688,13.688,0,,,False,False
002594.SZ,比亚迪,2021-12-17,2022-05-05,4,1.02,1.02,0,,,False,False
000858.SZ,五粮液,2022-03-04,2022-05-30,2,17.725,17.725,0,,,False,False
300750.SZ,宁德时代,2021-12-21,2022-06-02,3,1.004,1.004,0,,,False,False
002415.SZ,海康威视,2022-05-09,2022-06-06,3,21.307,21.915,2,2022-05-26;2022-05-30,2022-05-26:1.028563;2022-05-30:0.999973,True,True
002241.SZ,歌尔股份,2022-06-24,2022-08-05,1,23.227,23.227,0,,,False,False
