round_id,ts_code,name,direction,date,raw_price,adj_factor,adj_price,shares,amount,commission,transfer_fee,stamp,total_fee,level,action
601318.SH|2020-03-02,601318.SH,中国平安,买入,2020-03-02,78.398,2.4056,188.5942,2500,195995.0,49.0,1.96,0.0,50.96,1.0,INITIAL_ENTRY
300750.SZ|2020-03-02,300750.SZ,宁德时代,买入,2020-03-02,138.939,1.0019,139.203,1400,194514.6,48.63,1.95,0.0,50.57,1.0,INITIAL_ENTRY
300750.SZ|2020-03-02,300750.SZ,宁德时代,买入,2020-03-10,133.744,1.0019,133.9981,1400,187241.6,46.81,1.87,0.0,48.68,2.0,ADD_POSITION
601318.SH|2020-03-02,601318.SH,中国平安,买入,2020-03-13,72.212,2.4056,173.7132,2700,194972.4,48.74,1.95,0.0,50.69,2.0,ADD_POSITION
601318.SH|2020-03-02,601318.SH,中国平安,买入,2020-03-17,71.722,2.4056,172.5344,2700,193649.4,48.41,1.94,0.0,50.35,3.0,ADD_POSITION
300750.SZ|2020-03-02,300750.SZ,宁德时代,买入,2020-03-17,121.121,1.0019,121.3511,200,24224.2,6.06,0.24,0.0,6.3,3.0,ADD_POSITION
000725.SZ|2020-03-17,000725.SZ,京东方A,买入,2020-03-17,4.194,4.8592,20.3795,300,1258.2,5.0,0.01,0.0,5.01,1.0,INITIAL_ENTRY
300750.SZ|2020-03-02,300750.SZ,宁德时代,卖出,2020-04-15,129.67,1.0019,129.9164,3000,389010.0,97.25,3.89,389.01,490.15,3.0,TAKE_PROFIT_DYN
601318.SH|2020-03-02,601318.SH,中国平安,卖出,2020-04-17,71.868,2.4056,172.8857,7900,567757.2,141.94,5.68,567.76,715.37,3.0,TAKE_PROFIT_DYN
000725.SZ|2020-03-17,000725.SZ,京东方A,买入,2020-04-29,3.514,4.8592,17.0752,56900,199946.6,49.99,2.0,0.0,51.99,2.0,ADD_POSITION
000725.SZ|2020-03-17,000725.SZ,京东方A,卖出,2020-05-11,4.006,4.8592,19.466,57200,229143.2,57.29,2.29,229.14,288.72,2.0,TAKE_PROFIT_DYN
002714.SZ|2020-05-12,002714.SZ,牧原股份,买入,2020-05-12,115.615,7.5891,877.4138,1700,196545.5,49.14,1.97,0.0,51.1,1.0,INITIAL_ENTRY
000063.SZ|2020-05-26,000063.SZ,中兴通讯,买入,2020-05-26,37.347,15.7875,589.6158,5300,197939.1,49.48,1.98,0.0,51.46,1.0,INITIAL_ENTRY
002415.SZ|2020-05-26,002415.SZ,海康威视,买入,2020-05-26,28.038,20.5233,575.4323,7100,199069.8,49.77,1.99,0.0,51.76,1.0,INITIAL_ENTRY
002714.SZ|2020-05-12,002714.SZ,牧原股份,卖出,2020-06-18,72.547,12.9598,940.1946,1700,123329.9,30.83,1.23,123.33,155.4,1.0,TAKE_PROFIT_DYN
000063.SZ|2020-05-26,000063.SZ,中兴通讯,卖出,2020-06-18,40.529,15.7875,639.8516,5300,214803.7,53.7,2.15,214.8,270.65,1.0,TAKE_PROFIT_DYN
002415.SZ|2020-05-26,002415.SZ,海康威视,卖出,2020-06-18,30.09,21.0418,633.1478,7100,213639.0,53.41,2.14,213.64,269.19,1.0,TAKE_PROFIT_DYN
002456.SZ|2020-09-02,002456.SZ,欧菲光,买入,2020-09-02,16.987,20.4314,347.0682,11700,198747.9,49.69,1.99,0.0,51.67,1.0,INITIAL_ENTRY
002456.SZ|2020-09-02,002456.SZ,欧菲光,买入,2020-09-04,16.196,20.4314,330.907,12300,199210.8,49.8,1.99,0.0,51.79,2.0,ADD_POSITION
002456.SZ|2020-09-02,002456.SZ,欧菲光,买入,2020-09-08,15.726,20.4314,321.3042,12700,199720.2,49.93,2.0,0.0,51.93,3.0,ADD_POSITION
600030.SH|2020-09-08,600030.SH,中信证券,买入,2020-09-08,29.98,5.5686,166.9466,6600,197868.0,49.47,1.98,0.0,51.45,1.0,INITIAL_ENTRY
600745.SH|2020-09-09,600745.SH,*ST闻泰,买入,2020-09-09,123.123,2.1312,262.3997,1600,196996.8,49.25,1.97,0.0,51.22,1.0,INITIAL_ENTRY
002456.SZ|2020-09-02,002456.SZ,欧菲光,买入,2020-09-10,14.835,20.4314,303.0998,6400,94944.0,23.74,0.95,0.0,24.69,4.0,ADD_POSITION
600030.SH|2020-09-08,600030.SH,中信证券,卖出,2020-10-12,31.029,5.5686,172.7881,6600,204791.4,51.2,2.05,204.79,258.04,1.0,TAKE_PROFIT_DYN
300136.SZ|2020-10-13,300136.SZ,信维通信,买入,2020-10-13,51.952,13.0631,678.6542,3800,197417.6,49.35,1.97,0.0,51.33,1.0,INITIAL_ENTRY
300136.SZ|2020-10-13,300136.SZ,信维通信,买入,2020-10-16,49.67,13.0631,648.8442,100,4967.0,5.0,0.05,0.0,5.05,2.0,ADD_POSITION
002456.SZ|2020-09-02,002456.SZ,欧菲光,卖出,2020-10-28,15.974,20.4314,326.3712,43100,688479.4,172.12,6.88,688.48,867.48,4.0,TAKE_PROFIT_DYN
300136.SZ|2020-10-13,300136.SZ,信维通信,卖出,2020-11-09,52.767,13.0631,689.3006,3900,205791.3,51.45,2.06,205.79,259.3,2.0,TAKE_PROFIT_DYN
300122.SZ|2020-11-12,300122.SZ,智飞生物,买入,2020-11-12,134.925,4.2129,568.4255,1400,188895.0,47.22,1.89,0.0,49.11,1.0,INITIAL_ENTRY
601012.SH|2020-11-16,601012.SH,隆基绿能,买入,2020-11-16,66.757,9.755,651.2145,2900,193595.3,48.4,1.94,0.0,50.33,1.0,INITIAL_ENTRY
300122.SZ|2020-11-12,300122.SZ,智飞生物,买入,2020-11-18,120.52,4.2129,507.7387,1600,192832.0,48.21,1.93,0.0,50.14,2.0,ADD_POSITION
601012.SH|2020-11-16,601012.SH,隆基绿能,买入,2020-11-18,64.965,9.755,633.7336,3000,194895.0,48.72,1.95,0.0,50.67,2.0,ADD_POSITION
600745.SH|2020-09-09,600745.SH,*ST闻泰,卖出,2020-12-07,115.474,2.1312,246.0982,1600,184758.4,46.19,1.85,184.76,232.8,1.0,TAKE_PROFIT_DYN
601012.SH|2020-11-16,601012.SH,隆基绿能,卖出,2020-12-09,73.576,9.755,717.7339,5900,434098.4,108.52,4.34,434.1,546.96,2.0,TAKE_PROFIT_DYN
000651.SZ|2020-12-10,000651.SZ,格力电器,买入,2020-12-10,63.073,161.4689,10184.3279,3100,195526.3,48.88,1.96,0.0,50.84,1.0,INITIAL_ENTRY
002475.SZ|2020-12-15,002475.SZ,立讯精密,买入,2020-12-15,49.67,33.7293,1675.3343,4000,198680.0,49.67,1.99,0.0,51.66,1.0,INITIAL_ENTRY
000651.SZ|2020-12-10,000651.SZ,格力电器,买入,2020-12-16,61.061,161.4689,9859.4525,3200,195395.2,48.85,1.95,0.0,50.8,2.0,ADD_POSITION
300122.SZ|2020-11-12,300122.SZ,智飞生物,卖出,2020-12-21,154.955,4.2129,652.8099,3000,464865.0,116.22,4.65,464.87,585.73,2.0,TAKE_PROFIT_DYN
002475.SZ|2020-12-15,002475.SZ,立讯精密,卖出,2020-12-23,53.986,33.7293,1820.91,4000,215944.0,53.99,2.16,215.94,272.09,1.0,TAKE_PROFIT_DYN
000651.SZ|2020-12-10,000651.SZ,格力电器,卖出,2021-01-05,65.115,161.4689,10514.0474,6300,410224.5,102.56,4.1,410.22,516.88,2.0,TAKE_PROFIT_DYN
601318.SH|2021-01-29,601318.SH,中国平安,买入,2021-01-29,80.981,2.474,200.347,2400,194354.4,48.59,1.94,0.0,50.53,1.0,INITIAL_ENTRY
002475.SZ|2021-01-29,002475.SZ,立讯精密,买入,2021-01-29,51.501,33.729,1737.0772,3800,195703.8,48.93,1.96,0.0,50.88,1.0,INITIAL_ENTRY
300750.SZ|2021-02-01,300750.SZ,宁德时代,买入,2021-02-01,353.353,1.003,354.4131,500,176676.5,44.17,1.77,0.0,45.94,1.0,INITIAL_ENTRY
601318.SH|2021-01-29,601318.SH,中国平安,买入,2021-02-02,79.359,2.474,196.3342,2500,198397.5,49.6,1.98,0.0,51.58,2.0,ADD_POSITION
601318.SH|2021-01-29,601318.SH,中国平安,买入,2021-02-04,78.078,2.474,193.165,2500,195195.0,48.8,1.95,0.0,50.75,3.0,ADD_POSITION
601318.SH|2021-01-29,601318.SH,中国平安,卖出,2021-02-25,87.073,2.474,215.4186,7400,644340.2,161.09,6.44,644.34,811.87,3.0,TAKE_PROFIT_DYN
300750.SZ|2021-02-01,300750.SZ,宁德时代,买入,2021-02-26,323.323,1.003,324.293,600,193993.8,48.5,1.94,0.0,50.44,2.0,ADD_POSITION
300059.SZ|2021-02-26,300059.SZ,东方财富,买入,2021-02-26,30.53,46.478,1418.9733,6500,198445.0,49.61,1.98,0.0,51.6,1.0,INITIAL_ENTRY
002475.SZ|2021-01-29,002475.SZ,立讯精密,买入,2021-03-10,45.535,33.729,1535.85,4300,195800.5,48.95,1.96,0.0,50.91,2.0,ADD_POSITION
002475.SZ|2021-01-29,002475.SZ,立讯精密,买入,2021-03-12,42.412,33.729,1430.5143,4700,199336.4,49.83,1.99,0.0,51.83,3.0,ADD_POSITION
002475.SZ|2021-01-29,002475.SZ,立讯精密,买入,2021-03-16,38.258,33.729,1290.4041,5000,191290.0,47.82,1.91,0.0,49.74,4.0,ADD_POSITION
300059.SZ|2021-02-26,300059.SZ,东方财富,卖出,2021-04-02,28.911,46.478,1343.7255,6500,187921.5,46.98,1.88,187.92,236.78,1.0,TAKE_PROFIT_DYN
002352.SZ|2021-04-13,002352.SZ,顺丰控股,买入,2021-04-13,66.066,3.476,229.6454,2900,191591.4,47.9,1.92,0.0,49.81,1.0,INITIAL_ENTRY
300750.SZ|2021-02-01,300750.SZ,宁德时代,卖出,2021-04-14,346.523,1.003,347.5626,1100,381175.3,95.29,3.81,381.18,480.28,2.0,TAKE_PROFIT_DYN
002352.SZ|2021-04-13,002352.SZ,顺丰控股,买入,2021-04-15,64.775,3.476,225.1579,3000,194325.0,48.58,1.94,0.0,50.52,2.0,ADD_POSITION
601166.SH|2021-04-16,601166.SH,兴业银行,买入,2021-04-16,20.971,4.313,90.4479,8900,186641.9,46.66,1.87,0.0,48.53,1.0,INITIAL_ENTRY
002475.SZ|2021-01-29,002475.SZ,立讯精密,卖出,2021-04-19,36.124,33.729,1218.4264,17800,643007.2,160.75,6.43,643.01,810.19,4.0,TAKE_PROFIT_DYN
002594.SZ|2021-05-06,002594.SZ,比亚迪,买入,2021-05-06,157.157,1.02,160.3001,1200,188588.4,47.15,1.89,0.0,49.03,1.0,INITIAL_ENTRY
002594.SZ|2021-05-06,002594.SZ,比亚迪,买入,2021-05-10,144.094,1.02,146.9759,1300,187322.2,46.83,1.87,0.0,48.7,2.0,ADD_POSITION
601166.SH|2021-04-16,601166.SH,兴业银行,卖出,2021-05-12,23.137,4.313,99.7899,8900,205919.3,51.48,2.06,205.92,259.46,1.0,TAKE_PROFIT_DYN
600031.SH|2021-05-14,600031.SH,三一重工,买入,2021-05-14,27.678,48.24,1335.1867,7200,199281.6,49.82,1.99,0.0,51.81,1.0,INITIAL_ENTRY
002352.SZ|2021-04-13,002352.SZ,顺丰控股,卖出,2021-05-18,66.703,3.494,233.0603,5900,393547.7,98.39,3.94,393.55,495.87,2.0,TAKE_PROFIT_DYN
000661.SZ|2021-05-25,000661.SZ,长春高新,买入,2021-05-25,424.644,7.445,3161.4746,400,169857.6,42.46,1.7,0.0,44.16,1.0,INITIAL_ENTRY
000661.SZ|2021-05-25,000661.SZ,长春高新,买入,2021-05-28,416.957,7.445,3104.2449,400,166782.8,41.7,1.67,0.0,43.36,2.0,ADD_POSITION
600031.SH|2021-05-14,600031.SH,三一重工,卖出,2021-06-01,31.588,48.24,1523.8051,7200,227433.6,56.86,2.27,227.43,286.57,1.0,TAKE_PROFIT_DYN
002340.SZ|2021-06-08,002340.SZ,格林美,买入,2021-06-08,9.76,23.868,232.9517,20400,199104.0,49.78,1.99,0.0,51.77,1.0,INITIAL_ENTRY
002594.SZ|2021-05-06,002594.SZ,比亚迪,卖出,2021-06-08,203.287,1.02,207.3527,2500,508217.5,127.05,5.08,508.22,640.35,2.0,TAKE_PROFIT_DYN
002340.SZ|2021-06-08,002340.SZ,格林美,买入,2021-06-10,9.489,23.868,226.4835,21000,199269.0,49.82,1.99,0.0,51.81,2.0,ADD_POSITION
600031.SH|2021-06-15,600031.SH,三一重工,买入,2021-06-15,28.288,48.24,1364.6131,7000,198016.0,49.5,1.98,0.0,51.48,1.0,INITIAL_ENTRY
002340.SZ|2021-06-08,002340.SZ,格林美,买入,2021-06-16,9.189,23.868,219.3231,21700,199401.3,49.85,1.99,0.0,51.84,3.0,ADD_POSITION
600031.SH|2021-06-15,600031.SH,三一重工,买入,2021-06-17,26.947,49.293,1328.2985,7400,199407.8,49.85,1.99,0.0,51.85,2.0,ADD_POSITION
