date,threshold_pct,pstar_raw,eff_threshold,high_raw,gap_yuan,gap_pct,would_exit
2023-04-18,0.1,70.583,70.52,70.2,0.32,0.454,False
2023-04-18,0.2,70.583,70.45,70.2,0.25,0.355,False
2023-04-18,0.3,70.583,70.38,70.2,0.18,0.256,False
2023-04-18,0.5,70.583,70.23,70.2,0.03,0.043,False
2023-04-18,0.75,70.583,70.06,70.2,-0.14,-0.2,True
2023-04-18,1.0,70.583,69.88,70.2,-0.32,-0.458,True
2023-04-18,1.5,70.583,69.53,70.2,-0.67,-0.964,True
2023-04-18,2.0,70.583,69.18,70.2,-1.02,-1.474,True
2023-05-15,0.1,71.038,70.97,70.75,0.22,0.31,False
2023-05-15,0.2,71.038,70.9,70.75,0.15,0.212,False
2023-05-15,0.3,71.038,70.83,70.75,0.08,0.113,False
2023-05-15,0.5,71.038,70.69,70.75,-0.06,-0.085,True
2023-05-15,0.75,71.038,70.51,70.75,-0.24,-0.34,True
2023-05-15,1.0,71.038,70.33,70.75,-0.42,-0.597,True
2023-05-15,1.5,71.038,69.98,70.75,-0.77,-1.1,True
2023-05-15,2.0,71.038,69.62,70.75,-1.13,-1.623,True
2023-08-04,0.1,61.024,60.97,60.88,0.09,0.148,False
2023-08-04,0.2,61.024,60.91,60.88,0.03,0.049,False
2023-08-04,0.3,61.024,60.85,60.88,-0.03,-0.049,True
2023-08-04,0.5,61.024,60.72,60.88,-0.16,-0.264,True
2023-08-04,0.75,61.024,60.57,60.88,-0.31,-0.512,True
2023-08-04,1.0,61.024,60.42,60.88,-0.46,-0.761,True
2023-08-04,1.5,61.024,60.11,60.88,-0.77,-1.281,True
2023-08-04,2.0,61.024,59.81,60.88,-1.07,-1.789,True
