ts_code,date,entry_date,level,avg_cost,pstar_raw,threshold,high_raw,gap_yuan,gap_pct,hold_days,float_pnl_day,early_exit_proceeds_per_share,trigger_1d,trigger_3d,trigger_5d,trigger_10d,trigger_20d,first_trigger_day,first_trigger_n,trigger_close_ret,max_high_fwd20,min_low_fwd20,max_high_ret_fwd20,min_low_ret_fwd20,close_ret_5d,close_ret_10d,close_ret_20d,drop5_5d,drop5_10d,drop10_20d,final_trade_ret,final_exit_date
601318.SH,2020-03-05,2020-03-02,1,78.4187,83.6663,83.67,82.76,0.91,0.010876,3,10078.24,83.5863,0,0,0,0,0,,,,81.92,66.0,0.0446,-0.1584,-0.0226,-0.1353,-0.1116,0,1,1,-3.03,2020-04-17
601318.SH,2020-04-10,2020-03-02,3,74.0214,73.7577,73.76,72.43,1.33,0.018031,28,-23948.03,73.6862,0,0,1,1,1,2020-04-17,5,-0.0219,73.32,70.0,-0.0095,-0.0543,-0.0219,,,0,0,0,-3.03,2020-04-17
601318.SH,2020-04-14,2020-03-02,3,74.0214,72.1458,72.15,71.17,0.98,0.013583,30,-23711.03,72.0779,0,1,1,1,1,2020-04-17,3,-0.0219,73.32,70.16,-0.0095,-0.0522,,,,0,0,0,-3.03,2020-04-17
300750.SZ,2020-04-14,2020-03-02,3,135.3617,128.1363,128.14,126.16,1.98,0.015452,30,-27605.13,128.0119,1,1,1,1,1,2020-04-15,1,-0.0544,131.89,127.23,-0.0256,-0.0601,,,,0,0,0,-4.33,2020-04-15
601318.SH,2020-04-15,2020-03-02,3,74.0214,71.8049,71.81,71.38,0.43,0.005988,31,-25054.03,71.7382,0,1,1,1,1,2020-04-17,2,-0.0219,73.32,70.16,-0.0095,-0.0522,,,,0,0,0,-3.03,2020-04-17
601318.SH,2020-04-16,2020-03-02,3,74.0214,71.9626,71.97,70.71,1.26,0.017507,32,-28767.03,71.898,1,1,1,1,1,2020-04-17,1,-0.0219,73.32,70.79,-0.0095,-0.0437,,,,0,0,0,-3.03,2020-04-17
002714.SZ,2020-06-02,2020-05-12,1,115.6456,125.532,125.54,124.99,0.55,0.004381,15,10207.55,125.4145,1,1,1,1,1,2020-06-03,1,0.0402,124.5,119.51,0.0766,0.0334,,,,0,0,0,-37.35,2020-06-18
002714.SZ,2020-06-03,2020-05-12,1,115.6456,124.9847,124.99,124.5,0.49,0.00392,16,7895.55,124.865,0,0,0,0,1,2020-06-18,11,-0.3765,73.18,65.18,-0.3672,-0.4364,-0.398,-0.3947,,1,1,0,-37.35,2020-06-18
002714.SZ,2020-06-04,2020-05-12,1,115.6456,72.7088,72.71,71.66,1.05,0.014441,17,-74775.45,72.6373,0,0,0,1,1,2020-06-18,10,-0.3765,73.18,65.18,-0.3672,-0.4364,-0.4284,-0.3765,,1,1,0,-37.35,2020-06-18
002714.SZ,2020-06-05,2020-05-12,1,115.6456,72.546,72.55,71.68,0.87,0.011992,18,-78991.45,72.4774,0,0,0,1,1,2020-06-18,9,-0.3765,73.18,65.18,-0.3672,-0.4364,-0.4232,,,1,0,0,-37.35,2020-06-18
002714.SZ,2020-06-10,2020-05-12,1,115.6456,72.7289,72.73,71.32,1.41,0.019387,21,-78243.45,72.6573,0,0,0,1,1,2020-06-18,6,-0.3765,73.18,65.18,-0.3672,-0.4364,-0.3947,,,1,0,0,-37.35,2020-06-18
000063.SZ,2020-06-16,2020-05-26,1,37.357,40.5577,40.56,40.15,0.41,0.010108,15,14802.79,40.5194,0,1,1,1,1,2020-06-18,2,0.1345,43.52,39.27,0.165,0.0512,,,,0,0,0,8.36,2020-06-18
000063.SZ,2020-06-17,2020-05-26,1,37.357,40.4599,40.46,40.17,0.29,0.007168,16,12682.79,40.4195,1,1,1,1,1,2020-06-18,1,0.1345,43.52,39.35,0.165,0.0534,,,,0,0,0,8.36,2020-06-18
002415.SZ,2020-06-17,2020-05-26,1,28.0453,30.004,30.01,29.5,0.51,0.016994,16,10328.37,29.98,0,0,0,1,1,2020-07-01,8,0.1453,32.2,29.22,0.1481,0.0419,0.0793,,,0,0,0,7.16,2020-06-18
600030.SH,2020-10-09,2020-09-08,1,29.9877,31.1647,31.17,30.63,0.54,0.017324,17,4040.88,31.1388,1,1,1,1,1,2020-10-12,1,0.0578,31.85,30.79,0.0621,0.0268,,,,0,0,0,3.34,2020-10-12
002456.SZ,2020-10-12,2020-09-02,4,16.0742,15.6728,15.68,15.52,0.16,0.010204,22,-23888.01,15.6643,0,0,0,0,1,2020-10-28,12,0.0109,16.38,14.91,0.019,-0.0724,-0.0531,-0.05,,1,1,0,-0.75,2020-10-28
002456.SZ,2020-10-13,2020-09-02,4,16.0742,15.6265,15.63,15.53,0.1,0.006398,23,-31646.01,15.6144,0,0,0,0,1,2020-10-28,11,0.0109,16.38,14.91,0.019,-0.0724,-0.0295,-0.0388,,0,0,0,-0.75,2020-10-28
600745.SH,2020-10-13,2020-09-09,1,123.155,128.3816,128.39,126.0,2.39,0.018615,18,-4536.02,128.2616,0,0,0,0,0,,,,119.0,92.38,-0.0337,-0.2499,-0.1345,-0.1961,-0.0761,1,1,0,-6.35,2020-12-07
002456.SZ,2020-10-15,2020-09-02,4,16.0742,15.6582,15.66,15.41,0.25,0.015964,25,-40266.01,15.6443,0,0,0,1,1,2020-10-28,9,0.0109,16.38,14.93,0.019,-0.0712,-0.0419,,,0,0,0,-0.75,2020-10-28
002456.SZ,2020-10-19,2020-09-02,4,16.0742,15.6702,15.68,15.48,0.2,0.012755,27,-36818.01,15.6643,0,0,0,1,1,2020-10-28,7,0.0109,16.38,14.99,0.019,-0.0674,-0.05,,,1,0,0,-0.75,2020-10-28
002456.SZ,2020-10-20,2020-09-02,4,16.0742,15.7035,15.71,15.62,0.09,0.005729,28,-20440.01,15.6943,0,0,0,1,1,2020-10-28,6,0.0109,16.38,14.99,0.019,-0.0674,-0.0388,,,0,0,0,-0.75,2020-10-28
002456.SZ,2020-10-21,2020-09-02,4,16.0742,15.8211,15.83,15.61,0.22,0.013898,29,-32077.01,15.8142,0,0,1,1,1,2020-10-28,5,0.0109,16.38,14.99,0.019,-0.0674,0.0109,,,0,0,0,-0.75,2020-10-28
002456.SZ,2020-10-23,2020-09-02,4,16.0742,15.9136,15.92,15.65,0.27,0.01696,31,-34663.01,15.9041,0,1,1,1,1,2020-10-28,3,0.0109,16.38,14.99,0.019,-0.0674,,,,0,0,0,-0.75,2020-10-28
002456.SZ,2020-10-27,2020-09-02,4,16.0742,15.927,15.93,15.62,0.31,0.01946,33,-26905.01,15.9141,1,1,1,1,1,2020-10-28,1,0.0109,16.38,15.36,0.019,-0.0444,,,,0,0,0,-0.75,2020-10-28
600745.SH,2020-11-10,2020-09-09,1,123.155,119.1184,119.12,117.33,1.79,0.015027,38,-15000.02,119.0009,0,0,0,0,1,2020-12-07,19,-0.0972,116.28,99.72,-0.0558,-0.1903,-0.1419,-0.1412,,1,1,0,-6.35,2020-12-07
300122.SZ,2020-12-07,2020-11-12,2,127.2755,145.9934,146.0,145.8,0.2,0.00137,17,37963.4,145.854,0,0,0,0,1,2020-12-22,11,0.1899,160.87,132.3,0.264,0.0395,0.0819,0.2227,,0,0,0,21.59,2020-12-21
300122.SZ,2020-12-08,2020-11-12,2,127.2755,144.265,144.27,143.38,0.89,0.006169,18,36313.4,144.1257,0,0,0,1,1,2020-12-22,10,0.1899,160.87,132.3,0.264,0.0395,0.1026,0.1899,,0,0,0,21.59,2020-12-21
601012.SH,2020-12-08,2020-11-16,2,65.8627,73.7843,73.79,73.48,0.31,0.004201,16,39395.89,73.7162,0,0,1,1,1,2020-12-14,4,0.1504,77.49,71.75,0.1765,0.0894,,,,0,0,0,11.57,2020-12-09
002475.SZ,2020-12-16,2020-12-15,1,49.6825,53.7264,53.73,52.98,0.75,0.013959,1,10589.86,53.6763,0,0,1,1,1,2020-12-23,5,0.1165,55.5,50.7,0.1171,0.0205,0.1165,,,0,0,0,8.52,2020-12-23
002475.SZ,2020-12-17,2020-12-15,1,49.6825,53.765,53.77,53.16,0.61,0.011345,2,10829.86,53.7162,0,0,1,1,1,2020-12-23,4,0.1165,55.5,50.7,0.1171,0.0205,,,,0,0,0,8.52,2020-12-23
300122.SZ,2020-12-18,2020-11-12,2,127.2755,152.6566,152.66,150.4,2.26,0.014804,26,63673.4,152.5073,0,1,1,1,1,2020-12-22,2,0.1899,160.87,149.0,0.264,0.1707,,,,0,0,0,21.59,2020-12-21
002475.SZ,2020-12-21,2020-12-15,1,49.6825,53.7861,53.79,53.0,0.79,0.014687,4,12949.86,53.7362,0,1,1,1,1,2020-12-23,2,0.1165,55.5,51.66,0.1171,0.0398,,,,0,0,0,8.52,2020-12-23
002475.SZ,2020-12-22,2020-12-15,1,49.6825,53.961,53.97,53.72,0.25,0.004632,5,11229.86,53.916,1,1,1,1,1,2020-12-23,1,0.1165,55.5,53.21,0.1171,0.071,,,,0,0,0,8.52,2020-12-23
300750.SZ,2021-02-09,2021-02-01,1,353.4449,416.8165,416.82,415.0,1.82,0.004366,6,28377.56,416.4032,0,0,0,0,0,,,,422.0,289.0,0.194,-0.1823,0.0653,-0.0109,-0.0861,0,0,0,2.68,2021-04-14
300750.SZ,2021-02-10,2021-02-01,1,353.4449,421.3686,421.37,416.6,4.77,0.01132,7,29607.56,420.9486,0,0,0,0,0,,,,422.0,289.0,0.194,-0.1823,-0.0182,-0.0108,-0.0578,0,0,0,2.68,2021-04-14
300750.SZ,2021-02-18,2021-02-01,1,353.4449,426.0815,426.09,422.0,4.09,0.009599,8,21777.56,425.6639,0,0,0,0,0,,,,396.0,289.0,0.1204,-0.1823,-0.0462,-0.0789,-0.0499,0,1,0,2.68,2021-04-14
601318.SH,2021-02-24,2021-01-29,3,79.473,87.29,87.3,85.76,1.54,0.01764,13,31871.77,87.2127,1,1,1,1,1,2021-02-25,1,0.0965,88.28,83.35,0.1108,0.0488,,,,0,0,0,9.42,2021-02-25
002352.SZ,2021-05-17,2021-04-13,2,65.4264,66.6181,66.62,65.95,0.67,0.010057,21,-1335.87,66.5534,1,1,1,1,1,2021-05-18,1,0.0531,69.7,64.73,0.0653,-0.0106,,,,0,0,0,1.82,2021-05-18
002594.SZ,2021-05-20,2021-05-06,2,150.4033,181.1786,181.18,177.56,3.62,0.01998,10,56341.73,180.9988,0,0,0,0,1,2021-06-10,15,0.4236,216.05,169.98,0.4365,0.1302,0.1798,0.2227,,0,0,0,34.99,2021-06-08
002594.SZ,2021-05-21,2021-05-06,2,150.4033,181.56,181.56,177.99,3.57,0.019663,11,56991.73,181.3784,0,0,0,0,1,2021-06-10,14,0.4236,216.05,169.98,0.4365,0.1302,0.208,0.2593,,0,0,0,34.99,2021-06-08
002594.SZ,2021-05-26,2021-05-06,2,150.4033,184.9573,184.96,184.58,0.38,0.002054,14,64416.73,184.775,0,0,0,0,1,2021-06-10,11,0.4236,216.05,170.18,0.4365,0.1315,0.24,0.3431,,0,0,0,34.99,2021-06-08
002594.SZ,2021-05-28,2021-05-06,2,150.4033,188.6283,188.63,185.0,3.63,0.019244,16,78191.73,188.4414,0,0,0,1,1,2021-06-10,9,0.4236,216.05,170.18,0.4365,0.1315,0.2593,,,0,0,0,34.99,2021-06-08
002594.SZ,2021-06-01,2021-05-06,2,150.4033,193.5606,193.57,190.9,2.67,0.013793,18,97641.73,193.3764,0,0,0,1,1,2021-06-10,7,0.4236,216.05,180.18,0.4365,0.198,0.3484,,,0,0,0,34.99,2021-06-08
