round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days
0,601318.SH,,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,7900,-24426.566658719792,-4.18,31
1,300750.SZ,,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,3000,-17564.68204523984,-4.33,31
2,000725.SZ,,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,2,57200,25337.108836330066,12.59,35
3,002714.SZ,,2020-05-12,2020-06-02,TAKE_PROFIT_DYN,1,1700,14201.330396760051,7.22,15
4,000063.SZ,,2020-05-26,2020-06-17,TAKE_PROFIT_DYN,1,5300,14427.904402080021,7.29,16
5,002415.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,7100,12122.145883260004,6.09,17
6,600703.SH,,2020-06-16,2020-07-06,TAKE_PROFIT_DYN,1,8700,28555.66562094001,14.4,12
7,002456.SZ,,2020-09-02,2020-10-12,TAKE_PROFIT_DYN,4,47200,-22749.21153396007,-3.02,22
8,600030.SH,,2020-09-08,2020-10-12,TAKE_PROFIT_DYN,1,6600,5560.236970200058,2.81,18
9,300136.SZ,,2020-10-13,2020-11-09,TAKE_PROFIT_DYN,2,7800,10742.060904119979,2.71,19
10,000661.SZ,,2020-10-26,2020-11-30,TAKE_PROFIT_DYN,1,400,19106.24062607999,14.68,25
11,600745.SH,,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,3,5200,14039.174742840114,2.4,57
12,300122.SZ,,2020-11-12,2020-12-07,TAKE_PROFIT_DYN,2,3000,50813.97005124,13.31,17
13,002475.SZ,,2020-12-15,2020-12-22,TAKE_PROFIT_DYN,1,4000,14507.125682400045,7.3,5
14,000651.SZ,,2020-12-10,2021-01-05,TAKE_PROFIT_DYN,2,6300,14597.563501079974,3.73,17
15,688981.SH,,2020-12-17,2021-01-11,TAKE_PROFIT_DYN,2,7300,60616.51696044003,15.36,16
16,300750.SZ,,2021-02-01,2021-02-09,TAKE_PROFIT_DYN,1,500,29136.529579500057,16.49,6
17,601318.SH,,2021-01-29,2021-02-25,TAKE_PROFIT_DYN,3,7400,49003.464294360136,8.33,14
18,300059.SZ,,2021-02-23,2021-04-02,TAKE_PROFIT_DYN,2,12400,-42172.103122199944,-10.63,28
19,300750.SZ,,2021-02-26,2021-04-14,TAKE_PROFIT_DYN,1,600,11530.370822400058,5.94,32
20,002475.SZ,,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,4,18000,-147049.87719599984,-18.61,50
21,601166.SH,,2021-04-16,2021-05-12,TAKE_PROFIT_DYN,1,9500,18067.144125600025,9.07,15
22,002352.SZ,,2021-04-13,2021-05-18,TAKE_PROFIT_DYN,2,6000,3079.9979621999664,0.78,22
