date,leg,action,gross,fee,net,shares,px
2020-03-02,stock,buy,195995.79999999996,50.958907999999994,-196046.75890799996,2500,78.39831999999998
2020-03-02,stock,buy,194514.31999999998,50.57372319999999,-194564.8937232,1400,138.9388
2020-03-10,stock,buy,187241.05399999997,48.682674039999995,-187289.73667403997,1400,133.74361
2020-03-13,stock,buy,194972.77799999996,50.69292227999999,-195023.47092227996,2700,72.21213999999999
2020-03-13,etf,buy,221898.47679999997,55.47461919999999,-221953.95141919996,121600,1.823
2020-03-17,etf,sell,198603.99719999998,49.650999299999995,198554.34620069998,112700,1.764
2020-03-17,stock,buy,193648.455,50.3485983,-193698.8035983,2700,71.72165
2020-03-17,etf,sell,15683.9004,5.0,15678.9004,8900,1.764
2020-03-17,stock,buy,24224.199999999997,6.298291999999999,-24230.498291999997,200,121.12099999999998
2020-03-17,stock,buy,1258.257,5.01258257,-1263.26958257,300,4.19419
2020-04-15,stock,sell,389010.6000000001,490.15335600000014,388520.44664400007,3000,129.67020000000002
2020-04-15,etf,buy,383558.3751999999,95.88959379999997,-383654.2647937999,203600,1.882
2020-04-17,stock,sell,567757.674,715.37466924,567042.29933076,7900,71.86806
2020-04-17,etf,buy,566900.7344,141.72518359999998,-567042.4595835999,296200,1.912
2020-04-29,etf,sell,198770.6304,49.6926576,198720.93774239998,103200,1.928
2020-04-29,stock,buy,199918.71899999995,51.97886693999999,-199970.69786693994,56900,3.5135099999999992
2020-05-11,stock,sell,229142.628,288.71971128,228853.90828872,57200,4.00599
2020-05-11,etf,buy,27495.467999999997,6.873867,-27502.341866999996,14000,1.962
2020-05-12,stock,buy,196546.34999999998,51.102050999999996,-196597.45205099997,1700,115.61549999999998
2020-05-12,etf,buy,3484.6811999999995,5.0,-3489.6811999999995,1800,1.934
2020-05-26,etf,sell,198798.2028,49.6995507,198748.5032493,99300,2.004
2020-05-26,stock,buy,197940.743,51.46459318,-197992.20759317998,5300,37.34731
2020-05-26,etf,sell,197997.4044,49.4993511,197947.9050489,98900,2.004
2020-05-26,stock,buy,199069.87099999998,51.75816645999999,-199121.62916645998,7100,28.03801
2020-05-29,etf,buy,3452.7492999999995,5.0,-3457.7492999999995,1700,2.029
2020-06-04,etf,buy,828.8279999999997,5.0,-833.8279999999997,400,2.07
2020-06-18,stock,sell,209661.92820000002,264.1740295320001,209397.75417046802,2890,72.54738
2020-06-18,stock,sell,214805.979,270.65553354,214535.32346646,5300,40.52943
2020-06-18,stock,sell,213638.14800000002,269.18406648000007,213368.96393352002,7100,30.08988
2020-06-18,etf,buy,637176.5399999999,159.29413499999998,-637335.8341349999,309000,2.06
2020-09-02,etf,sell,198735.4656,49.6838664,198685.7817336,85600,2.324
2020-09-02,stock,buy,198747.54899999994,51.674362739999985,-198799.22336273995,11700,16.986969999999996
2020-09-04,etf,sell,198980.81999999998,49.745205,198931.07479499996,86600,2.3
2020-09-04,stock,buy,199213.01399999997,51.79538363999999,-199264.80938363998,12300,16.19618
2020-09-08,etf,sell,199206.39419999998,49.801598549999994,199156.59260145,89100,2.238
2020-09-08,stock,buy,199716.517,51.926294420000005,-199768.44329442,12700,15.72571
2020-09-08,etf,sell,199877.1228,49.969280700000006,199827.15351930002,89400,2.238
2020-09-08,stock,buy,197867.66999999995,51.44559419999999,-197919.11559419995,6600,29.979949999999995
2020-09-09,etf,sell,197846.45549999998,49.461613875,197796.99388612498,91900,2.155
2020-09-09,stock,buy,196996.8,51.219167999999996,-197048.019168,1600,123.12299999999999
2020-09-10,etf,sell,182997.3195,45.749329875,182951.57017012502,82700,2.215
2020-09-10,stock,buy,188402.21399999998,48.984575639999996,-188451.19857563998,12700,14.834819999999999
2020-10-12,stock,sell,204791.00400000002,258.03666504,204532.96733496,6600,31.028940000000002
2020-10-12,etf,buy,441.8413999999999,5.0,-446.8413999999999,200,2.207
2020-10-13,stock,buy,197417.21999999997,51.328477199999995,-197468.54847719998,3800,51.951899999999995
2020-10-13,etf,buy,2694.2915999999996,5.0,-2699.2915999999996,1200,2.243
2020-10-16,etf,sell,3083.913,5.0,3078.913,1400,2.205
2020-10-16,stock,buy,4966.9619999999995,5.04966962,-4972.011669619999,100,49.669619999999995
2020-10-28,stock,sell,789116.094,994.28627844,788121.80772156,49400,15.97401
2020-11-09,stock,sell,205792.002,259.29792252000004,205532.70407748,3900,52.76718
2020-11-12,stock,buy,188894.70599999998,49.112623559999996,-188943.81862356,1400,134.92478999999997
2020-11-16,stock,buy,193594.40099999998,50.334544259999994,-193644.73554425998,2900,66.75668999999999
2020-11-17,etf,buy,209087.879,52.27196975,-209140.15096975,93500,2.234
2020-11-18,stock,buy,192832.63999999998,50.1364864,-192882.7764864,1600,120.5204
2020-11-18,stock,buy,194894.7,50.672622000000004,-194945.37262200002,3000,64.9649
2020-11-18,etf,buy,12178.166000000001,5.0,-12183.166000000001,5500,2.212
2020-12-07,stock,sell,184759.056,232.79641056,184526.25958944001,1600,115.47441
2020-12-07,etf,buy,184537.35299999997,46.13433824999999,-184583.48733824998,81500,2.262
2020-12-09,stock,sell,434100.465,546.9665859,433553.49841410003,5900,73.57635
2020-12-09,etf,buy,233397.9648,58.349491199999996,-233456.3142912,102400,2.277
2020-12-10,stock,buy,195526.33099999998,50.83684605999999,-195577.16784605998,3100,63.07300999999999
2020-12-10,etf,buy,4305.901599999999,5.0,-4310.901599999999,1900,2.264
2020-12-15,etf,sell,198543.15810000003,49.63578952500001,198493.52231047503,87900,2.261
2020-12-15,stock,buy,198678.47999999998,51.6564048,-198730.13640479997,4000,49.669619999999995
2020-12-16,etf,sell,198843.55740000002,49.71088935000001,198793.84651065,87800,2.267
2020-12-16,stock,buy,195395.19999999998,50.802752,-195446.00275199997,3200,61.06099999999999
2020-12-16,etf,buy,3181.1779999999994,5.0,-3186.1779999999994,1400,2.27
2020-12-21,stock,sell,464864.67000000004,585.7294842,464278.94051580003,3000,154.95489
2020-12-21,etf,buy,464240.2764999999,116.06006912499998,-464356.3365691249,203500,2.279
2020-12-23,stock,sell,215943.84,272.0892384,215671.7507616,4000,53.98596
2020-12-23,etf,buy,215593.37799999994,53.898344499999986,-215647.27634449993,95300,2.26
2021-01-05,stock,sell,410223.36600000004,516.8814411600001,409706.48455884005,6300,65.11482000000001
2021-01-05,etf,buy,409672.76349999994,102.418190875,-409775.1816908749,182300,2.245
2021-01-29,etf,sell,198746.65439999997,49.686663599999996,198696.96773639997,86800,2.292
2021-01-29,stock,buy,194354.15999999997,50.5320816,-194404.69208159996,2400,80.98089999999999
2021-01-29,etf,sell,194396.20919999998,48.5990523,194347.61014769998,84900,2.292
2021-01-29,stock,buy,195705.50999999998,50.88343259999999,-195756.3934326,3800,51.50145
2021-02-01,etf,sell,195763.5405,48.940885125,195714.599614875,86900,2.255
2021-02-01,stock,buy,176676.49999999997,45.93588999999999,-176722.43588999996,500,353.35299999999995
2021-02-02,etf,sell,176536.48679999998,44.134121699999994,176492.3526783,77100,2.292
2021-02-02,stock,buy,198398.19999999998,51.58353199999999,-198449.78353199997,2500,79.35928
2021-02-04,etf,sell,198930.37050000002,49.732592625,198880.63790737503,85500,2.329
2021-02-04,stock,buy,195194.99999999997,50.75069999999999,-195245.75069999998,2500,78.07799999999999
2021-02-04,etf,buy,3498.4949999999994,5.0,-3503.4949999999994,1500,2.33
2021-02-25,stock,sell,644339.016,811.86716016,643527.14883984,7400,87.07284
2021-02-26,stock,buy,193993.8,50.438387999999996,-194044.238388,600,323.323
2021-02-26,stock,buy,198448.24999999997,51.59654499999999,-198499.84654499998,6500,30.530499999999996
2021-03-01,etf,buy,250951.70099999997,62.737925249999996,-251014.43892524997,107000,2.343
2021-03-10,etf,sell,198769.032,49.692258,198719.339742,83600,2.38
2021-03-10,stock,buy,195802.607,50.90867782,-195853.51567782,4300,45.535489999999996
2021-03-10,etf,buy,2850.4476,5.0,-2855.4476,1200,2.373
2021-03-12,etf,sell,198740.5605,49.685140125,198690.875359875,81700,2.435
2021-03-12,stock,buy,199338.13899999997,51.82791614,-199389.96691613997,4700,42.412369999999996
2021-03-16,etf,sell,199555.8444,49.8889611,199505.9554389,81800,2.442
2021-03-16,stock,buy,198942.74399999998,51.725113439999994,-198994.46911344,5200,38.258219999999994
2021-04-02,stock,sell,187921.89,236.78158140000005,187685.10841860002,6500,28.911060000000003
2021-04-02,etf,buy,187462.27499999997,46.865568749999994,-187509.14056874998,75000,2.497
2021-04-13,etf,sell,198735.6654,49.683916350000004,198685.98148365,77800,2.557
2021-04-13,stock,buy,198197.99999999997,51.531479999999995,-198249.53147999998,3000,66.06599999999999
2021-04-13,etf,buy,255.95569999999995,5.0,-260.9557,100,2.557
2021-04-14,stock,sell,381175.44299999997,480.28105818,380695.16194182,1100,346.52313
2021-04-14,etf,buy,180781.30069999996,45.195325174999994,-180826.49602517497,70300,2.569
2021-04-15,stock,buy,194324.12999999995,50.52427379999998,-194374.65427379994,3000,64.77470999999998
2021-04-16,etf,sell,192899.10779999997,48.22477694999999,192850.88302304997,74900,2.578
2021-04-16,stock,buy,199224.025,51.798246500000005,-199275.8232465,9500,20.97095
2021-04-19,stock,sell,650229.12,819.2886911999999,649409.8313088,18000,36.12384
2021-04-19,etf,buy,648485.8379999999,162.12145949999996,-648647.9594594999,251100,2.58
2021-04-20,etf,buy,1537.5359999999998,5.0,-1542.5359999999998,600,2.56
2021-05-06,etf,sell,198820.98,49.705245000000005,198771.27475500002,77500,2.568
2021-05-06,stock,buy,188588.39999999997,49.03298399999999,-188637.43298399996,1200,157.15699999999998
2021-05-06,etf,buy,10017.407399999998,5.0,-10022.407399999998,3900,2.566
2021-05-10,etf,sell,198607.5936,49.6518984,198557.94170159998,76700,2.592
2021-05-10,stock,buy,187322.13499999998,48.703755099999995,-187370.83875509998,1300,144.09394999999998
2021-05-10,etf,buy,11126.615499999998,5.0,-11131.615499999998,4300,2.585
2021-05-12,stock,sell,219799.97999999998,276.94797479999994,219523.0320252,9500,23.13684
