round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,div_income,tax_due,return_pct,hold_days
0,300750.SZ,,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,3000,-17564.68204523984,0.0,0.0,-4.33,31
1,601318.SH,,2020-03-02,2020-04-17,TAKE_PROFIT_DYN,3,7900,-19381.986848159926,0.0,0.0,-3.31,33
2,000725.SZ,,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,2,57200,27049.232838490076,0.0,0.0,13.44,35
3,002714.SZ,,2020-05-12,2020-06-18,TAKE_PROFIT_DYN,1,2890,13007.438226360042,935.0,93.5,6.62,27
4,000063.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,5300,15908.552431920049,0.0,0.0,8.03,17
5,002415.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,7100,17585.778101920034,4970.0,994.0,8.83,17
6,600030.SH,,2020-09-08,2020-10-12,TAKE_PROFIT_DYN,1,6600,6021.193432320084,0.0,0.0,3.04,18
7,002456.SZ,,2020-09-02,2020-10-28,TAKE_PROFIT_DYN,4,50100,119.43523475993425,0.0,0.0,0.01,34
8,300136.SZ,,2020-10-13,2020-11-09,TAKE_PROFIT_DYN,2,4100,3043.740995500033,0.0,0.0,1.43,19
9,600745.SH,,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,1,1600,-12521.759578559984,0.0,0.0,-6.35,57
10,300122.SZ,,2020-11-12,2020-12-07,TAKE_PROFIT_DYN,2,3000,53867.05830684013,0.0,0.0,14.11,17
11,601012.SH,,2020-11-16,2020-12-09,TAKE_PROFIT_DYN,2,5900,43668.32209236,0.0,0.0,11.24,17
12,002475.SZ,,2020-12-15,2020-12-23,TAKE_PROFIT_DYN,1,4000,16303.059950400057,0.0,0.0,8.2,6
13,000651.SZ,,2020-12-10,2021-01-05,TAKE_PROFIT_DYN,2,6300,17489.01767256006,0.0,0.0,4.47,17
14,688981.SH,,2020-12-17,2021-01-11,TAKE_PROFIT_DYN,2,7300,63821.261887560075,0.0,0.0,16.17,16
15,601318.SH,,2021-01-29,2021-02-25,TAKE_PROFIT_DYN,3,7400,53507.2683420002,0.0,0.0,9.1,14
16,300059.SZ,,2021-02-26,2021-04-02,TAKE_PROFIT_DYN,1,6500,-11398.416763499961,0.0,0.0,-5.74,25
17,300750.SZ,,2021-02-01,2021-04-14,TAKE_PROFIT_DYN,2,1100,8787.07166238001,0.0,0.0,2.37,46
18,002475.SZ,,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,4,18000,-142560.04152600002,0.0,0.0,-18.05,50
19,601166.SH,,2021-04-16,2021-05-12,TAKE_PROFIT_DYN,1,9500,19583.71084079999,0.0,0.0,9.83,15
20,002352.SZ,,2021-04-13,2021-05-18,TAKE_PROFIT_DYN,2,6000,7675.628315400158,1980.0,198.0,1.95,22
21,002594.SZ,,2021-05-06,2021-05-26,TAKE_PROFIT_DYN,2,2500,83975.39265240007,0.0,0.0,22.33,14
22,600031.SH,,2021-05-14,2021-06-01,TAKE_PROFIT_DYN,1,7200,27100.499948640005,0.0,0.0,13.6,12
23,002340.SZ,,2021-06-08,2021-07-06,TAKE_PROFIT_DYN,3,63100,32393.325431640074,946.5,189.3,5.42,19
24,000661.SZ,,2021-05-25,2021-07-19,TAKE_PROFIT_DYN,3,1300,16672.79528928001,0.0,0.0,3.23,38
25,600031.SH,,2021-06-15,2021-08-03,TAKE_PROFIT_DYN,3,22300,30226.78991808009,4200.0,420.0,5.07,35
26,002241.SZ,,2021-07-23,2021-08-05,TAKE_PROFIT_DYN,1,5200,19843.54605792003,0.0,0.0,9.94,9
27,002460.SZ,,2021-08-17,2021-08-30,TAKE_PROFIT_DYN,1,1200,46293.74633088001,0.0,0.0,23.65,9
28,300750.SZ,,2021-08-17,2021-09-14,TAKE_PROFIT_DYN,1,400,18509.86487736003,0.0,0.0,9.53,20
29,000858.SZ,,2021-07-09,2021-09-27,TAKE_PROFIT_DYN,5,4100,-76204.95748883986,0.0,0.0,-7.91,54
30,600111.SH,,2021-09-30,2021-10-25,TAKE_PROFIT_DYN,1,4600,43094.16109584001,0.0,0.0,21.93,12
31,002466.SZ,,2021-09-23,2021-11-09,TAKE_PROFIT_DYN,2,3800,20545.878086640034,0.0,0.0,5.28,28
32,601919.SH,,2021-09-29,2021-11-30,TAKE_PROFIT_DYN,2,24700,12082.559413860145,0.0,0.0,3.04,39
33,600030.SH,,2021-11-17,2021-12-06,TAKE_PROFIT_DYN,1,8300,15201.648612360033,0.0,0.0,7.65,13
34,000651.SZ,,2021-10-28,2021-12-09,TAKE_PROFIT_DYN,2,11100,13664.275723620143,0.0,0.0,3.46,30
35,601012.SH,,2021-12-02,2022-03-01,TAKE_PROFIT_DYN,4,10300,50289.191366400104,0.0,0.0,6.47,57
36,002594.SZ,,2021-12-17,2022-03-01,TAKE_PROFIT_DYN,3,2200,-18927.54945972003,0.0,0.0,-3.25,46
37,000858.SZ,,2022-03-04,2022-04-14,TAKE_PROFIT_DYN,3,3300,-2180.5738257599296,0.0,0.0,-0.38,27
38,300014.SZ,,2022-03-04,2022-06-01,TAKE_PROFIT_DYN,4,7900,85553.10577897995,0.0,0.0,14.37,58
39,300750.SZ,,2021-12-21,2022-06-02,TAKE_PROFIT_DYN,5,1500,-94363.2492476399,0.0,0.0,-12.48,106
40,300122.SZ,,2022-04-15,2022-06-15,TAKE_PROFIT_DYN,3,3600,-68341.55779673991,0.0,0.0,-16.63,39
41,002241.SZ,,2022-06-24,2022-08-01,TAKE_PROFIT_DYN,1,6200,6102.934945200046,0.0,0.0,3.06,26
