round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,div_income,return_pct,hold_days
0,300750.SZ,,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,3000,-17564.68204523984,0.0,-4.33,31
1,601318.SH,,2020-03-02,2020-04-17,TAKE_PROFIT_DYN,3,7900,-20564.310241259867,0.0,-3.52,33
2,000725.SZ,,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,2,57200,26478.524837770092,0.0,13.16,35
3,002714.SZ,,2020-05-12,2020-06-02,TAKE_PROFIT_DYN,1,1700,15269.911286220013,0.0,7.77,15
4,000063.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,5300,15432.629850900033,0.0,7.79,17
5,002415.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,7100,17160.740325160004,3976.0,8.62,17
6,600703.SH,,2020-06-16,2020-07-06,TAKE_PROFIT_DYN,1,8700,29684.110986000014,0.0,14.97,12
7,600030.SH,,2020-09-08,2020-10-12,TAKE_PROFIT_DYN,1,6600,5560.236970200087,0.0,2.81,18
8,002456.SZ,,2020-09-02,2020-10-28,TAKE_PROFIT_DYN,4,50100,-1380.1698790200753,0.0,-0.17,34
9,300136.SZ,,2020-10-13,2020-11-09,TAKE_PROFIT_DYN,2,4000,2317.641035560053,0.0,1.12,19
10,600745.SH,,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,2,1700,-12695.675371120014,0.0,-6.08,57
11,300122.SZ,,2020-11-12,2020-12-07,TAKE_PROFIT_DYN,2,3000,52999.023410640075,0.0,13.88,17
12,601012.SH,,2020-11-16,2020-12-08,TAKE_PROFIT_DYN,2,5900,43609.45535802003,0.0,11.22,16
13,002475.SZ,,2020-12-15,2020-12-22,TAKE_PROFIT_DYN,1,4000,15584.686243200034,0.0,7.84,5
14,000651.SZ,,2020-12-10,2021-01-05,TAKE_PROFIT_DYN,2,6300,16671.867580620106,0.0,4.26,17
15,688981.SH,,2020-12-17,2021-01-11,TAKE_PROFIT_DYN,2,7300,62947.24054380006,0.0,15.95,16
16,300750.SZ,,2021-02-01,2021-02-09,TAKE_PROFIT_DYN,1,500,30179.169196200033,0.0,17.08,6
17,601318.SH,,2021-01-29,2021-02-25,TAKE_PROFIT_DYN,3,7400,52252.109836920165,0.0,8.88,14
18,300059.SZ,,2021-02-23,2021-04-02,TAKE_PROFIT_DYN,2,12400,-40563.74421108002,0.0,-10.22,28
19,300750.SZ,,2021-02-26,2021-04-14,TAKE_PROFIT_DYN,1,600,12566.026250280032,0.0,6.48,32
20,002475.SZ,,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,4,18000,-143817.19551360002,0.0,-18.2,50
21,601166.SH,,2021-04-16,2021-05-12,TAKE_PROFIT_DYN,1,9500,19109.783742299973,0.0,9.59,15
22,002352.SZ,,2021-04-13,2021-05-18,TAKE_PROFIT_DYN,2,6000,6639.525657000137,1584.0,1.69,22
23,002594.SZ,,2021-05-06,2021-05-26,TAKE_PROFIT_DYN,2,2500,83052.48198690003,0.0,22.09,14
24,600031.SH,,2021-05-14,2021-06-01,TAKE_PROFIT_DYN,1,7200,26669.475724320015,0.0,13.38,12
25,002340.SZ,,2021-06-08,2021-07-06,TAKE_PROFIT_DYN,3,63100,32393.325431640027,757.2,5.42,19
26,000661.SZ,,2021-05-25,2021-07-19,TAKE_PROFIT_DYN,3,1200,10564.888096799958,0.0,2.2,38
27,600031.SH,,2021-06-15,2021-08-03,TAKE_PROFIT_DYN,3,22300,29806.78991808009,3360.0,5.0,35
28,002241.SZ,,2021-07-23,2021-08-05,TAKE_PROFIT_DYN,1,5200,19428.48569376004,0.0,9.73,9
29,002460.SZ,,2021-08-17,2021-08-27,TAKE_PROFIT_DYN,1,1200,43731.5467752,0.0,22.34,8
30,300750.SZ,,2021-08-17,2021-09-14,TAKE_PROFIT_DYN,1,400,18082.831618080032,0.0,9.31,20
31,000858.SZ,,2021-07-09,2021-09-27,TAKE_PROFIT_DYN,5,3900,-78064.82646299968,0.0,-8.48,54
32,600111.SH,,2021-09-30,2021-10-25,TAKE_PROFIT_DYN,1,4600,42589.30401828,0.0,21.67,12
33,002466.SZ,,2021-09-23,2021-11-09,TAKE_PROFIT_DYN,2,3800,20545.878086640034,0.0,5.28,28
34,601919.SH,,2021-09-29,2021-11-30,TAKE_PROFIT_DYN,2,24700,12082.559413860145,0.0,3.04,39
35,600030.SH,,2021-11-17,2021-12-06,TAKE_PROFIT_DYN,1,8300,14787.585989460029,0.0,7.44,13
36,000651.SZ,,2021-10-28,2021-12-07,TAKE_PROFIT_DYN,2,11100,10341.797327820037,0.0,2.62,28
37,601012.SH,,2021-12-02,2022-03-01,TAKE_PROFIT_DYN,4,9400,38378.830757400254,0.0,5.36,57
