ts_code,name,buy_date,sell_date,shares_sold,dividend_date,dividend_gross,holding_days,tax_rate,tax_due,cash_before,cash_after
002415.SZ,,2020-05-26,2020-06-18,7100,2020-05-29,4970.0,22,0.2,994.0,5052.49,4058.49
002352.SZ,,2021-04-13,2021-05-18,3000,2021-04-20,990.0,34,0.1,99.0,5074.93,4975.93
002352.SZ,,2021-04-15,2021-05-18,3000,2021-04-20,990.0,32,0.1,99.0,5074.93,4876.93
002340.SZ,,2021-06-08,2021-07-05,20400,2021-06-18,306.0,26,0.2,61.2,5180.26,5119.06
002340.SZ,,2021-06-10,2021-07-05,21000,2021-06-18,315.0,24,0.2,63.0,5180.26,5056.06
002340.SZ,,2021-06-16,2021-07-05,21700,2021-06-18,325.5,18,0.2,65.1,5180.26,4990.96
600031.SH,,2021-06-15,2021-08-03,7000,2021-06-16,4200.0,48,0.1,420.0,5235.28,4815.28
600036.SH,,2022-07-14,2022-08-31,5300,2022-07-15,8066.6,47,0.1,806.66,5010.7,4204.04
002594.SZ,,2022-07-13,2022-11-04,600,2022-07-29,63.0,113,0.1,6.3,1034.07,1027.77
603019.SH,,2024-03-28,2024-06-19,4200,2024-06-06,714.0,82,0.1,71.4,5168.36,5096.96
603019.SH,,2024-05-27,2024-06-19,4800,2024-06-06,816.0,22,0.2,163.2,5168.36,4933.76
601138.SH,,2024-07-19,2024-09-24,8000,2024-08-15,4640.0,66,0.1,464.0,806550.49,806086.49
601138.SH,,2024-07-26,2024-09-24,8600,2024-08-15,4988.0,59,0.1,498.8,806550.49,805587.69
000063.SZ,,2025-03-04,2025-05-07,5500,2025-04-16,3393.5,63,0.1,339.35,811385.72,811046.37
000063.SZ,,2025-04-09,2025-05-07,6700,2025-04-16,4133.9,27,0.2,826.78,811385.72,810219.59
600519.SH,,2025-06-16,2025-07-09,100,2025-06-26,2767.3,22,0.2,553.46,1572815.32,1572261.86
002475.SZ,,2026-01-09,2026-03-26,3600,2026-02-12,575.69,75,0.1,57.57,5185.28,5127.71
002475.SZ,,2026-01-14,2026-03-26,3600,2026-02-12,575.69,70,0.1,57.57,5185.28,5070.14
002475.SZ,,2026-01-30,2026-03-26,3800,2026-02-12,607.68,54,0.1,60.77,5185.28,5009.37
