date,leg,action,gross,fee,net,shares,px
2020-03-02,stock,buy,195995.79999999996,50.958907999999994,-196046.75890799996,2500,78.39831999999998
2020-03-02,stock,buy,194514.31999999998,50.57372319999999,-194564.8937232,1400,138.9388
2020-03-05,stock,sell,205843.95,259.363377,205584.586623,2500,82.33758
2020-03-10,stock,buy,187241.05399999997,48.682674039999995,-187289.73667403997,1400,133.74361
2020-03-13,stock,buy,194972.77799999996,50.69292227999999,-195023.47092227996,2700,72.21213999999999
2020-03-17,stock,buy,193793.59999999998,50.38633599999999,-193843.98633599997,1600,121.12099999999998
2020-03-17,stock,buy,193648.455,50.3485983,-193698.8035983,2700,71.72165
2020-03-17,stock,buy,44877.833,11.66823658,-44889.50123658,10700,4.19419
2020-04-14,stock,sell,383394.222,483.07671971999997,382911.14528028003,5400,70.99893
2020-04-15,stock,sell,570548.8800000001,718.8915888000002,569829.9884112001,4400,129.67020000000002
2020-04-29,stock,buy,199918.71899999995,51.97886693999999,-199970.69786693994,56900,3.5135099999999992
2020-05-11,stock,sell,266752.98,336.1087548,266416.8712452,67600,3.94605
2020-05-12,stock,buy,196546.34999999998,51.102050999999996,-196597.45205099997,1700,115.61549999999998
2020-05-25,etf,buy,417687.26999999996,104.42181749999999,-417791.6918175,210000,1.987
2020-05-26,stock,buy,197940.743,51.46459318,-197992.20759317998,5300,37.34731
2020-05-26,stock,buy,199069.87099999998,51.75816645999999,-199121.62916645998,7100,28.03801
2020-05-26,etf,buy,2829.4266000000002,5.0,-2834.4266000000002,1400,2.019
2020-05-29,etf,buy,4874.4695999999985,5.0,-4879.4695999999985,2400,2.029
2020-06-02,stock,sell,209994.795,264.5934417,209730.2015583,1700,123.52635000000001
2020-06-02,etf,buy,209713.90439999997,52.42847609999999,-209766.33287609997,102900,2.036
2020-06-16,etf,sell,198620.6805,49.655170125,198571.02532987497,97700,2.035
2020-06-16,stock,buy,198297.099,51.55724574,-198348.65624573999,8700,22.792769999999997
2020-06-16,stock,sell,211523.265,266.5193139,211256.7456861,5300,39.910050000000005
2020-06-17,etf,buy,211437.6264,52.8594066,-211490.48580660002,101600,2.079
2020-06-18,stock,sell,210446.34300000002,265.16239218000004,210181.18060782002,7100,29.640330000000002
2020-06-22,etf,buy,209206.99799999996,52.30174949999999,-209259.29974949997,102000,2.049
2020-07-06,stock,sell,225973.8,284.726988,225689.07301199998,8700,25.974
2020-07-07,etf,buy,225637.41199999998,56.409352999999996,-225693.82135299998,109000,2.068
2020-09-02,etf,sell,198735.4656,49.6838664,198685.7817336,85600,2.324
2020-09-02,stock,buy,198747.54899999994,51.674362739999985,-198799.22336273995,11700,16.986969999999996
2020-09-04,etf,sell,198980.81999999998,49.745205,198931.07479499996,86600,2.3
2020-09-04,stock,buy,199213.01399999997,51.79538363999999,-199264.80938363998,12300,16.19618
2020-09-08,etf,sell,199206.39419999998,49.801598549999994,199156.59260145,89100,2.238
2020-09-08,stock,buy,199716.517,51.926294420000005,-199768.44329442,12700,15.72571
2020-09-08,etf,sell,199877.1228,49.969280700000006,199827.15351930002,89400,2.238
2020-09-08,stock,buy,197867.66999999995,51.44559419999999,-197919.11559419995,6600,29.979949999999995
2020-09-09,etf,sell,197846.45549999998,49.461613875,197796.99388612498,91900,2.155
2020-09-09,stock,buy,196996.8,51.219167999999996,-197048.019168,1600,123.12299999999999
2020-09-10,etf,sell,196937.865,49.23446625,196888.63053375,89000,2.215
2020-09-10,stock,buy,198786.588,51.68451288,-198838.27251287998,13400,14.834819999999999
2020-10-12,stock,sell,772770.456,973.69077456,771796.76522544,50100,15.42456
2020-10-12,stock,sell,203736.06,256.7074356,203479.3525644,6600,30.8691
2020-10-12,etf,buy,774768.8948999998,193.69222372499996,-774962.5871237249,350700,2.207
2020-10-13,stock,buy,197417.21999999997,51.328477199999995,-197468.54847719998,3800,51.951899999999995
2020-10-13,etf,buy,2469.7672999999995,5.0,-2474.7672999999995,1100,2.243
2020-10-16,etf,sell,198692.109,49.67302725,198642.43597274998,90200,2.205
2020-10-16,stock,buy,198678.47999999998,51.6564048,-198730.13640479997,4000,49.669619999999995
2020-10-19,etf,sell,198887.5134,49.72187835,198837.79152164998,89800,2.217
2020-10-19,stock,buy,196053.85799999998,50.974003079999996,-196104.83200307997,1800,108.91881
2020-10-19,etf,buy,2657.0544,5.0,-2662.0544,1200,2.212
2020-10-21,etf,sell,198687.51360000003,49.67187840000001,198637.84172160004,91400,2.176
2020-10-21,stock,buy,192468.27599999995,50.04175175999998,-192518.31775175995,1800,106.92681999999998
2020-10-21,etf,buy,6115.709599999999,5.0,-6120.709599999999,2800,2.182
2020-10-26,etf,sell,183049.1676,45.7622919,183003.4053081,84400,2.171
2020-10-26,stock,buy,162662.5,42.292249999999996,-162704.79225,500,325.325
2020-10-26,etf,buy,20333.7134,5.08342835,-20338.79682835,9400,2.161
2020-11-09,stock,sell,405350.244,510.74130744,404839.50269256,7800,51.967980000000004
2020-11-11,etf,buy,204629.425,51.15735625,-204680.58235625,92500,2.21
2020-11-12,stock,buy,188894.70599999998,49.112623559999996,-188943.81862356,1400,134.92478999999997
2020-11-12,etf,buy,11081.069999999998,5.0,-11086.069999999998,5000,2.214
2020-11-18,etf,sell,198627.9732,49.6569933,198578.3162067,89200,2.229
2020-11-18,stock,buy,192832.63999999998,50.1364864,-192882.7764864,1600,120.5204
2020-11-18,etf,buy,5756.9512,5.0,-5761.9512,2600,2.212
2020-11-30,stock,sell,185878.935,234.2074581,185644.7275419,500,371.75786999999997
2020-11-30,etf,buy,185664.67919999998,46.4161698,-185711.0953698,83100,2.232
2020-12-07,stock,sell,600466.932,756.5883343200001,599710.34366568,5200,115.47441
2020-12-07,stock,sell,430998.57,543.0581982,430455.5118018,3000,143.66619
2020-12-10,stock,buy,195526.33099999998,50.83684605999999,-195577.16784605998,3100,63.07300999999999
2020-12-15,stock,buy,198678.47999999998,51.6564048,-198730.13640479997,4000,49.669619999999995
2020-12-15,etf,buy,435746.91159999993,108.93672789999998,-435855.84832789993,193300,2.252
2020-12-16,stock,buy,195395.19999999998,50.802752,-195446.00275199997,3200,61.06099999999999
2020-12-16,stock,sell,211508.28,266.5004328,211241.7795672,4000,52.877069999999996
2020-12-16,etf,buy,15678.662999999999,5.0,-15683.662999999999,6900,2.27
2020-12-17,stock,buy,195351.15599999996,50.791300559999996,-195401.94730055996,3600,54.26420999999999
2020-12-17,etf,buy,4560.556,5.0,-4565.556,2000,2.278
2020-12-21,etf,sell,198737.4636,49.684365899999996,198687.7792341,87100,2.284
2020-12-21,stock,buy,199222.02299999996,51.79772597999999,-199273.82072597995,3700,53.84378999999999
2021-01-05,stock,sell,404055.54000000004,509.1099804000001,403546.4300196,6300,64.1358
2021-01-05,etf,buy,402931.02849999996,100.73275712499999,-403031.76125712495,179300,2.245
2021-01-11,stock,sell,453970.575,572.0029245000001,453398.57207550004,7300,62.18775
2021-01-11,etf,buy,453282.4295999999,113.32060739999999,-453395.7502073999,196200,2.308
2021-01-29,etf,sell,198746.65439999997,49.686663599999996,198696.96773639997,86800,2.292
2021-01-29,stock,buy,194354.15999999997,50.5320816,-194404.69208159996,2400,80.98089999999999
2021-01-29,etf,sell,194396.20919999998,48.5990523,194347.61014769998,84900,2.292
2021-01-29,stock,buy,195705.50999999998,50.88343259999999,-195756.3934326,3800,51.50145
2021-02-01,etf,sell,195763.5405,48.940885125,195714.599614875,86900,2.255
2021-02-01,stock,buy,176676.49999999997,45.93588999999999,-176722.43588999996,500,353.35299999999995
2021-02-02,etf,sell,176536.48679999998,44.134121699999994,176492.3526783,77100,2.292
2021-02-02,stock,buy,198398.19999999998,51.58353199999999,-198449.78353199997,2500,79.35928
2021-02-04,etf,sell,198930.37050000002,49.732592625,198880.63790737503,85500,2.329
2021-02-04,stock,buy,195194.99999999997,50.75069999999999,-195245.75069999998,2500,78.07799999999999
2021-02-04,etf,buy,3498.4949999999994,5.0,-3503.4949999999994,1500,2.33
2021-02-09,stock,sell,205394.4,258.796944,205135.603056,500,410.7888
2021-02-10,etf,buy,205056.85199999998,51.264213,-205108.11621299997,86000,2.382
2021-02-23,etf,sell,198765.6354,49.69140885,198715.94399115,84200,2.363
2021-02-23,stock,buy,198202.004,51.53252104,-198253.53652104,5900,33.59356
2021-02-23,etf,buy,474.47399999999993,5.0,-479.47399999999993,200,2.37
2021-02-25,stock,sell,634728.636,799.75808136,633928.87791864,7400,85.77414
2021-02-25,etf,buy,233975.74199999997,58.49393549999999,-234034.23593549998,97800,2.39
2021-02-26,stock,buy,198448.24999999997,51.59654499999999,-198499.84654499998,6500,30.530499999999996
2021-02-26,stock,buy,193993.8,50.438387999999996,-194044.238388,600,323.323
2021-02-26,etf,buy,7450.643199999999,5.0,-7455.643199999999,3200,2.326
2021-03-10,etf,sell,198769.032,49.692258,198719.339742,83600,2.38
2021-03-10,stock,buy,195802.607,50.90867782,-195853.51567782,4300,45.535489999999996
2021-03-10,etf,buy,2850.4476,5.0,-2855.4476,1200,2.373
2021-03-12,etf,sell,198740.5605,49.685140125,198690.875359875,81700,2.435
2021-03-12,stock,buy,199338.13899999997,51.82791614,-199389.96691613997,4700,42.412369999999996
2021-03-16,etf,sell,199555.8444,49.8889611,199505.9554389,81800,2.442
2021-03-16,stock,buy,198942.74399999998,51.725113439999994,-198994.46911344,5200,38.258219999999994
2021-04-02,stock,sell,355028.61600000004,447.33605616000006,354581.27994384005,12400,28.63134
2021-04-06,etf,buy,354300.947,88.57523675,-354389.52223675,139900,2.53
2021-04-13,etf,sell,198735.6654,49.683916350000004,198685.98148365,77800,2.557
2021-04-13,stock,buy,198197.99999999997,51.531479999999995,-198249.53147999998,3000,66.06599999999999
2021-04-13,etf,buy,255.95569999999995,5.0,-260.9557,100,2.557
2021-04-14,stock,sell,204791.00400000002,258.03666504,204532.96733496,600,341.31834000000003
2021-04-14,etf,buy,4628.824199999999,5.0,-4633.824199999999,1800,2.569
