date,ts_code,name,event_type,shares_before,shares_change,shares_after,cash_before,cash_change,cash_after,price,fee,reason,pretax_cash,tax,tax_rate,cash_change_net
2020-05-29,002415.SZ,,DIVIDEND,7100,0,7100,4625.13,3976.0,8601.13,,0.0,cash_div=7.0/10 pretax=4970.0,4970.0,994.0,0.2,3976.0
2020-06-04,002714.SZ,,DIVIDEND,1700,0,1700,5143.38,748.0,5891.38,,0.0,cash_div=5.5/10 pretax=935.0,935.0,187.0,0.2,748.0
2021-04-20,002352.SZ,,DIVIDEND,6000,0,6000,5040.53,1584.0,6624.53,,0.0,cash_div=3.3/10 pretax=1980.0,1980.0,396.0,0.2,1584.0
2021-06-16,600031.SH,,DIVIDEND,7000,0,7000,5712.99,3360.0,9072.99,,0.0,cash_div=6.0/10 pretax=4200.0,4200.0,840.0,0.2,3360.0
2021-06-18,002340.SZ,,DIVIDEND,63100,0,63100,4262.23,757.2,5019.43,,0.0,cash_div=0.15/10 pretax=946.5,946.5,189.3,0.2,757.2
2022-05-26,002415.SZ,,DIVIDEND,17800,0,17800,5031.98,12816.0,17847.98,,0.0,cash_div=9.0/10 pretax=16020.0,16020.0,3204.0,0.2,12816.0
2022-07-15,600036.SH,,DIVIDEND,5300,0,5300,482372.37,6453.28,488825.65,,0.0,cash_div=15.22/10 pretax=8066.6,8066.6,1613.32,0.2,6453.28
2022-07-29,002594.SZ,,DIVIDEND,600,0,600,5014.05,50.4,5064.45,,0.0,cash_div=1.05/10 pretax=63.0,63.0,12.6,0.2,50.4
2023-06-19,300014.SZ,,DIVIDEND,14700,0,14700,5005.13,2116.8,7121.93,,0.0,cash_div=1.6/10 pretax=2352.0,2352.0,235.2,0.1,2116.8
2023-06-26,600809.SH,,DIVIDEND,1800,0,1800,5037.25,5378.4,10415.65,,0.0,cash_div=33.2/10 pretax=5976.0,5976.0,597.6,0.1,5378.4
2024-05-24,000625.SZ,,DIVIDEND,13300,0,13300,5010.12,3649.52,8659.64,,0.0,cash_div=3.43/10 pretax=4561.9,4561.9,912.38,0.2,3649.52
2024-06-06,603019.SH,,DIVIDEND,9000,0,9000,4005.69,1295.4,5301.09,,0.0,cash_div=1.7/10 pretax=1530.0,1530.0,234.6,0.1533,1295.4
2024-06-21,000977.SZ,,DIVIDEND,5400,0,5400,4646.43,561.6,5208.03,,0.0,cash_div=1.3/10 pretax=702.0,702.0,140.4,0.2,561.6
2024-08-09,601899.SH,,DIVIDEND,24900,0,24900,4529.41,1992.0,6521.41,,0.0,cash_div=1.0/10 pretax=2490.0,2490.0,498.0,0.2,1992.0
2024-08-15,601138.SH,,DIVIDEND,16600,0,16600,3873.3,7702.4,11575.7,,0.0,cash_div=5.8/10 pretax=9628.0,9628.0,1925.6,0.2,7702.4
2025-04-16,000063.SZ,,DIVIDEND,5900,0,5900,201.54,3251.59,3453.13,,0.0,cash_div=6.17/10 pretax=3640.3,3640.3,388.71,0.1068,3251.59
2025-06-26,600519.SH,,DIVIDEND,100,0,100,5064.56,2213.84,7278.4,,0.0,cash_div=276.73/10 pretax=2767.3,2767.3,553.46,0.2,2213.84
2026-02-12,002475.SZ,,DIVIDEND,11000,0,11000,5045.15,1464.82,6509.97,,0.0,cash_div=1.599147/10 pretax=1759.06,1759.06,294.24,0.1673,1464.82
