版本,年份,收益,回撤,交易数
基线,2020,33.38,-16.45,14
基线,2021,29.19,-19.83,23
基线,2022,3.3,-15.91,13
基线,2023,-14.25,-26.07,13
基线,2024,15.46,-18.51,12
0.5%,2020,39.9,-16.45,16
0.5%,2021,23.5,-18.28,24
0.5%,2022,-3.68,-25.87,12
0.5%,2023,20.51,-8.77,17
0.5%,2024,16.11,-16.35,15
0.75%,2020,28.81,-16.45,16
0.75%,2021,24.4,-19.63,24
0.75%,2022,5.35,-21.86,14
0.75%,2023,18.5,-8.89,19
0.75%,2024,9.22,-14.95,15
1.0%,2020,27.59,-16.45,16
1.0%,2021,32.98,-19.89,24
1.0%,2022,3.77,-22.79,15
1.0%,2023,15.1,-6.9,20
1.0%,2024,8.8,-15.4,15
1.5%,2020,31.72,-15.62,17
1.5%,2021,31.96,-19.37,26
1.5%,2022,12.21,-21.68,18
1.5%,2023,21.51,-6.08,22
1.5%,2024,17.77,-13.85,18
