date,leg_A,action,gross_A,fee_A,net_A,shares_A,px_A,amt_A,leg_B,gross_B,fee_B,net_B,shares_B,px_B,amt_B,_merge,diff_type
2020-03-13,etf,buy,221898.47679999995,55.47461919999999,-221953.95141919996,121600.0,1.823,-221953.95141919996,etf,221898.47679999995,55.47461919999999,-221953.95141919996,121600.0,1.823,-221953.95141919996,both,IDENTICAL
2020-03-17,etf,sell,198603.9972,49.650999299999995,198554.3462007,112700.0,1.764,198554.3462007,etf,198603.9972,49.650999299999995,198554.3462007,112700.0,1.764,198554.3462007,both,IDENTICAL
2020-03-17,etf,sell,198603.9972,49.650999299999995,198554.3462007,112700.0,1.764,198554.3462007,etf,15683.9004,5.0,15678.9004,8900.0,1.764,15678.9004,both,SAME_DAY_DIR_DIFF_SHARES
2020-03-17,etf,sell,15683.9004,5.0,15678.9004,8900.0,1.764,15678.9004,etf,198603.9972,49.650999299999995,198554.3462007,112700.0,1.764,198554.3462007,both,SAME_DAY_DIR_DIFF_SHARES
2020-03-17,etf,sell,15683.9004,5.0,15678.9004,8900.0,1.764,15678.9004,etf,15683.9004,5.0,15678.9004,8900.0,1.764,15678.9004,both,IDENTICAL
2020-04-15,etf,buy,383558.3751999999,95.88959379999996,-383654.2647937999,203600.0,1.882,-383654.2647937999,etf,383558.3751999999,95.88959379999996,-383654.2647937999,203600.0,1.882,-383654.2647937999,both,IDENTICAL
2020-04-17,etf,buy,566900.7344,141.72518359999998,-567042.4595835999,296200.0,1.912,-567042.4595835999,etf,566900.7344,141.72518359999998,-567042.4595835999,296200.0,1.912,-567042.4595835999,both,IDENTICAL
2020-04-29,etf,sell,198770.6304,49.6926576,198720.9377424,103200.0,1.928,198720.9377424,etf,198770.6304,49.6926576,198720.9377424,103200.0,1.928,198720.9377424,both,IDENTICAL
2020-05-11,etf,buy,27495.467999999997,6.873867,-27502.341866999996,14000.0,1.962,-27502.341866999996,etf,27495.467999999997,6.873867,-27502.341866999996,14000.0,1.962,-27502.341866999996,both,IDENTICAL
2020-05-12,etf,buy,3484.6811999999995,5.0,-3489.6811999999995,1800.0,1.934,-3489.6811999999995,etf,3484.6811999999995,5.0,-3489.6811999999995,1800.0,1.934,-3489.6811999999995,both,IDENTICAL
2020-05-26,etf,sell,198798.2028,49.6995507,198748.5032493,99300.0,2.004,198748.5032493,etf,198798.2028,49.6995507,198748.5032493,99300.0,2.004,198748.5032493,both,IDENTICAL
2020-05-26,etf,sell,198798.2028,49.6995507,198748.5032493,99300.0,2.004,198748.5032493,etf,197997.4044,49.4993511,197947.9050489,98900.0,2.004,197947.9050489,both,SAME_DAY_DIR_DIFF_SHARES
2020-05-26,etf,sell,197997.4044,49.4993511,197947.9050489,98900.0,2.004,197947.9050489,etf,198798.2028,49.6995507,198748.5032493,99300.0,2.004,198748.5032493,both,SAME_DAY_DIR_DIFF_SHARES
2020-05-26,etf,sell,197997.4044,49.4993511,197947.9050489,98900.0,2.004,197947.9050489,etf,197997.4044,49.4993511,197947.9050489,98900.0,2.004,197947.9050489,both,IDENTICAL
2020-05-29,etf,buy,3452.7492999999995,5.0,-3457.7492999999995,1700.0,2.029,-3457.7492999999995,etf,4468.2638,5.0,-4473.2638,2200.0,2.029,-4473.2638,both,SAME_DAY_DIR_DIFF_SHARES
2020-06-04,etf,buy,828.8279999999997,5.0,-833.8279999999997,400.0,2.07,-833.8279999999997,etf,1036.035,5.0,-1041.035,500.0,2.07,-1041.035,both,SAME_DAY_DIR_DIFF_SHARES
2020-06-18,etf,buy,637176.5399999999,159.29413499999998,-637335.8341349999,309000.0,2.06,-637335.8341349999,,,,,,,,left_only,ONLY_OLD
2020-06-22,,buy,,,,,,,etf,636030.2949,159.007573725,-636189.3024737249,310100.0,2.049,-636189.3024737249,right_only,ONLY_NEW
2020-09-02,etf,sell,198735.4656,49.6838664,198685.7817336,85600.0,2.324,198685.7817336,etf,198735.4656,49.6838664,198685.7817336,85600.0,2.324,198685.7817336,both,IDENTICAL
2020-09-04,etf,sell,198980.82,49.745205,198931.07479499996,86600.0,2.3,198931.07479499996,etf,198980.82,49.745205,198931.07479499996,86600.0,2.3,198931.07479499996,both,IDENTICAL
2020-09-08,etf,sell,199206.3942,49.801598549999994,199156.59260145,89100.0,2.238,199156.59260145,etf,199206.3942,49.801598549999994,199156.59260145,89100.0,2.238,199156.59260145,both,IDENTICAL
2020-09-08,etf,sell,199206.3942,49.801598549999994,199156.59260145,89100.0,2.238,199156.59260145,etf,199877.1228,49.969280700000006,199827.1535193,89400.0,2.238,199827.1535193,both,SAME_DAY_DIR_DIFF_SHARES
2020-09-08,etf,sell,199877.1228,49.969280700000006,199827.1535193,89400.0,2.238,199827.1535193,etf,199206.3942,49.801598549999994,199156.59260145,89100.0,2.238,199156.59260145,both,SAME_DAY_DIR_DIFF_SHARES
2020-09-08,etf,sell,199877.1228,49.969280700000006,199827.1535193,89400.0,2.238,199827.1535193,etf,199877.1228,49.969280700000006,199827.1535193,89400.0,2.238,199827.1535193,both,IDENTICAL
2020-09-09,etf,sell,197846.4555,49.461613875,197796.99388612495,91900.0,2.155,197796.99388612495,etf,197846.4555,49.461613875,197796.99388612495,91900.0,2.155,197796.99388612495,both,IDENTICAL
2020-09-10,etf,sell,182997.3195,45.749329875,182951.57017012505,82700.0,2.215,182951.57017012505,etf,186759.054,46.689763500000005,186712.3642365,84400.0,2.215,186712.3642365,both,SAME_DAY_DIR_DIFF_SHARES
