ep,ts_code,entry_date,exit_date,hold_days,days,pnl,return_pct,exit_type,levels_used,in_0.1,n_days_in_0.1,in_0.2,n_days_in_0.2,in_0.5,n_days_in_0.5,in_0.75,n_days_in_0.75,in_1.0,n_days_in_1.0,in_1.5,n_days_in_1.5,in_2.0,n_days_in_2.0
000063.SZ|2020-05-26,000063.SZ,2020-05-26,2020-06-18,17,17,16543.11587328001,8.36,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,1,1,1,1,1,2,1,2
000063.SZ|2025-03-04,000063.SZ,2025-03-04,2025-05-07,42,42,-14651.264103299967,-7.41,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
000625.SZ|2024-05-07,000625.SZ,2024-05-07,2024-07-10,45,45,7022.001232619979,1.76,TAKE_PROFIT_DYN,2,0,0,0,0,1,1,1,1,1,1,1,3,1,4
000628.SZ|2024-04-01,000628.SZ,2024-04-01,2024-05-21,31,31,-131429.80281221983,-22.19,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1
000651.SZ|2020-12-10,000651.SZ,2020-12-10,2021-01-05,17,17,18683.3139607801,4.78,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1
000651.SZ|2021-10-28,000651.SZ,2021-10-28,2021-12-09,30,30,14882.51780208008,3.77,TAKE_PROFIT_DYN,2,0,0,0,0,1,2,1,2,1,2,1,3,1,3
000661.SZ|2021-05-25,000661.SZ,2021-05-25,2021-07-19,38,38,-2718.244635119976,-0.73,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1
000725.SZ|2020-03-17,000725.SZ,2020-03-17,2020-05-11,35,35,27619.94083921006,13.73,TAKE_PROFIT_DYN,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1
000858.SZ|2021-07-09,000858.SZ,2021-07-09,2021-09-27,54,54,-74517.05670623982,-9.17,TAKE_PROFIT_DYN,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1
000858.SZ|2022-03-04,000858.SZ,2022-03-04,2022-05-30,56,56,-17980.466439779964,-7.74,TAKE_PROFIT_DYN,2,1,1,1,1,1,2,1,2,1,2,1,2,1,3
000858.SZ|2023-04-11,000858.SZ,2023-04-11,2023-05-22,26,26,-10014.006498299948,-2.65,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
000977.SZ|2024-05-29,000977.SZ,2024-05-29,2024-07-09,28,28,8939.030455080007,4.48,TAKE_PROFIT_DYN,1,0,0,0,0,1,1,1,1,1,2,1,3,1,4
002230.SZ|2024-01-04,002230.SZ,2024-01-04,2024-02-08,25,25,10792.514014920043,3.16,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,1,1,1,2,1,3
002241.SZ|2021-07-23,002241.SZ,2021-07-23,2021-08-05,9,9,20518.01914968004,10.27,TAKE_PROFIT_DYN,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
002241.SZ|2022-06-24,002241.SZ,2022-06-24,2022-08-05,30,30,5669.915238360059,2.84,TAKE_PROFIT_DYN,1,0,0,0,0,1,2,1,2,1,2,1,2,1,4
002241.SZ|2022-11-14,002241.SZ,2022-11-14,2023-01-05,37,37,34076.419577819994,8.55,TAKE_PROFIT_DYN,2,0,0,0,0,0,0,0,0,1,1,1,1,1,3
002340.SZ|2021-06-08,002340.SZ,2021-06-08,2021-07-06,19,19,31636.125431640074,5.29,TAKE_PROFIT_DYN,3,0,0,0,0,0,0,1,1,1,2,1,2,1,2
