threshold,layer_count,n,recover_rate,final_profit_rate
0.2,1,984,24.390243902439025,49.1869918699187
0.2,2,2669,18.80854252529037,49.306856500562006
0.2,3,3413,13.888075007324934,46.498681511866394
0.2,4,2534,8.24782951854775,33.54380426203631
0.2,5,2990,3.2775919732441468,12.675585284280935
0.3,1,171,18.128654970760234,35.08771929824561
0.3,2,520,15.384615384615385,45.19230769230769
0.3,3,1130,15.132743362831857,49.82300884955752
0.3,4,1319,9.097801364670206,47.76345716451858
0.3,5,2990,2.608695652173913,12.94314381270903
