threshold,feature,quintile,n,recover_rate
0.2,r01,1,8963,15.731339953140688
0.2,r01,2,1551,2.256608639587363
0.2,r01,3,1180,3.2203389830508473
0.2,r01,4,635,4.251968503937007
0.2,r01,5,193,3.6269430051813467
0.2,r05,1,1002,4.39121756487026
0.2,r05,2,703,4.267425320056899
0.2,r05,3,1594,2.7603513174404015
0.2,r05,4,1732,3.4642032332563506
0.2,r05,5,7559,17.79335890990872
0.3,r01,1,5205,9.20268972142171
0.3,r01,2,384,0.0
0.3,r01,3,314,0.0
0.3,r01,4,165,0.6060606060606061
0.3,r01,5,54,0.0
0.3,r05,1,346,6.6473988439306355
0.3,r05,2,220,0.0
0.3,r05,3,537,0.186219739292365
0.3,r05,4,524,0.19083969465648853
0.3,r05,5,4503,10.104374861203642
