feature,n_days,day_corr,beta,hac_p,boot_lo,boot_hi,n_boot,bh_q
F_CUR_MAE,752,-0.16625325625233575,-0.5540079974708894,0.4122849256530744,-0.23652714919367857,-0.09288832551044761,2000,0.4947419107836893
F_DAYS_SINCE_ENTRY,752,-0.1729855626704422,-0.002890289466550922,1.2619286565833676e-06,-0.25908691566803466,-0.08086715741700673,2000,1.1357357909250309e-05
F_DAYS_SINCE_FIRST_D10,752,-0.17909684945454013,-0.003394169233986271,9.750700015837883e-06,-0.27547060114965394,-0.07959932700505283,2000,5.850420009502729e-05
F_DIST_MA20,752,-0.2061431474900642,-0.6309850451821227,0.007697909384838181,-0.29090539797078313,-0.11642404052097238,2000,0.013856236892708726
F_DIST_LBB,752,-0.06742173995242948,-0.18393501391022737,0.5032338517350954,-0.1562082574055794,0.021263547174374172,2000,0.5661380832019823
F_RET3,752,-0.12984271438960915,-0.42246031095471603,0.12950125442349444,-0.2101490672067229,-0.04682171475715044,2000,0.17930942920176152
F_RET5,752,-0.18360860728828876,-0.57188820310509,0.025813645909520316,-0.2645873973938996,-0.09884211002647846,2000,0.04224051148830597
F_RET20,752,-0.17574175755525454,-0.5177335346641592,0.00035656129253575357,-0.25787939047220854,-0.0936654834361397,2000,0.0007131225850715071
F_REB3,752,0.1969346818128469,1.9848064649204642,2.420529619482776e-05,0.12610259265611615,0.26991811307826713,2000,7.261588858448328e-05
F_REB5,752,0.1969346818128469,1.9848064649204642,2.420529619482776e-05,0.12610259265611615,0.26991811307826713,2000,7.261588858448328e-05
F_NLOW10,752,0.10258147771739945,0.004664429609302684,0.2458506634279124,0.03159859861746996,0.1800742372022051,2000,0.31609371012160165
F_DAYS_SINCE_LOW,752,,,,,,0,1.0
F_AMT_RATIO20,752,-0.07328862565204279,0.002593611528310066,0.8352574834480936,-0.15591332013228126,0.015495208723758322,2000,0.8843902765920991
F_ATR20_PCT,752,0.2162047703925983,3.0179128024659274,3.8783470101262216e-05,0.13354119284509047,0.29612937746904744,2000,9.972892311753141e-05
F_INTRADAY_RANGE,752,0.285327600800711,2.1668875057152133,1.6724617014207747e-05,0.20347812791996828,0.3617924761587272,2000,7.261588858448328e-05
F_RV20,752,0.1773648906975638,0.05049677469372764,0.0001819908950560908,0.0873109185576719,0.26307837919472726,2000,0.0004094795138762043
F_DAYS_UNDERWATER,752,-0.18908258975474512,-0.0033641163157422434,1.9235442116314145e-07,-0.2754494541366154,-0.09713988681873707,2000,3.4623795809365462e-06
F_DIST_AVGCOST,752,0.04534622263580167,0.46968236441987493,0.07668121679661388,-0.019421432037842846,0.11185205884235697,2000,0.11502182519492082
