feature,n_days,day_corr,boot_lo,boot_hi,n_boot
F_CUR_MAE,752,-0.16625325625233575,-0.23652714919367857,-0.09288832551044761,2000
F_DAYS_SINCE_ENTRY,752,-0.1729855626704422,-0.25908691566803466,-0.08086715741700673,2000
F_DAYS_SINCE_FIRST_D10,752,-0.17909684945454013,-0.27547060114965394,-0.07959932700505283,2000
F_DIST_MA20,752,-0.2061431474900642,-0.29090539797078313,-0.11642404052097238,2000
F_DIST_LBB,752,-0.06742173995242948,-0.1562082574055794,0.021263547174374172,2000
F_RET3,752,-0.12984271438960915,-0.2101490672067229,-0.04682171475715044,2000
F_RET5,752,-0.18360860728828876,-0.2645873973938996,-0.09884211002647846,2000
F_RET20,752,-0.17574175755525454,-0.25787939047220854,-0.0936654834361397,2000
F_REB3,752,0.1969346818128469,0.12610259265611615,0.26991811307826713,2000
F_REB5,752,0.1969346818128469,0.12610259265611615,0.26991811307826713,2000
F_NLOW10,752,0.10258147771739945,0.03159859861746996,0.1800742372022051,2000
F_DAYS_SINCE_LOW,752,,,,0
F_AMT_RATIO20,752,-0.07328862565204279,-0.15591332013228126,0.015495208723758322,2000
F_ATR20_PCT,752,0.2162047703925983,0.13354119284509047,0.29612937746904744,2000
F_INTRADAY_RANGE,752,0.285327600800711,0.20347812791996828,0.3617924761587272,2000
F_RV20,752,0.1773648906975638,0.0873109185576719,0.26307837919472726,2000
F_DAYS_UNDERWATER,752,-0.18908258975474512,-0.2754494541366154,-0.09713988681873707,2000
F_DIST_AVGCOST,752,0.04534622263580167,-0.019421432037842846,0.11185205884235697,2000
