feature,family,reg_dir,day_corr,dir_ok,hac_p,bh_q,q_ok,boot_lo,boot_hi,boot_ok,beta_ok,d30_day_corr,d30_consistent,FULL_PASS
F_CUR_MAE,PRICE_PATH,NEGATIVE,-0.16083398247444772,True,0.37493742934125773,0.48206240915304566,False,-0.23294453260969794,-0.08706797818635077,True,True,-0.12204887524014105,True,False
F_DAYS_SINCE_ENTRY,PRICE_PATH,NEGATIVE,-0.14689695085161267,True,2.9202104885459224e-05,0.00017521262931275534,True,-0.230488695897217,-0.06292278194512242,True,True,-0.08760833487821754,True,True
F_DAYS_SINCE_FIRST_D10,PRICE_PATH,NEGATIVE,-0.1752354293590913,True,1.5250457216344239e-05,0.00013725411494709816,True,-0.26358666527117414,-0.0848296819154975,True,True,-0.10349247253761565,True,True
F_DIST_MA20,PRICE_PATH,NEGATIVE,-0.1868534349853,True,0.04850910928125571,0.08731639670626028,False,-0.2713739228490451,-0.09830436358987682,True,True,-0.13325353126018627,True,False
F_DIST_LBB,PRICE_PATH,NEGATIVE,-0.091922643328142,True,0.6008926829099057,0.6563672965466175,False,-0.1822111047679072,-0.001698546055633365,True,True,-0.10382180126381821,True,False
F_RET3,PRICE_PATH,NEGATIVE,-0.13887240798293016,True,0.20169987602609463,0.2792767514207464,False,-0.2230202917804107,-0.05494216819791549,True,True,-0.13641500546758295,True,False
F_RET5,PRICE_PATH,NEGATIVE,-0.1640559118249311,True,0.10360593842945284,0.15540890764417928,False,-0.24773807228158726,-0.07937819923694309,True,True,-0.1404199766142582,True,False
F_RET20,PRICE_PATH,NEGATIVE,-0.1572376732006838,True,0.01906279549641155,0.0381255909928231,True,-0.24295965789460247,-0.07098041667818078,True,True,-0.12250922405569545,True,True
F_REB3,RECOVERY,POSITIVE,0.16445460746405813,True,0.0004222591139408593,0.0013342705822749965,True,0.09145008397326779,0.23850744135253396,True,True,0.1462023718705046,True,True
F_REB5,RECOVERY,POSITIVE,0.16445460746405813,True,0.0004222591139408593,0.0013342705822749965,True,0.09145008397326779,0.23850744135253396,True,True,0.1462023718705046,True,True
F_NLOW10,RECOVERY,NEGATIVE,0.09748556642034115,False,0.4612028415925289,0.5534434099110347,False,0.02294715334641469,0.17870323094980878,False,True,0.06809623885349154,True,False
F_DAYS_SINCE_LOW,RECOVERY,POSITIVE,,False,,1.0,False,,,False,False,,False,False
F_AMT_RATIO20,LIQUIDITY,NEGATIVE,-0.05289146473044798,True,0.6199024467384722,0.6563672965466175,False,-0.12263788034897924,0.028180240250884746,False,False,0.005247070820667819,False,False
F_ATR20_PCT,VOLATILITY,POSITIVE,0.17078472258118835,True,0.0029698630263758886,0.007636790639252285,True,0.08804214078799218,0.2519350365545989,True,True,0.1519851334009651,True,True
F_INTRADAY_RANGE,VOLATILITY,POSITIVE,0.2694458719759157,True,0.0004447568607583321,0.0013342705822749965,True,0.1924082936251673,0.3435152339986186,True,True,0.22095751136736616,True,True
F_RV20,VOLATILITY,POSITIVE,0.1356557796209837,True,0.005729046763737951,0.01289035521841039,True,0.04394774142314845,0.2213068456601344,True,True,0.13373574885344694,True,True
F_DAYS_UNDERWATER,POSITION,NEGATIVE,-0.15995596043120447,True,9.149013544205691e-06,0.00013725411494709816,True,-0.24442592063780147,-0.07463604498973456,True,True,-0.09480401229690602,True,True
F_DIST_AVGCOST,POSITION,NEGATIVE,0.02543571224607566,False,0.07149150303870848,0.11698609588152296,False,-0.04728153765079733,0.09964071836530473,False,True,0.04174826977989366,True,False
