feature,family,reg_dir,day_corr,dir_ok,hac_p,bh_q,q_ok,boot_lo,boot_hi,boot_ok,beta_ok,d30_day_corr,d30_consistent,FULL_PASS
F_CUR_MAE,PRICE_PATH,NEGATIVE,-0.16625325625233575,True,0.4122849256530744,0.4947419107836893,False,-0.23652714919367857,-0.09288832551044761,True,True,-0.13604505281199303,True,False
F_DAYS_SINCE_ENTRY,PRICE_PATH,NEGATIVE,-0.1729855626704422,True,1.2619286565833676e-06,1.1357357909250309e-05,True,-0.25908691566803466,-0.08086715741700673,True,True,-0.09544496707187955,True,True
F_DAYS_SINCE_FIRST_D10,PRICE_PATH,NEGATIVE,-0.17909684945454013,True,9.750700015837883e-06,5.850420009502729e-05,True,-0.27547060114965394,-0.07959932700505283,True,True,-0.1094582915081848,True,True
F_DIST_MA20,PRICE_PATH,NEGATIVE,-0.2061431474900642,True,0.007697909384838181,0.013856236892708726,True,-0.29090539797078313,-0.11642404052097238,True,True,-0.15105801076760603,True,True
F_DIST_LBB,PRICE_PATH,NEGATIVE,-0.06742173995242948,True,0.5032338517350954,0.5661380832019823,False,-0.1562082574055794,0.021263547174374172,False,True,-0.1348562624568937,True,False
F_RET3,PRICE_PATH,NEGATIVE,-0.12984271438960915,True,0.12950125442349444,0.17930942920176152,False,-0.2101490672067229,-0.04682171475715044,True,True,-0.1616703686106733,True,False
F_RET5,PRICE_PATH,NEGATIVE,-0.18360860728828876,True,0.025813645909520316,0.04224051148830597,True,-0.2645873973938996,-0.09884211002647846,True,True,-0.17122928521311065,True,True
F_RET20,PRICE_PATH,NEGATIVE,-0.17574175755525454,True,0.00035656129253575357,0.0007131225850715071,True,-0.25787939047220854,-0.0936654834361397,True,True,-0.11908726697374823,True,True
F_REB3,RECOVERY,POSITIVE,0.1969346818128469,True,2.420529619482776e-05,7.261588858448328e-05,True,0.12610259265611615,0.26991811307826713,True,True,0.12397236420544686,True,True
F_REB5,RECOVERY,POSITIVE,0.1969346818128469,True,2.420529619482776e-05,7.261588858448328e-05,True,0.12610259265611615,0.26991811307826713,True,True,0.12397236420544686,True,True
F_NLOW10,RECOVERY,NEGATIVE,0.10258147771739945,False,0.2458506634279124,0.31609371012160165,False,0.03159859861746996,0.1800742372022051,False,True,0.0667863916780722,True,False
F_DAYS_SINCE_LOW,RECOVERY,POSITIVE,,False,,1.0,False,,,False,False,,False,False
F_AMT_RATIO20,LIQUIDITY,NEGATIVE,-0.07328862565204279,True,0.8352574834480936,0.8843902765920991,False,-0.15591332013228126,0.015495208723758322,False,False,-0.0023885647570158447,True,False
F_ATR20_PCT,VOLATILITY,POSITIVE,0.2162047703925983,True,3.8783470101262216e-05,9.972892311753141e-05,True,0.13354119284509047,0.29612937746904744,True,True,0.1648265134528938,True,True
F_INTRADAY_RANGE,VOLATILITY,POSITIVE,0.285327600800711,True,1.6724617014207747e-05,7.261588858448328e-05,True,0.20347812791996828,0.3617924761587272,True,True,0.24621210247147826,True,True
F_RV20,VOLATILITY,POSITIVE,0.1773648906975638,True,0.0001819908950560908,0.0004094795138762043,True,0.0873109185576719,0.26307837919472726,True,True,0.12731273559236497,True,True
F_DAYS_UNDERWATER,POSITION,NEGATIVE,-0.18908258975474512,True,1.9235442116314145e-07,3.4623795809365462e-06,True,-0.2754494541366154,-0.09713988681873707,True,True,-0.09700908888437068,True,True
F_DIST_AVGCOST,POSITION,NEGATIVE,0.04534622263580167,False,0.07668121679661388,0.11502182519492082,False,-0.019421432037842846,0.11185205884235697,False,True,0.038786158673609517,True,False
