TPR,FPR,expected_delta,ci_lo,ci_hi
0.25,0.0,-0.5740195642359522,-0.769824546599663,-0.3659556737638021
0.25,0.05,-0.7746838193756868,-0.9785189308167819,-0.5702066720154696
0.25,0.1,-0.9711777245450164,-1.1929680781313086,-0.7518495069962792
0.25,0.2,-1.3620902149207974,-1.6092576424526712,-1.1022459168648118
0.25,0.3,-1.7676462311016317,-2.0278946922029064,-1.4990644090534126
0.25,0.5,-2.559644960233427,-2.8263132796935873,-2.29285799809867
0.25,1.0,-4.5545161379977595,-4.75009117193455,-4.3560887180150765
0.5,0.0,-1.1392300756922318,-1.3585863599617711,-0.9225202340233315
0.5,0.05,-1.3418113518485688,-1.5858811687024017,-1.1076327214175203
0.5,0.1,-1.5370690001847467,-1.7896423449315342,-1.2899612648223266
0.5,0.2,-1.9366269910476412,-2.206014499291669,-1.662794379090847
0.5,0.3,-2.337333532674096,-2.622523039571067,-2.044379665298328
0.5,0.5,-3.126215304532555,-3.4250788989820875,-2.832901704327935
0.5,1.0,-5.125348606640645,-5.33681398689211,-4.9019087109630615
0.75,0.0,-1.7095986067823246,-1.9042809733326056,-1.5233058103814967
0.75,0.05,-1.9092992904957482,-2.116913816401758,-1.7030601923954805
0.75,0.1,-2.107022467014725,-2.338376492618809,-1.8936155013299851
0.75,0.2,-2.509211516394514,-2.761625285025894,-2.268343973893353
0.75,0.3,-2.9024840828928333,-3.1746993359305025,-2.639262741238656
0.75,0.5,-3.700110575196557,-3.976455012120457,-3.4161911626737913
0.75,1.0,-5.695133741942444,-5.886117613699171,-5.502015143043229
1.0,0.0,-2.2808657839965534,-2.280865783996554,-2.280865783996554
1.0,0.05,-2.4793205018918933,-2.584083206140492,-2.406563208934047
1.0,0.1,-2.6796480616689595,-2.8086810950358534,-2.57081042810073
1.0,0.2,-3.0794819228629744,-3.252564195738575,-2.9255459651511426
1.0,0.3,-3.4794186067164246,-3.667812835383251,-3.3004269101230803
1.0,0.5,-4.270909356319261,-4.469499090510067,-4.063887286704282
1.0,1.0,-6.26711906296661,-6.267119062966608,-6.267119062966608
