ts_code,signal_date,threshold,anchor_i,entry_i,entry_adj,cur_mae,recover_close,recover_touch,t_close,t_touch,final_return,future_min,future_max,exit_i,exit_date,shares,total_cost,anchor_close_raw,sell_i,sell_price,oracle_exit_return,exit_delay,executable,natural_remaining_hold,capital_days_saved,final_profit,r01,r05,layer_count,anchor_close_return,o1c_delta,o1_delta,o2_delta,o3_delta,o1_oracle_return,o2_oracle_return,o3_oracle_return
300433.SZ,2020-03-09,0.2,51,42,100.10413189723968,-0.21511028568709056,True,True,10.0,10.0,14.692654836429837,-0.25116527004367095,0.10272842985812636,62,2020-04-08,23900.0,397528.359375,14.149999618530273,52,14.46,-13.260680684376636,1,True,11,10.0,True,,0.0345781466113416,2.0,-15.120239610812854,0.0,0.0,0.0,0.0,14.692654836429837,14.692654836429837,14.692654836429837
002537.SZ,2020-03-13,0.2,58,46,41.784840746269225,-0.20541501870054413,True,True,4.0,4.0,14.946148446621304,-0.2169546624992169,0.11604566735682043,63,2020-04-09,68000.0,399595.96875,4.849999904632568,59,4.86,-17.483268753621523,1,True,5,4.0,True,,0.0041459369817578,2.0,-17.653057885694057,0.0,0.0,0.0,0.0,14.946148446621304,14.946148446621304,14.946148446621304
002563.SZ,2020-02-06,0.2,49,20,41.038336826562876,-0.20819919878961213,False,False,,,3.211201134312771,-0.22053253269429607,-0.049099044394250946,67,2020-04-15,107100.0,798308.8125,6.579999923706055,50,6.65,-10.986039441860731,1,True,18,17.0,True,,0.0049861495844875,4.0,-11.923029521604484,0.0,0.0,-14.197240576173503,-14.197240576173503,3.211201134312771,-10.986039441860731,-10.986039441860731
300341.SZ,2020-02-25,0.2,51,33,45.17508963832855,-0.21837423601721084,False,False,,,-7.644489962177108,-0.24334921512045538,-0.11662409898112414,67,2020-04-15,38700.0,399272.546875,8.579999923706055,52,8.75,-15.381075705845179,1,True,16,15.0,False,,0.0345781466113416,2.0,-17.02510125852152,-9.380611296344412,-7.736585743668071,-7.736585743668071,-7.736585743668071,-15.381075705845179,-15.381075705845179,-15.381075705845179
603305.SH,2020-02-27,0.2,51,35,44.638592907905576,-0.2166923985105803,False,False,,,-10.034468069690208,-0.2166923985105803,-0.05798742896951237,67,2020-04-15,8800.0,394964.125,35.369998931884766,52,36.56,-18.726466588002136,1,True,16,15.0,False,,0.0345781466113416,2.0,-21.371860230501493,-11.337392160811286,-8.691998518311928,-8.691998518311928,-8.691998518311928,-18.726466588002136,-18.726466588002136,-18.726466588002136
603920.SH,2020-02-27,0.2,52,35,24.7963808428514,-0.20373870714772258,False,False,,,-8.156037890467907,-0.22189450532159305,-0.03212324717046522,67,2020-04-15,8600.0,198996.46875,19.239999771118164,53,19.85,-14.408325150443147,1,True,15,14.0,False,,0.0047026279391424,1.0,-17.03859926876101,-8.882561378293104,-6.25228725997524,-6.25228725997524,-6.25228725997524,-14.408325150443147,-14.408325150443147,-14.408325150443147
002064.SZ,2020-02-28,0.2,52,36,65.85910925107002,-0.2058361774236711,False,False,,,-3.6575389927444615,-0.2377370592679543,-0.0748746666976996,67,2020-04-15,72600.0,399237.515625,4.840000152587891,53,4.93,-10.552104368841524,1,True,15,14.0,False,,0.0047026279391424,2.0,-12.185024644326022,-8.52748565158156,-6.894565376097063,-6.894565376097063,-6.894565376097063,-10.552104368841524,-10.552104368841524,-10.552104368841524
300750.SZ,2020-02-28,0.2,51,36,139.20277783689497,-0.24419958905481776,False,False,,,-1.0193924653390611,-0.24419958905481776,-0.05073313293587922,67,2020-04-15,4400.0,575698.609375,107.4800033569336,52,110.6,-15.66059065289019,1,True,16,15.0,False,,0.0345781466113416,3.0,-18.03978300407632,-17.02039053873726,-14.64119818755113,-14.64119818755113,-14.64119818755113,-15.66059065289019,-15.66059065289019,-15.66059065289019
601689.SH,2020-02-28,0.2,51,36,31.250348837521077,-0.21265592206595674,False,False,,,-7.242307760668336,-0.26214048729021355,-0.007858252586060321,67,2020-04-15,9700.0,198032.265625,16.06999969482422,52,16.31,-20.290942982125472,1,True,16,15.0,False,,0.0345781466113416,1.0,-21.463855183815458,-14.221547423147122,-13.048635221457136,-13.048635221457136,-13.048635221457136,-20.290942982125472,-20.290942982125472,-20.290942982125472
603129.SH,2020-02-28,0.2,51,36,41.13481972440004,-0.2055956237545763,False,False,,,-1.0075061389406983,-0.25330984620159935,-0.04221809316994851,67,2020-04-15,10200.0,394561.625,32.0,52,32.61,-15.888755429846984,1,True,16,15.0,False,,0.0345781466113416,2.0,-17.462133509816113,-16.454627370875414,-14.881249290906286,-14.881249290906286,-14.881249290906286,-15.888755429846984,-15.888755429846984,-15.888755429846984
